"ｺｰﾄﾞ","勘定科目名"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"
"4111","売上高","5,539,671","4,658,378","6,376,191","6,011,465","6,355,155","5,811,362","6,732,048","6,376,404","6,118,937","7,178,936","7,362,267","7,885,149"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","5,539,671","4,658,378","6,376,191","6,011,465","6,355,155","5,811,362","6,732,048","6,376,404","6,118,937","7,178,936","7,362,267","7,885,149"
"5111","期首棚卸高","1,268,376","733,889","724,715","589,102","589,635","627,125","503,716","589,868","662,807","743,527","778,883","622,158"
"5211","商品仕入高","1,815,274","1,791,796","2,295,262","2,330,748","2,513,214","2,317,387","2,651,160","2,643,368","2,617,685","2,831,720","2,909,305","3,464,676"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","733,889","724,715","589,102","589,635","627,125","503,716","589,868","662,807","743,527","778,883","622,158","1,041,851"
,"当期売上原価","2,349,761","1,800,970","2,430,875","2,330,215","2,475,724","2,440,796","2,565,008","2,570,429","2,536,965","2,796,364","3,066,030","3,044,983"
,"売上総利益","3,189,910","2,857,408","3,945,316","3,681,250","3,879,431","3,370,566","4,167,040","3,805,975","3,581,972","4,382,572","4,296,237","4,840,166"
"6111","給与手当","587,000","892,000","1,005,022","811,502","1,036,740","1,055,805","990,023","880,000","828,763","762,046","676,566","872,318"
"6311","雑給","684,069","639,670","614,638","584,287","439,623","589,306","598,547","616,726","696,847","732,404","926,424","862,291"
"6112","旅費交通費","123,492","106,968","133,164","69,651","71,811","47,095","81,217","47,168","47,465","82,181","93,369","102,599"
"6113","広告宣伝費","69,655","21,909","71,914","22,618","23,922","23,278","18,000","39,891","75,361","25,000","61,091","63,691"
"6114","販売促進費","5,365","14,182","4,795","16,997","11,000","11,654","4,237","12,615","5,235","4,067","12,295","0"
"6115","荷造発送費","0","909","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","232,097","145,410","177,721","204,843","193,845","215,461","185,410","194,047","204,660","250,491","223,992","204,673"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","165,800","88,000","88,000","88,000","88,000","58,666","58,666","-163,334"
"6312","法定福利費","122,816","122,816","120,814","120,725","175,887","178,267","161,319","161,319","137,239","137,239","153,788","168,633"
"6226","厚生費","208,878","98,582","122,300","168,570","105,066","88,600","84,196","155,066","98,933","189,344","42,278","10,384"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","392,693","392,693","392,693","392,693","392,693","392,693","392,693","392,693","392,769","333,919","333,919","333,919"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","541,687","463,004","613,563","579,935","615,613","566,022","649,313","613,924","590,180","689,104","705,604","750,253"
"6216","修繕／車両関係費","0","0","0","0","0","391,000","0","0","0","0","87,400","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","0","0","0"
"6219","水道光熱費","171,766","224,300","222,474","162,385","282,552","294,167","294,957","359,942","372,430","391,072","307,435","324,076"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","91,842","202,869","137,393","164,136","89,110","142,333","109,004","157,869","152,035","160,142","113,101","204,133"
"6227","管理諸費","14,455","8,455","14,455","15,682","32,491","14,455","14,631","30,631","31,946","14,631","30,631","2,631"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","2,000","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","3,260,815","3,348,767","3,645,946","3,329,024","3,651,153","4,113,136","3,686,547","3,764,891","3,736,863","3,847,306","3,841,559","3,751,267"
,"営業利益（損失）","-70,905","-491,359","299,370","352,226","228,278","-742,570","480,493","41,084","-154,891","535,266","454,678","1,088,899"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
