"ｺｰﾄﾞ","勘定科目名"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"
"4111","売上高","6,732,048","6,376,404","6,118,937","7,178,936","7,362,267","7,885,149","7,169,556","7,007,099","8,078,168","8,289,601","9,320,771","8,734,928"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","6,732,048","6,376,404","6,118,937","7,178,936","7,362,267","7,885,149","7,169,556","7,007,099","8,078,168","8,289,601","9,320,771","8,734,928"
"5111","期首棚卸高","503,716","589,868","662,807","743,527","778,883","622,158","1,041,851","746,258","716,629","649,404","667,944","796,093"
"5211","商品仕入高","2,651,160","2,643,368","2,617,685","2,831,720","2,909,305","3,464,676","2,470,724","2,911,109","3,183,476","3,291,173","3,902,269","3,589,522"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","589,868","662,807","743,527","778,883","622,158","1,041,851","746,258","716,629","649,404","667,944","796,093","731,762"
,"当期売上原価","2,565,008","2,570,429","2,536,965","2,796,364","3,066,030","3,044,983","2,766,317","2,940,738","3,250,701","3,272,633","3,774,120","3,653,853"
,"売上総利益","4,167,040","3,805,975","3,581,972","4,382,572","4,296,237","4,840,166","4,403,239","4,066,361","4,827,467","5,016,968","5,546,651","5,081,075"
"6111","給与手当","990,023","880,000","828,763","762,046","676,566","872,318","740,676","733,698","784,371","855,894","997,665","748,795"
"6311","雑給","598,547","616,726","696,847","732,404","926,424","862,291","798,738","658,628","1,070,849","979,673","1,076,946","1,231,148"
"6112","旅費交通費","81,217","47,168","47,465","82,181","93,369","102,599","129,101","56,063","82,320","109,036","77,518","82,173"
"6113","広告宣伝費","18,000","39,891","75,361","25,000","61,091","63,691","95,882","49,579","44,966","55,600","66,653","0"
"6114","販売促進費","4,237","12,615","5,235","4,067","12,295","0","4,104","0","0","0","0","0"
"6115","荷造発送費","0","0","0","0","0","0","0","2,600","2,000","0","3,600","0"
"6116","外注費","0","0","0","0","0","0","0","303,591","336,228","171,003","43,483","114,886"
"6117","支払手数料","185,410","194,047","204,660","250,491","223,992","204,673","191,824","210,050","208,029","304,993","247,118","408,872"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
