"ｺｰﾄﾞ","勘定科目名"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"
"4111","売上高","7,178,936","7,362,267","7,885,149","7,169,556","7,007,099","8,078,168","8,289,601","9,320,771","8,734,928","9,258,708","9,361,506","8,799,017"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","7,178,936","7,362,267","7,885,149","7,169,556","7,007,099","8,078,168","8,289,601","9,320,771","8,734,928","9,258,708","9,361,506","8,799,017"
"5111","期首棚卸高","743,527","778,883","622,158","1,041,851","746,258","716,629","649,404","667,944","796,093","731,762","826,154","817,593"
"5211","商品仕入高","2,831,720","2,909,305","3,464,676","2,470,724","2,911,109","3,183,476","3,291,173","3,902,269","3,589,522","3,897,616","3,637,039","3,489,280"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","778,883","622,158","1,041,851","746,258","716,629","649,404","667,944","796,093","731,762","826,154","817,593","810,765"
,"当期売上原価","2,796,364","3,066,030","3,044,983","2,766,317","2,940,738","3,250,701","3,272,633","3,774,120","3,653,853","3,803,224","3,645,600","3,496,108"
,"売上総利益","4,382,572","4,296,237","4,840,166","4,403,239","4,066,361","4,827,467","5,016,968","5,546,651","5,081,075","5,455,484","5,715,906","5,302,909"
"6111","給与手当","762,046","676,566","872,318","740,676","733,698","784,371","855,894","997,665","748,795","770,535","736,856","735,787"
"6311","雑給","732,404","926,424","862,291","798,738","658,628","1,070,849","979,673","1,076,946","1,231,148","1,273,709","1,052,325","1,138,424"
"6112","旅費交通費","82,181","93,369","102,599","129,101","56,063","82,320","109,036","77,518","82,173","97,891","101,027","67,091"
"6113","広告宣伝費","25,000","61,091","63,691","95,882","49,579","44,966","55,600","66,653","0","61,445","0","0"
"6114","販売促進費","4,067","12,295","0","4,104","0","0","0","0","0","0","0","0"
"6115","荷造発送費","0","0","0","0","2,600","2,000","0","3,600","0","0","0","0"
"6116","外注費","0","0","0","0","303,591","336,228","171,003","43,483","114,886","38,830","89,348","81,644"
"6117","支払手数料","250,491","223,992","204,673","191,824","210,050","208,029","304,993","247,118","408,872","303,466","256,440","365,329"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","58,666","58,666","-163,334","58,666","58,666","58,666","58,666","58,666","58,666","58,666","58,666","58,666"
"6312","法定福利費","137,239","153,788","168,633","153,788","153,788","153,788","175,417","282,005","277,309","228,711","228,711","208,319"
"6226","厚生費","189,344","42,278","10,384","39,184","57,090","75,020","-12,944","11,733","37,924","11,733","11,733","84,096"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","333,919","333,919","333,919","333,919","333,919","333,919","333,919","333,919","333,919","333,919","333,919","380,411"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","689,104","705,604","750,253","685,391","673,638","767,111","786,507","879,110","829,143","874,157","885,713","759,165"
"6216","修繕／車両関係費","0","87,400","0","0","0","2,455","0","116,510","0","0","0","0"
"6217","事務用消耗品費","0","0","0","600","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","8,804","8,967","0","8,813","8,797","8,795","0","0"
"6219","水道光熱費","391,072","307,435","324,076","338,163","382,966","328,397","324,059","459,471","338,521","341,230","358,455","381,264"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","160,142","113,101","204,133","114,923","164,276","124,688","238,963","119,695","121,152","137,811","144,502","204,463"
"6227","管理諸費","14,631","30,631","2,631","30,631","2,631","19,946","2,631","75,631","2,631","18,631","2,631","19,946"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","7,200","0","7,200","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","2,000","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","3,847,306","3,841,559","3,751,267","3,737,790","3,864,987","4,423,920","4,398,417","4,873,536","4,608,936","4,574,529","4,275,326","4,499,605"
,"営業利益（損失）","535,266","454,678","1,088,899","665,449","201,374","403,547","618,551","673,115","472,139","880,955","1,440,580","803,304"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","-5","0","0","0","0","0","0","0","1,291"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","-5","0","0","0","0","0","0","0","1,291"
,"経常利益（損失）","535,266","454,678","1,088,899","665,454","201,374","403,547","618,551","673,115","472,139","880,955","1,440,580","802,013"
