"ｺｰﾄﾞ","勘定科目名"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"
"4111","売上高","0","0","0","0","0","0","9,211,407","9,062,532","10,103,271","8,380,582","8,769,443","9,990,725"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","9,211,407","9,062,532","10,103,271","8,380,582","8,769,443","9,990,725"
"5111","期首棚卸高","0","0","0","0","0","0","810,765","784,864","819,874","1,239,525","814,372","736,554"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","784,864","819,874","1,239,525","814,372","736,554","729,904"
"5211","商品仕入高","0","0","0","0","0","0","3,458,801","3,529,527","4,120,930","2,991,071","3,293,295","3,784,222"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","3,484,702","3,494,517","3,701,279","3,416,224","3,371,113","3,790,872"
,"売上総利益","0","0","0","0","0","0","5,726,705","5,568,015","6,401,992","4,964,358","5,398,330","6,199,853"
"6111","給与手当","0","0","0","0","0","0","781,405","661,277","489,199","430,971","418,914","453,028"
"6311","雑給","0","0","0","0","0","0","1,065,793","992,405","1,035,361","947,827","979,132","1,030,952"
"6112","旅費交通費","0","0","0","0","0","0","107,254","111,709","43,946","114,037","87,727","94,754"
"6113","広告宣伝費","0","0","0","0","0","0","51,638","0","25,502","0","1,818","909"
"6114","販売促進費","0","0","0","0","0","0","0","1,319","4,162","1,180","0","0"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","764"
"6116","外注費","0","0","0","0","0","0","97,149","228,842","313,855","251,312","201,553","344,337"
"6117","支払手数料","0","0","0","0","0","0","397,571","559,830","517,569","489,842","467,835","551,574"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","58,666","58,666","627,904","58,666","58,666","58,666"
"6312","法定福利費","0","0","0","0","0","0","198,223","198,223","257,366","153,418","153,418","133,405"
"6226","厚生費","0","0","0","0","0","0","17,000","14,188","32,634","11,733","11,733","14,188"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","252,283","252,283","252,283","252,283","252,283","252,283"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","788,526","858,626","952,294","797,252","832,248","943,346"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","9,437","0","0","0","0"
"6219","水道光熱費","0","0","0","0","0","0","277,973","292,974","202,658","223,570","311,812","295,421"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","30,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","0","0","0","0","0","0","176,571","134,235","170,786","176,835","156,953","195,701"
"6227","管理諸費","0","0","0","0","0","0","77,631","18,631","2,631","18,631","2,631","19,946"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","14,000","7,000","7,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","4,347,683","4,422,645","4,957,150","3,949,557","3,958,723","4,404,274"
,"営業利益（損失）","0","0","0","0","0","0","1,379,022","1,145,370","1,444,842","1,014,801","1,439,607","1,795,579"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
