ｺｰﾄﾞ,勘定科目名,31年  1月,31年  2月,31年  3月,31年  4月, 1年  5月, 1年  6月, 1年  7月, 1年  8月, 1年  9月, 1年 10月, 1年 11月, 1年 12月, 1年 12月累計
4111,売上高,"26,574,794","21,090,468","29,381,205","25,104,997","25,153,451","23,734,520","24,620,020","31,593,358","23,579,009","21,407,596","22,173,630","27,514,587","71,095,813"
4112,賃貸料収入,0,0,0,0,0,0,0,0,0,0,0,0,0
4113,ＬＬＰ収益,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,通信売上高,0,0,0,0,0,0,0,0,0,0,0,0,0
4115,売上値引戻り高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
,純売上高,"26,574,794","21,090,468","29,381,205","25,104,997","25,153,451","23,734,520","24,620,020","31,593,358","23,579,009","21,407,596","22,173,630","27,514,587","71,095,813"
5111,期首たな卸高,"5,358,988","2,461,591","2,111,611","1,967,196","2,635,653","2,531,919","2,300,522","2,080,949","2,685,779","2,323,464","2,608,806","2,690,027","2,323,464"
5211,商品仕入高,"8,530,386","8,682,956","12,475,143","10,988,271","10,466,270","9,488,408","10,467,060","13,107,482","9,677,743","9,657,503","9,708,736","15,697,608","35,063,847"
5212,通信商品仕入高,0,0,0,0,0,0,0,0,0,0,0,0,0
5215,ｺﾐｯｼｮﾝ清掃代,0,0,0,0,0,0,0,0,0,0,0,0,0
5216,ＬＬＰ原価,0,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5311,期末たな卸高      (△),"2,461,591","2,111,611","1,967,196","2,635,653","2,531,919","2,300,522","2,080,949","2,685,779","2,323,464","2,608,806","2,690,027","6,071,085","6,071,085"
,当期売上原価,"11,427,783","9,032,936","12,619,558","10,319,814","10,570,004","9,719,805","10,686,633","12,502,652","10,040,058","9,372,161","9,627,515","12,316,550","31,316,226"
