"ｺｰﾄﾞ","勘定科目名","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"
"4111","売上高","25,104,997","25,153,451","23,734,520","24,620,020","31,593,358","23,579,009","21,407,596","22,173,630","27,575,424","26,949,335","22,634,517","27,346,628"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","25,104,997","25,153,451","23,734,520","24,620,020","31,593,358","23,579,009","21,407,596","22,173,630","27,575,424","26,949,335","22,634,517","27,346,628"
"5111","期首たな卸高","1,967,196","2,635,653","2,531,919","2,300,522","2,080,949","2,685,779","2,323,464","2,608,806","2,690,027","6,071,085","2,555,511","2,982,695"
"5211","商品仕入高","10,988,271","10,466,270","9,488,408","10,467,060","13,107,482","9,677,743","9,657,503","9,708,736","15,585,165","7,954,152","10,320,313","11,702,378"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","2,635,653","2,531,919","2,300,522","2,080,949","2,685,779","2,323,464","2,608,806","2,690,027","6,071,085","2,555,511","2,982,695","2,501,470"
,"当期売上原価","10,319,814","10,570,004","9,719,805","10,686,633","12,502,652","10,040,058","9,372,161","9,627,515","12,204,107","11,469,726","9,893,129","12,183,603"
,"売上総利益","14,785,183","14,583,447","14,014,715","13,933,387","19,090,706","13,538,951","12,035,435","12,546,115","15,371,317","15,479,609","12,741,388","15,163,025"
"6111","給与手当","1,691,070","1,837,067","1,902,847","2,031,957","2,180,677","2,104,609","1,822,800","1,822,300","1,884,300","2,074,800","1,966,800","1,905,300"
"6311","雑給","3,359,939","3,417,425","3,202,270","3,097,709","3,100,159","2,831,174","2,823,925","2,945,626","3,218,265","3,176,847","2,992,121","3,342,583"
"6112","旅費交通費","121,995","129,850","126,958","121,634","111,940","102,145","93,025","102,316","107,949","105,319","123,340","104,669"
"6113","広告宣伝費","1,457,885","1,190,520","1,203,770","1,266,666","1,445,263","1,222,312","1,010,866","1,037,956","1,164,577","1,351,554","964,698","1,156,452"
"6114","販売促進費","112,970","104,423","85,025","119,657","113,758","97,457","94,757","91,599","191,208","139,539","184,091","173,556"
