"ｺｰﾄﾞ","勘定科目名"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"
"4111","売上高","23,579,009","21,407,596","22,173,630","27,575,424","26,949,335","22,634,517","27,346,628","10,552,329","10,675,262","20,784,867","22,572,248","24,630,227"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","23,579,009","21,407,596","22,173,630","27,575,424","26,949,335","22,634,517","27,346,628","10,552,329","10,675,262","20,784,867","22,572,248","24,630,227"
"5111","期首たな卸高","2,685,779","2,323,464","2,608,806","2,690,027","6,071,085","2,555,511","2,982,695","2,501,470","1,934,932","2,128,962","2,403,767","2,966,615"
"5211","商品仕入高","9,677,743","9,657,503","9,708,736","15,585,165","7,954,152","10,320,313","11,702,378","4,174,826","5,055,072","9,729,312","10,819,944","9,883,884"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","2,323,464","2,608,806","2,690,027","6,071,085","2,555,511","2,982,695","2,501,470","1,934,932","2,128,962","2,403,767","2,966,615","2,164,917"
,"当期売上原価","10,040,058","9,372,161","9,627,515","12,204,107","11,469,726","9,893,129","12,183,603","4,741,364","4,861,042","9,454,507","10,257,096","10,685,582"
,"売上総利益","13,538,951","12,035,435","12,546,115","15,371,317","15,479,609","12,741,388","15,163,025","5,810,965","5,814,220","11,330,360","12,315,152","13,944,645"
"6111","給与手当","2,104,609","1,822,800","1,822,300","1,884,300","2,074,800","1,966,800","1,905,300","1,867,123","1,740,370","1,875,587","1,764,957","2,149,008"
"6311","雑給","2,831,174","2,823,925","2,945,626","3,218,265","3,176,847","2,992,121","3,342,583","2,008,999","1,989,219","2,589,363","2,824,263","2,680,489"
"6112","旅費交通費","102,145","93,025","102,316","107,949","105,319","123,340","104,669","86,233","61,626","99,495","96,339","104,207"
"6113","広告宣伝費","1,222,312","1,010,866","1,037,956","1,164,577","1,351,554","964,698","1,156,452","568,388","492,894","1,140,251","899,222","1,034,962"
"6114","販売促進費","97,457","94,757","91,599","191,208","139,539","184,091","173,556","77,739","41,300","108,694","128,082","117,775"
"6115","荷造発送費","0","0","0","0","0","1,554","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","767,164","653,391","654,101","808,706","776,174","650,928","771,225","409,876","270,011","662,630","640,312","709,281"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","101,000","101,000","101,000","782,845","101,000","101,000","101,000","0","0","0","0","0"
"6312","法定福利費","423,100","409,300","372,835","622,196","416,452","365,531","403,553","372,720","345,714","335,844","384,909","438,494"
"6226","厚生費","760,495","97,899","216,402","309,480","369,780","314,520","97,877","54,750","-4,654","55,730","168,750","11,182"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","844,830","434,817","434,817","434,817","434,817","434,817","434,817","434,817","434,817","434,817","434,817","434,817"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","549,740","549,067","549,067","549,067","549,067","549,067","549,067","323,966","323,966","323,966","549,067","549,067"
"6216","修繕／車両関係費","288,000","66,000","321,076","235,636","124,000","168,435","77,000","22,000","0","25,909","3,345","147,640"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","29,577","25,101","17,344","25,897","29,929","21,385","19,310","25,395","21,359","29,432","25,370","25,995"
"6219","水道光熱費","1,166,231","732,799","746,964","564,975","738,258","586,457","771,262","555,530","692,367","384,367","699,338","682,483"
"6221","租税公課","0","4,000","0","4,000","4,000","0","2,000","0","0","0","0","2,000"
"6222","寄付金","0","13,000","8,000","0","0","0","0","0","14,000","0","0","5,000"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","48,658","81,128","78,568","78,568","78,568","78,568","78,568","78,568","78,568","78,568","78,568","78,568"
"6225","備品消耗品費","790,316","607,859","942,207","1,238,834","827,914","967,732","653,825","621,012","342,302","741,708","747,194","687,394"
"6227","管理諸費","194,399","195,839","198,454","197,552","204,339","215,604","195,279","136,007","406,207","97,854","203,459","163,934"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","20,000","0","0","0","0","0","50,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","12,321,207","9,816,573","10,640,632","12,418,872","11,522,357","10,686,648","10,837,343","7,643,123","7,250,066","8,984,215","9,697,992","10,022,296"
,"営業利益（損失）","1,217,744","2,218,862","1,905,483","2,952,445","3,957,252","2,054,740","4,325,682","-1,832,158","-1,435,846","2,346,145","2,617,160","3,922,349"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","1,217,744","2,218,862","1,905,483","2,952,445","3,957,252","2,054,740","4,325,682","-1,832,158","-1,435,846","2,346,145","2,617,160","3,922,349"
