"ｺｰﾄﾞ","勘定科目名"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"
"4111","売上高","27,346,628","10,552,329","10,675,262","20,784,867","22,572,248","24,630,227","21,156,917","23,012,561","22,343,026","24,687,548","21,034,953","18,601,895"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","27,346,628","10,552,329","10,675,262","20,784,867","22,572,248","24,630,227","21,156,917","23,012,561","22,343,026","24,687,548","21,034,953","18,601,895"
"5111","期首たな卸高","2,982,695","2,501,470","1,934,932","2,128,962","2,403,767","2,966,615","2,164,917","2,198,265","2,555,462","2,348,089","4,379,000","1,859,896"
"5211","商品仕入高","11,702,378","4,174,826","5,055,072","9,729,312","10,819,944","9,883,884","9,668,875","10,480,045","9,761,361","13,651,616","6,822,725","8,544,071"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","2,501,470","1,934,932","2,128,962","2,403,767","2,966,615","2,164,917","2,198,265","2,555,462","2,348,089","4,379,000","1,859,896","2,009,255"
,"当期売上原価","12,183,603","4,741,364","4,861,042","9,454,507","10,257,096","10,685,582","9,635,527","10,122,848","9,968,734","11,620,705","9,341,829","8,394,712"
