"ｺｰﾄﾞ","勘定科目名"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"
"4111","売上高","0","0","18,895,232","18,187,683","23,991,389","20,097,992","14,341,012","21,174,308","14,539,233","15,781,062","16,543,050","16,933,897"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","-10,610"
,"純売上高","0","0","18,895,232","18,187,683","23,991,389","20,097,992","14,341,012","21,174,308","14,539,233","15,781,062","16,543,050","16,944,507"
"5111","期首棚卸高","0","0","2,318,075","2,207,644","2,183,509","5,246,099","2,504,095","2,102,195","1,658,158","2,277,345","2,385,181","1,615,922"
"5311","期末棚卸高        (△)","0","0","2,207,644","2,183,509","5,246,099","2,504,095","2,102,195","1,658,158","2,277,345","2,385,181","1,615,922","1,656,649"
"5211","商品仕入高","0","0","8,425,194","8,468,434","13,862,830","6,476,119","6,036,209","8,662,511","6,986,633","6,970,134","6,153,432","7,389,611"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","8,535,625","8,492,569","10,800,240","9,218,123","6,438,109","9,106,548","6,367,446","6,862,298","6,922,691","7,348,884"
,"売上総利益","0","0","10,359,607","9,695,114","13,191,149","10,879,869","7,902,903","12,067,760","8,171,787","8,918,764","9,620,359","9,595,623"
