ｺｰﾄﾞ,勘定科目名, 1年  8月,売上対比, 1年  9月,売上対比, 1年 10月,売上対比,30年 10月,売上対比,前年同月差,差率
4111,売上高,"31,593,358",100.0%,"23,579,009",100.0%,"21,407,205",100.0%,"22,754,138",100.0%,"-1,346,933",-5.9%
4112,賃貸料収入,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
4113,ＬＬＰ収益,0,,0,,0,,0,,0,
4114,通信売上高,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
4115,売上値引戻り高    (△),0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
,純売上高,"31,593,358",100.0%,"23,579,009",100.0%,"21,407,205",100.0%,"22,754,138",100.0%,"-1,346,933",-5.9%
5111,期首たな卸高,"2,080,949",6.6%,"2,685,779",11.4%,"2,323,464",10.9%,"2,387,854",10.5%,"-64,390",-2.7%
5211,商品仕入高,"13,107,482",41.5%,"9,677,743",41.0%,"9,678,703",45.2%,"9,998,046",43.9%,"-319,343",-3.2%
5212,通信商品仕入高,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
5215,ｺﾐｯｼｮﾝ清掃代,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
5216,ＬＬＰ原価,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,
5213,仕入値引戻し高    (△),0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
5273,他勘定振替高      (△),0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
5311,期末たな卸高      (△),"2,685,779",8.5%,"2,323,464",9.9%,"2,608,806",12.2%,"2,386,763",10.5%,"222,043",9.3%
,当期売上原価,"12,502,652",39.6%,"10,040,058",42.6%,"9,393,361",43.9%,"9,999,137",43.9%,"-605,776",-6.1%
,売上総利益,"19,090,706",60.4%,"13,538,951",57.4%,"12,013,844",56.1%,"12,755,001",56.1%,"-741,157",-5.8%
6111,給与手当,"2,180,677",6.9%,"2,104,609",8.9%,"1,822,800",8.5%,"1,790,391",7.9%,"32,409",1.8%
6311,雑給,"3,100,159",9.8%,"2,831,174",12.0%,"2,823,925",13.2%,"3,511,663",15.4%,"-687,738",-19.6%
6112,旅費交通費,"111,940",0.4%,"102,145",0.4%,"93,025",0.4%,"127,852",0.6%,"-34,827",-27.2%
6113,広告宣伝費,"1,445,263",4.6%,"1,222,312",5.2%,"1,010,866",4.7%,"1,281,067",5.6%,"-270,201",-21.1%
6114,販売促進費,"113,758",0.4%,"97,457",0.4%,"94,757",0.4%,"92,778",0.4%,"1,979",2.1%
6115,荷造発送費,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6116,外注費,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6117,支払手数料,"862,809",2.7%,"767,164",3.3%,"653,130",3.1%,"635,560",2.8%,"17,570",2.8%
6118,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6211,役員報酬,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6232,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6212,事務員給与,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6213,従業員賞与,"101,000",0.3%,"101,000",0.4%,"101,000",0.5%,0,0.0%,"101,000",#DIV/0!
6312,法定福利費,"413,196",1.3%,"423,100",1.8%,"409,300",1.9%,"340,146",1.5%,"69,154",20.3%
6226,厚生費,"49,572",0.2%,"760,495",3.2%,"95,177",0.4%,"415,827",1.8%,"-320,650",-77.1%
6119,退職金,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6214,減価償却費,"453,895",1.4%,"844,830",3.6%,"434,817",2.0%,"453,895",2.0%,"-19,078",-4.2%
6234,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6215,地代家賃,"549,740",1.7%,"549,740",2.3%,"549,067",2.6%,"549,740",2.4%,-673,-0.1%
6216,修繕／車両関係費,"756,086",2.4%,"288,000",1.2%,"66,000",0.3%,"61,383",0.3%,"4,617",7.5%
6217,事務用消耗品費,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6218,通信交通費,"21,002",0.1%,"29,577",0.1%,"25,101",0.1%,"33,541",0.1%,"-8,440",-25.2%
6219,水道光熱費,"795,190",2.5%,"1,166,231",4.9%,"732,799",3.4%,"789,837",3.5%,"-57,038",-7.2%
6221,租税公課,"4,000",0.0%,0,0.0%,"4,000",0.0%,"4,000",0.0%,0,0.0%
6222,寄付金,"6,666",0.0%,0,0.0%,"13,000",0.1%,"13,000",0.1%,0,0.0%
6223,接待交際費,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6224,保険料,"48,658",0.2%,"48,658",0.2%,"51,218",0.2%,"51,120",0.2%,98,0.2%
6225,備品消耗品費,"950,319",3.0%,"790,316",3.4%,"607,859",2.8%,"829,997",3.6%,"-222,138",-26.8%
6227,管理諸費,"210,472",0.7%,"194,399",0.8%,"195,839",0.9%,"201,907",0.9%,"-6,068",-3.0%
6228,リース／レンタル料,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6229,諸会費,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6313,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6233,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6314,貸倒償却,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6231,雑費,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
,販売費及び一般管理費計,"12,174,402",38.5%,"12,321,207",52.3%,"9,783,680",45.7%,"11,183,704",49.2%,"-1,400,024",-12.5%
,営業利益（損失）,"6,916,304",21.9%,"1,217,744",5.2%,"2,230,164",10.4%,"1,571,297",6.9%,"658,867",41.9%
7111,受取利息,0,,0,,0,,0,,0,#DIV/0!
7112,為替差益,0,,0,,0,,0,,0,#DIV/0!
7113,ＬＬＰ収入,0,,0,,0,,0,,0,#DIV/0!
7114,受取配当金,0,,0,,0,,0,,0,#DIV/0!
7118,雑収入,0,,0,,0,,0,,0,#DIV/0!
,営業外収益計,0,,0,,0,,0,,0,#DIV/0!
7511,支払利息,0,,0,,0,,0,,0,#DIV/0!
7518,手形売却損,0,,0,,0,,0,,0,#DIV/0!
7512,為替差損,0,,0,,0,,0,,0,#DIV/0!
7513,現金過不足,0,,0,,0,,0,,0,#DIV/0!
7514,ＬＬＰ損失,0,,0,,0,,0,,0,#DIV/0!
7515,繰延資産償却,0,,0,,0,,0,,0,#DIV/0!
7519,雑損失,0,,0,,0,,0,,0,#DIV/0!
,営業外費用計,0,,0,,0,,0,,0,#DIV/0!
,経常利益（損失）,"6,916,304",,"1,217,744",,"2,230,164",,"1,571,297",,"658,867",41.9%
