"ｺｰﾄﾞ","勘定科目名"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"
"4111","売上高","0","0","0","0","0","0","0","0","0","18,895,232","18,187,683","23,991,389"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","0","18,895,232","18,187,683","23,991,389"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","2,318,075","2,207,644","2,183,509"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","2,207,644","2,183,509","5,246,099"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","8,425,194","8,468,434","13,862,830"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","8,535,625","8,492,569","10,800,240"
,"売上総利益","0","0","0","0","0","0","0","0","0","10,359,607","9,695,114","13,191,149"
"6111","給与手当","0","0","0","0","0","0","0","0","0","1,054,400","1,094,200","1,148,200"
"6311","雑給","0","0","0","0","0","0","0","0","0","3,058,566","2,806,116","3,462,793"
"6112","旅費交通費","0","0","0","0","0","0","0","0","0","67,936","80,529","85,630"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","1,077,098","749,388","909,618"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","87,899","56,980","106,527"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","736","0","936"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","11,275","73,525"
"6117","支払手数料","0","0","0","0","0","0","0","0","0","714,390","721,781","859,963"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","57,833","57,833","-224,895"
"6312","法定福利費","0","0","0","0","0","0","0","0","0","411,517","432,450","464,273"
"6226","厚生費","0","0","0","0","0","0","0","0","0","36,727","137,935","40,700"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","172,936","172,936","172,936"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","765,794","765,794","765,794"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","768,390","131,000","408,784"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","0","28,909","27,468","21,275"
"6219","水道光熱費","0","0","0","0","0","0","0","0","0","757,374","709,937","663,174"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","1,000","5,466"
"6222","寄付金","0","0","0","0","0","0","0","0","0","5,000","0","20,000"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","120,000","65,847"
"6225","備品消耗品費","0","0","0","0","0","0","0","0","0","354,271","372,549","541,224"
"6227","管理諸費","0","0","0","0","0","0","0","0","0","276,784","287,194","282,293"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","0","0","0","9,696,560","8,736,365","9,874,063"
,"営業利益（損失）","0","0","0","0","0","0","0","0","0","663,047","958,749","3,317,086"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","0","0","0","0","663,047","958,749","3,317,086"
