"ｺｰﾄﾞ","勘定科目名"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"
"4111","売上高","13,032,563","16,235,291","9,550,382","7,003,560","14,751,018","14,057,333","17,899,014","12,501,837","8,827,810","14,242,781","11,911,304","14,087,373"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","13,032,563","16,235,291","9,550,382","7,003,560","14,751,018","14,057,333","17,899,014","12,501,837","8,827,810","14,242,781","11,911,304","14,087,373"
"5111","期首棚卸高","1,638,821","1,497,548","1,541,459","1,584,906","2,454,165","1,426,480","1,814,187","4,149,886","1,787,054","1,776,977","2,018,411","2,723,018"
"5211","商品仕入高","6,251,381","8,353,671","5,151,144","4,141,677","7,032,185","7,221,095","10,818,673","3,814,831","4,405,592","7,200,091","6,968,820","6,456,927"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,497,548","1,541,459","1,584,906","2,454,165","1,426,480","1,814,187","4,149,886","1,787,054","1,776,977","2,018,411","2,723,018","2,239,617"
,"当期売上原価","6,392,654","8,309,760","5,107,697","3,272,418","8,059,870","6,833,388","8,482,974","6,177,663","4,415,669","6,958,657","6,264,213","6,940,328"
,"売上総利益","6,639,909","7,925,531","4,442,685","3,731,142","6,691,148","7,223,945","9,416,040","6,324,174","4,412,141","7,284,124","5,647,091","7,147,045"
