ｺｰﾄﾞ,勘定科目名,31年  1月,31年  2月,31年  3月,31年  4月, 1年  5月, 1年  6月, 1年  7月, 1年  8月, 1年  9月, 1年 10月, 1年 11月, 1年 12月, 1年 12月累計
4111,売上高,"20,751,225","17,904,318","25,841,807","20,401,603","19,171,722","21,211,896","22,880,678","24,528,749","19,070,390","17,216,726","19,193,444","24,297,969","60,708,139"
4112,賃貸料収入,0,0,0,0,0,0,0,0,0,0,0,0,0
4113,ＬＬＰ収益,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,通信売上高,0,0,0,0,0,0,0,0,0,0,0,0,0
4115,売上値引戻り高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
,純売上高,"20,751,225","17,904,318","25,841,807","20,401,603","19,171,722","21,211,896","22,880,678","24,528,749","19,070,390","17,216,726","19,193,444","24,297,969","60,708,139"
5111,期首たな卸高,"5,073,593","2,369,384","1,673,089","1,659,387","2,466,331","2,361,802","1,897,490","2,085,135","2,518,161","2,150,528","2,362,442","2,142,489","2,150,528"
5211,商品仕入高,"6,799,079","7,438,979","10,570,874","9,144,430","7,794,562","8,708,330","9,631,608","10,970,070","7,717,768","7,742,013","8,509,148","12,268,228","28,519,389"
5212,通信商品仕入高,0,0,0,0,0,0,0,0,0,0,0,0,0
5215,ｺﾐｯｼｮﾝ清掃代,0,0,0,0,0,0,0,0,0,0,0,0,0
5216,ＬＬＰ原価,0,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5311,期末たな卸高      (△),"2,369,384","1,673,089","1,659,387","2,466,331","2,361,802","1,897,490","2,085,135","2,518,161","2,241,900","2,362,442","2,142,489","3,526,951","3,526,951"
,当期売上原価,"9,503,288","8,135,274","10,584,576","8,337,486","7,899,091","9,172,642","9,443,963","10,537,044","7,994,029","7,530,099","8,729,101","10,883,766","27,142,966"
,売上総利益,"11,247,937","9,769,044","15,257,231","12,064,117","11,272,631","12,039,254","13,436,715","13,991,705","11,076,361","9,686,627","10,464,343","13,414,203","33,565,173"
6111,給与手当,"1,537,208","1,392,048","1,199,301","1,211,175","1,330,375","1,550,370","1,546,875","1,691,540","1,546,370","1,527,888","1,371,000","1,379,000","4,277,888"
6311,雑給,"2,617,442","2,708,771","3,579,905","3,074,939","3,050,101","2,885,122","3,034,591","2,911,645","2,696,143","2,550,562","2,569,129","3,065,957","8,185,648"
6112,旅費交通費,"152,911","122,864","131,111","84,274","98,907","107,993","104,294","100,686","94,527","83,581","93,329","106,077","282,987"
6113,広告宣伝費,"1,006,623","1,140,861","1,418,514","1,030,896","862,181","1,026,946","1,290,107","1,102,801","954,994","850,892","961,938","981,083","2,793,913"
6114,販売促進費,"40,406","57,109","70,017","77,492","48,196","79,332","61,487","63,032","75,461","112,295","63,222","134,145","309,662"
6115,荷造発送費,0,0,0,0,"1,866",0,0,0,0,0,"1,145",0,"1,145"
6116,外注費,0,0,0,0,0,0,0,0,0,0,0,0,0
6117,支払手数料,"682,765","669,062","865,318","729,467","664,159","721,674","760,919","888,353","760,936","523,588","706,827","737,615","1,968,030"
6118,,0,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,0,0,0,0,0,0,0,0,0,0,0,0,0
6232,,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,"12,000","12,000","12,000","12,000","12,000","251,850","12,000","12,000","12,000","12,000","12,000","866,704","890,704"
6312,法定福利費,"344,759","367,215","333,841","380,123","421,815","496,172","452,670","579,119","464,392","426,777","405,740","555,102","1,387,619"
6226,厚生費,"532,579","490,445","276,483","245,566","319,590","307,798","379,815","288,345","478,607","94,966","248,478","458,361","801,805"
6119,退職金,0,0,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,"765,792","765,792","765,792","765,792","765,792","765,792","765,792","765,792","270,683","660,730","660,730","660,730","1,982,190"
6234,,0,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,"1,228,628","1,228,628","1,228,628","1,227,778","1,227,778","1,227,778","1,228,628","1,227,778","1,250,000","1,227,273","1,227,273","1,227,273","3,681,819"
6216,修繕／車両関係費,"29,352","127,315","143,519","80,093","90,500","67,000","151,444","91,500","355,166","114,000","97,500","232,373","443,873"
6217,事務用消耗品費,0,0,0,0,0,0,0,0,0,0,0,0,0
6218,通信交通費,"37,656","15,529","2,202","15,092","21,938","2,205","21,858","2,203","21,897","12,617","2,203","12,085","26,905"
6219,水道光熱費,"1,087,935","745,024","1,030,270","582,237","976,499","579,124","954,427","634,122","1,234,804","593,484","792,728","436,302","1,822,514"
6221,租税公課,"2,000","4,000","8,000","6,000",0,"8,000","4,000","4,000","2,000","2,000","4,000","8,000","14,000"
6222,寄付金,0,0,0,0,0,0,0,"6,667",0,0,0,0,0
6223,接待交際費,0,0,0,0,0,0,0,0,"1,250",0,0,0,0
6224,保険料,"50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","62,560","60,000","60,000","182,560"
6225,備品消耗品費,"451,098","405,815","740,411","488,861","666,128","1,015,632","626,161","523,374","560,751","2,144,820","607,308","1,657,593","4,409,721"
6227,管理諸費,"231,030","227,730","611,530","267,099","238,905","251,029","243,005","238,575","839,680","231,240","236,957","230,980","699,177"
6228,リース／レンタル料,0,0,0,0,0,0,0,0,0,0,0,0,0
6229,諸会費,0,0,0,0,0,"30,000",0,0,0,0,0,0,0
6313,,0,0,0,0,0,0,0,0,0,0,0,0,0
6233,,0,0,0,0,0,0,0,0,0,0,0,0,0
6314,貸倒償却,0,0,0,0,0,0,0,0,0,0,0,0,0
6231,雑費,0,0,0,0,0,0,"3,000",0,0,0,0,0,0
,販売費及び一般管理費計,"10,810,184","10,530,208","12,466,842","10,328,884","10,846,730","11,423,817","11,691,073","11,181,532","11,669,661","11,231,273","10,121,507","12,809,380","34,162,160"
,営業利益（損失）,"437,753","-761,164","2,790,389","1,735,233","425,901","615,437","1,745,642","2,810,173","-593,300","-1,544,646","342,836","604,823","-596,987"
7111,受取利息,0,0,0,0,0,0,0,0,0,0,0,0,0
7112,為替差益,0,0,0,0,0,0,0,0,0,0,0,0,0
7113,ＬＬＰ収入,0,0,0,0,0,0,0,0,0,0,0,0,0
7114,受取配当金,0,0,0,0,0,0,0,0,0,0,0,0,0
7118,雑収入,0,0,0,0,0,0,0,0,0,0,0,0,0
,営業外収益計,0,0,0,0,0,0,0,0,0,0,0,0,0
7511,支払利息,0,0,0,0,0,0,0,0,0,0,0,0,0
7518,手形売却損,0,0,0,0,0,0,0,0,0,0,0,0,0
7512,為替差損,0,0,0,0,0,0,0,0,0,0,0,0,0
7513,現金過不足,0,0,0,0,0,0,0,0,0,0,"3,208",0,"3,208"
7514,ＬＬＰ損失,0,0,0,0,0,0,0,0,0,0,0,0,0
7515,繰延資産償却,0,0,0,0,0,0,0,0,"600,000",0,0,0,0
7519,雑損失,0,0,0,0,0,0,0,0,0,0,0,0,0
,営業外費用計,0,0,0,0,0,0,0,0,"600,000",0,"3,208",0,"3,208"
,経常利益（損失）,"437,753","-761,164","2,790,389","1,735,233","425,901","615,437","1,745,642","2,810,173","-1,193,300","-1,544,646","339,628","604,823","-600,195"
