"ｺｰﾄﾞ","勘定科目名","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"
"4111","売上高","20,401,603","19,171,722","21,211,896","22,880,678","24,528,749","19,070,390","17,216,726","19,193,444","24,308,623","21,448,285","17,133,666","19,836,457"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","20,401,603","19,171,722","21,211,896","22,880,678","24,528,749","19,070,390","17,216,726","19,193,444","24,308,623","21,448,285","17,133,666","19,836,457"
"5111","期首たな卸高","1,659,387","2,466,331","2,361,802","1,897,490","2,085,135","2,518,161","2,150,528","2,362,442","2,142,489","3,526,951","1,788,986","1,805,007"
"5211","商品仕入高","9,144,430","7,794,562","8,708,330","9,631,608","10,970,070","7,717,768","7,742,013","8,509,148","12,261,917","7,530,380","8,188,657","8,494,004"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","2,466,331","2,361,802","1,897,490","2,085,135","2,518,161","2,241,900","2,362,442","2,142,489","3,526,951","1,788,986","1,805,007","1,530,699"
,"当期売上原価","8,337,486","7,899,091","9,172,642","9,443,963","10,537,044","7,994,029","7,530,099","8,729,101","10,877,455","9,268,345","8,172,636","8,768,312"
,"売上総利益","12,064,117","11,272,631","12,039,254","13,436,715","13,991,705","11,076,361","9,686,627","10,464,343","13,431,168","12,179,940","8,961,030","11,068,145"
"6111","給与手当","1,211,175","1,330,375","1,550,370","1,546,875","1,691,540","1,546,370","1,527,888","1,371,000","1,379,000","1,717,750","1,417,500","1,316,000"
"6311","雑給","3,074,939","3,050,101","2,885,122","3,034,591","2,911,645","2,696,143","2,550,562","2,569,129","3,288,836","2,790,186","2,658,398","3,108,941"
"6112","旅費交通費","84,274","98,907","107,993","104,294","100,686","94,527","83,581","93,329","106,077","98,310","97,352","69,304"
"6113","広告宣伝費","1,030,896","862,181","1,026,946","1,290,107","1,102,801","954,994","850,892","961,938","1,011,086","948,733","899,806","1,052,374"
"6114","販売促進費","77,492","48,196","79,332","61,487","63,032","75,461","112,295","63,222","160,997","113,704","111,085","104,263"
"6115","荷造発送費","0","1,866","0","0","0","0","0","1,145","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","729,467","664,159","721,674","760,919","888,353","760,936","523,588","706,827","737,615","763,641","574,650","877,684"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","12,000","12,000","251,850","12,000","12,000","12,000","12,000","12,000","866,704","12,000","12,000","12,000"
"6312","法定福利費","380,123","421,815","496,172","452,670","579,119","464,392","426,777","405,740","555,102","462,161","386,306","426,058"
"6226","厚生費","245,566","319,590","307,798","379,815","288,345","478,607","94,966","248,478","458,361","252,446","186,386","80,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","765,792","765,792","765,792","765,792","765,792","270,683","660,730","660,730","660,730","660,730","660,730","660,730"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,227,778","1,227,778","1,227,778","1,228,628","1,227,778","1,250,000","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273"
"6216","修繕／車両関係費","80,093","90,500","67,000","151,444","91,500","355,166","114,000","97,500","232,373","78,500","344,417","36,000"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","15,092","21,938","2,205","21,858","2,203","21,897","12,617","2,203","12,085","22,068","2,203","21,786"
"6219","水道光熱費","582,237","976,499","579,124","954,427","634,122","1,234,804","593,484","792,728","436,302","943,496","573,730","879,105"
"6221","租税公課","6,000","0","8,000","4,000","4,000","2,000","2,000","4,000","8,000","2,000","4,000","0"
"6222","寄付金","0","0","0","0","6,667","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","1,250","0","0","0","0","0","0"
"6224","保険料","50,000","50,000","50,000","50,000","50,000","50,000","62,560","60,000","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","488,861","666,128","1,015,632","626,161","523,374","560,751","2,144,820","607,308","1,657,593","604,556","713,862","445,943"
"6227","管理諸費","267,099","238,905","251,029","243,005","238,575","839,680","231,240","236,957","230,980","246,588","254,243","232,980"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","30,000","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","3,000","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","10,328,884","10,846,730","11,423,817","11,691,073","11,181,532","11,669,661","11,231,273","10,121,507","13,089,114","11,004,142","10,183,941","10,610,441"
,"営業利益（損失）","1,735,233","425,901","615,437","1,745,642","2,810,173","-593,300","-1,544,646","342,836","342,054","1,175,798","-1,222,911","457,704"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","3,208","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","600,000","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","600,000","0","3,208","0","0","0","0"
,"経常利益（損失）","1,735,233","425,901","615,437","1,745,642","2,810,173","-1,193,300","-1,544,646","339,628","342,054","1,175,798","-1,222,911","457,704"
