"ｺｰﾄﾞ","勘定科目名"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"
"4111","売上高","22,880,678","24,528,749","19,070,390","17,216,726","19,193,444","24,308,623","21,448,285","17,133,666","19,836,457","7,483,967","5,880,713","14,538,420"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","22,880,678","24,528,749","19,070,390","17,216,726","19,193,444","24,308,623","21,448,285","17,133,666","19,836,457","7,483,967","5,880,713","14,538,420"
"5111","期首たな卸高","1,897,490","2,085,135","2,518,161","2,150,528","2,362,442","2,142,489","3,526,951","1,788,986","1,805,007","1,530,699","839,298","989,401"
"5211","商品仕入高","9,631,608","10,970,070","7,717,768","7,742,013","8,509,148","12,261,917","7,530,380","8,188,657","8,494,004","2,615,689","2,560,392","6,787,951"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","2,085,135","2,518,161","2,241,900","2,362,442","2,142,489","3,526,951","1,788,986","1,805,007","1,530,699","839,298","989,401","1,228,936"
,"当期売上原価","9,443,963","10,537,044","7,994,029","7,530,099","8,729,101","10,877,455","9,268,345","8,172,636","8,768,312","3,307,090","2,410,289","6,548,416"
,"売上総利益","13,436,715","13,991,705","11,076,361","9,686,627","10,464,343","13,431,168","12,179,940","8,961,030","11,068,145","4,176,877","3,470,424","7,990,004"
"6111","給与手当","1,546,875","1,691,540","1,546,370","1,527,888","1,371,000","1,379,000","1,717,750","1,417,500","1,316,000","1,276,957","1,053,490","1,297,500"
"6311","雑給","3,034,591","2,911,645","2,696,143","2,550,562","2,569,129","3,288,836","2,790,186","2,658,398","3,108,941","1,829,720","1,857,495","2,238,461"
"6112","旅費交通費","104,294","100,686","94,527","83,581","93,329","106,077","98,310","97,352","69,304","75,889","34,696","84,429"
"6113","広告宣伝費","1,290,107","1,102,801","954,994","850,892","961,938","1,011,086","948,733","899,806","1,052,374","338,725","250,505","819,072"
"6114","販売促進費","61,487","63,032","75,461","112,295","63,222","160,997","113,704","111,085","104,263","49,574","24,504","46,931"
"6115","荷造発送費","0","0","0","0","1,145","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","760,919","888,353","760,936","523,588","706,827","737,615","763,641","574,650","893,183","304,644","233,108","593,990"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
