"ｺｰﾄﾞ","勘定科目名"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"
"4111","売上高","17,216,726","19,193,444","24,308,623","21,448,285","17,133,666","19,836,457","7,483,967","5,880,713","14,538,420","17,537,531","17,119,555","15,066,391"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","17,216,726","19,193,444","24,308,623","21,448,285","17,133,666","19,836,457","7,483,967","5,880,713","14,538,420","17,537,531","17,119,555","15,066,391"
"5111","期首たな卸高","2,150,528","2,362,442","2,142,489","3,526,951","1,788,986","1,805,007","1,530,699","839,298","989,401","1,228,936","1,511,642","1,281,677"
"5211","商品仕入高","7,742,013","8,509,148","12,261,917","7,530,380","8,188,657","8,494,004","2,615,689","2,560,392","6,787,951","8,354,932","7,408,125","7,102,466"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","2,362,442","2,142,489","3,526,951","1,788,986","1,805,007","1,530,699","839,298","989,401","1,228,936","1,511,642","1,281,677","1,313,082"
,"当期売上原価","7,530,099","8,729,101","10,877,455","9,268,345","8,172,636","8,768,312","3,307,090","2,410,289","6,548,416","8,072,226","7,638,090","7,071,061"
,"売上総利益","9,686,627","10,464,343","13,431,168","12,179,940","8,961,030","11,068,145","4,176,877","3,470,424","7,990,004","9,465,305","9,481,465","7,995,330"
"6111","給与手当","1,527,888","1,371,000","1,379,000","1,717,750","1,417,500","1,316,000","1,276,957","1,053,490","1,297,500","1,522,703","1,588,000","1,491,500"
"6311","雑給","2,550,562","2,569,129","3,288,836","2,790,186","2,658,398","3,108,941","1,829,720","1,857,495","2,238,461","2,627,010","2,331,773","2,145,789"
"6112","旅費交通費","83,581","93,329","106,077","98,310","97,352","69,304","75,889","34,696","84,429","86,593","101,314","106,792"
"6113","広告宣伝費","850,892","961,938","1,011,086","948,733","899,806","1,052,374","338,725","250,505","819,072","871,325","895,297","855,895"
"6114","販売促進費","112,295","63,222","160,997","113,704","111,085","104,263","49,574","24,504","46,931","62,630","75,379","43,026"
"6115","荷造発送費","0","1,145","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
