"ｺｰﾄﾞ","勘定科目名"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"
"4111","売上高","14,087,373","11,862,286","14,877,675","14,680,123","12,804,564","13,809,605","13,597,258","18,073,305","15,517,742","13,152,496","18,367,576","16,083,780"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","14,087,373","11,862,286","14,877,675","14,680,123","12,804,564","13,809,605","13,597,258","18,073,305","15,517,742","13,152,496","18,367,576","16,083,780"
"5111","期首棚卸高","2,723,018","2,239,617","1,646,238","1,183,337","1,287,130","1,831,476","1,625,132","1,388,024","4,092,590","1,955,717","2,055,429","2,369,084"
"5211","商品仕入高","6,456,927","5,264,559","5,810,177","6,120,310","5,959,211","5,836,034","6,422,873","10,800,105","4,650,575","5,951,402","8,738,292","7,038,069"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","2,239,617","1,646,238","1,183,337","1,287,130","1,831,476","1,625,132","1,388,024","4,092,590","1,955,717","2,055,429","2,369,084","2,178,708"
,"当期売上原価","6,940,328","5,857,938","6,273,078","6,016,517","5,414,865","6,042,378","6,659,981","8,095,539","6,787,448","5,851,690","8,424,637","7,228,445"
,"売上総利益","7,147,045","6,004,348","8,604,597","8,663,606","7,389,699","7,767,227","6,937,277","9,977,766","8,730,294","7,300,806","9,942,939","8,855,335"
"6111","給与手当","1,147,000","1,292,000","1,516,028","1,269,500","1,154,500","1,025,000","1,025,000","1,167,412","1,025,000","1,050,000","1,025,000","1,050,000"
"6311","雑給","2,467,307","2,294,314","2,470,619","2,319,604","2,305,283","2,456,424","2,342,920","2,707,605","2,264,399","2,055,687","2,597,139","2,483,582"
"6112","旅費交通費","107,185","77,783","93,837","93,393","64,793","88,869","93,472","79,779","80,727","79,154","101,216","93,508"
"6113","広告宣伝費","968,792","641,520","682,311","735,208","602,777","833,584","847,703","933,382","1,060,642","894,714","1,087,735","803,102"
"6114","販売促進費","62,394","85,315","75,124","92,329","67,236","52,568","71,154","67,534","61,398","48,095","73,407","67,685"
"6115","荷造発送費","0","0","0","0","0","0","0","1,225","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","68,631","68,032","128,913","213,014","341,672","161,825"
"6117","支払手数料","732,252","443,750","477,454","509,031","600,352","573,842","490,858","1,035,512","601,817","550,951","646,526","707,442"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","56,150","98,000","98,000","98,000","98,000","65,333","65,333","-166,667","65,333","65,333","65,333","65,333"
"6312","法定福利費","384,440","391,646","375,215","375,215","312,152","278,492","278,492","296,970","271,570","271,570","271,570","288,955"
"6226","厚生費","232,553","151,901","137,111","11,332","212,973","161,200","121,182","194,934","91,393","28,884","36,011","232,022"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","520,446","520,446","520,446","520,446","520,604","392,314","392,314","392,314","392,314","392,314","392,314","392,314"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273","1,227,273"
"6216","修繕／車両関係費","139,000","0","10,000","0","138,000","138,000","243,201","11,700","75,900","46,000","0","175,150"
"6217","事務用消耗品費","0","0","0","771","0","771","11,043","2,375","0","0","0","0"
"6218","通信交通費","21,025","11,601","2,203","21,003","11,578","11,585","11,600","2,203","21,117","11,594","11,495","2,203"
"6219","水道光熱費","858,558","518,971","583,787","921,980","1,018,232","719,613","856,111","708,665","1,131,444","1,008,631","990,412","651,918"
"6221","租税公課","1,000","1,000","0","1,000","0","1,000","2,000","0","1,000","0","4,000","4,000"
"6222","寄付金","0","0","0","6,668","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","1,080","0","0","0","0"
"6224","保険料","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","346,079","392,985","417,763","570,918","668,235","410,080","597,925","986,470","764,533","1,469,068","390,983","527,531"
"6227","管理諸費","220,416","243,680","356,795","241,680","203,030","243,879","204,354","117,300","812,000","219,000","200,952","233,500"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","17,000","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","2,310","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","9,551,870","8,452,185","9,103,966","9,075,351","9,265,018","8,739,827","9,010,566","9,895,098","10,136,773","9,693,592","9,540,038","9,227,343"
,"営業利益（損失）","-2,404,825","-2,447,837","-499,369","-411,745","-1,875,319","-972,600","-2,073,289","82,668","-1,406,479","-2,392,786","402,901","-372,008"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
