"ｺｰﾄﾞ","勘定科目名"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"
"4111","売上高","29,500,290","23,647,539","20,102,968","21,846,401","30,141,987","27,121,875","23,381,576","29,103,869","9,768,291","11,476,247","20,442,934","22,582,712"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","29,500,290","23,647,539","20,102,968","21,846,401","30,141,987","27,121,875","23,381,576","29,103,869","9,768,291","11,476,247","20,442,934","22,582,712"
"5111","期首たな卸高","1,962,761","2,817,474","2,308,780","2,221,234","2,135,569","4,682,367","1,989,637","1,951,917","2,375,604","1,855,570","1,634,563","2,152,603"
"5211","商品仕入高","12,146,031","8,956,724","8,500,113","9,050,062","14,744,925","8,853,028","9,866,152","12,042,460","4,497,790","4,865,256","9,530,975","9,540,210"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","2,817,474","2,308,780","2,221,234","2,135,569","4,682,367","1,989,637","1,951,917","2,375,604","1,855,570","1,634,563","2,152,603","1,928,431"
,"当期売上原価","11,291,318","9,465,418","8,587,659","9,135,727","12,198,127","11,545,758","9,903,872","11,618,773","5,017,824","5,086,263","9,012,935","9,764,382"
,"売上総利益","18,208,972","14,182,121","11,515,309","12,710,674","17,943,860","15,576,117","13,477,704","17,485,096","4,750,467","6,389,984","11,429,999","12,818,330"
"6111","給与手当","1,806,848","1,900,681","1,924,387","1,872,500","1,992,500","1,924,000","1,873,500","1,641,000","1,600,999","1,464,245","1,580,327","1,794,500"
"6311","雑給","3,351,812","2,865,123","2,711,762","2,982,078","3,633,481","3,165,102","3,058,553","3,898,850","2,248,072","2,211,263","2,657,991","2,541,653"
"6112","旅費交通費","60,476","94,276","51,239","52,343","85,313","54,556","100,458","78,003","62,280","54,738","69,777","71,593"
"6113","広告宣伝費","1,658,234","1,543,059","1,199,301","1,387,742","1,855,841","1,681,108","1,395,466","1,668,703","578,592","724,205","1,419,022","1,279,804"
"6114","販売促進費","91,919","93,749","101,223","58,019","152,806","157,494","152,385","149,205","38,071","64,268","75,656","53,934"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","862,601","681,068","631,436","637,335","951,432","892,221","842,017","979,499","472,444","417,563","592,378","823,752"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","94,000","94,000","94,000","94,000","841,781","94,000","94,000","94,000","0","0","0","0"
"6312","法定福利費","324,349","341,947","345,818","328,147","477,508","345,711","333,582","280,370","280,370","307,370","275,369","298,641"
"6226","厚生費","102,289","516,783","82,136","124,169","97,639","120,065","132,949","174,798","17,804","-6,382","51,412","72,329"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","193,650","337,602","137,296","137,296","137,296","137,296","137,296","137,296","137,296","137,296","137,296","137,296"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","2,442,593","2,486,112","2,440,910","2,440,910","2,205,910","2,205,910","2,205,910","2,205,910","254,546","254,546","6,108,637","2,205,910"
"6216","修繕／車両関係費","189,700","352,900","95,085","106,500","474,500","89,900","1,080,490","55,000","0","0","21,909","0"
"6217","事務用消耗品費","2,213","845","6,118","100","6,077","7,596","500","4,706","0","6,632","4,673","0"
"6218","通信交通費","11,401","11,401","11,947","11,452","11,199","11,030","11,040","11,018","11,104","13,462","11,140","11,021"
"6219","水道光熱費","1,043,040","840,371","955,694","510,810","779,842","599,942","911,117","503,819","777,451","287,469","494,062","502,693"
"6221","租税公課","4,000","0","0","0","4,000","4,000","0","4,000","0","0","0","0"
"6222","寄付金","6,667","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","1,500","0","0","0","0","0","0","0","10,000","0","0"
"6224","保険料","59,320","59,320","62,560","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","780,674","722,860","644,426","625,079","1,614,866","708,437","623,885","859,003","502,563","244,919","743,350","707,791"
