"ｺｰﾄﾞ","勘定科目名"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"
"4111","売上高","11,476,247","20,442,934","22,582,712","22,573,904","19,460,292","22,151,866","24,050,486","25,674,637","21,255,885","18,608,451","27,038,919","19,121,331"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","11,476,247","20,442,934","22,582,712","22,573,904","19,460,292","22,151,866","24,050,486","25,674,637","21,255,885","18,608,451","27,038,919","19,121,331"
"5111","期首たな卸高","1,855,570","1,634,563","2,152,603","1,928,431","1,465,626","1,426,878","2,064,114","1,434,874","4,067,002","1,075,390","1,738,644","2,500,620"
"5211","商品仕入高","4,865,256","9,530,975","9,540,210","9,027,917","7,971,459","9,892,039","9,592,443","14,055,362","6,850,099","8,742,450","12,648,359","8,000,976"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,634,563","2,152,603","1,928,431","1,465,626","1,426,878","2,064,114","1,434,874","4,067,002","1,075,390","1,738,644","2,500,620","2,299,150"
,"当期売上原価","5,086,263","9,012,935","9,764,382","9,490,722","8,010,207","9,254,803","10,221,683","11,423,234","9,841,711","8,079,196","11,886,383","8,202,446"
,"売上総利益","6,389,984","11,429,999","12,818,330","13,083,182","11,450,085","12,897,063","13,828,803","14,251,403","11,414,174","10,529,255","15,152,536","10,918,885"
"6111","給与手当","1,464,245","1,580,327","1,794,500","1,800,000","1,562,500","1,626,500","1,637,500","1,636,000","1,856,000","1,394,389","1,671,000","1,635,000"
"6311","雑給","2,211,263","2,657,991","2,541,653","2,748,690","2,667,069","2,756,432","2,839,053","3,247,578","3,022,657","2,455,529","3,174,869","2,374,859"
