"ｺｰﾄﾞ","勘定科目名"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"
"4111","売上高","25,674,637","21,255,885","18,608,451","27,038,919","19,121,331","19,825,854","16,926,525","17,742,956","11,241,665","6,959,871","19,157,048","18,039,717"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","25,674,637","21,255,885","18,608,451","27,038,919","19,121,331","19,825,854","16,926,525","17,742,956","11,241,665","6,959,871","19,157,048","18,039,717"
"5111","期首棚卸高","1,434,874","4,067,002","1,075,390","1,738,644","2,500,620","2,299,150","1,396,089","1,544,290","1,567,399","1,373,025","1,641,070","1,519,646"
"5211","商品仕入高","14,055,362","6,850,099","8,742,450","12,648,359","8,000,976","7,966,041","7,917,188","8,334,772","5,519,361","4,231,275","8,402,132","9,060,856"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","4,067,002","1,075,390","1,738,644","2,500,620","2,299,150","1,396,089","1,544,290","1,567,399","1,373,025","1,641,070","1,519,646","1,928,368"
,"当期売上原価","11,423,234","9,841,711","8,079,196","11,886,383","8,202,446","8,869,102","7,768,987","8,311,663","5,713,735","3,963,230","8,523,556","8,652,134"
,"売上総利益","14,251,403","11,414,174","10,529,255","15,152,536","10,918,885","10,956,752","9,157,538","9,431,293","5,527,930","2,996,641","10,633,492","9,387,583"
"6111","給与手当","1,636,000","1,856,000","1,394,389","1,671,000","1,635,000","1,634,500","1,480,000","1,600,000","1,600,000","1,543,522","1,597,000","1,513,000"
"6311","雑給","3,247,578","3,022,657","2,455,529","3,174,869","2,374,859","2,581,514","2,386,886","2,400,428","2,216,527","1,849,670","2,491,635","2,580,284"
"6112","旅費交通費","71,596","76,195","56,539","83,860","64,229","87,082","94,636","85,455","53,472","57,903","74,201","63,683"
"6113","広告宣伝費","1,847,096","1,363,611","1,244,074","1,603,659","1,109,060","1,387,152","690,465","1,243,051","609,403","1,118,899","890,612","672,651"
"6114","販売促進費","150,930","137,551","185,474","162,146","118,081","115,204","121,973","71,138","109,643","70,477","110,983","135,185"
"6115","荷造発送費","0","0","0","1,882","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","812,821","845,669","674,287","830,720","559,556","590,654","542,342","593,468","399,582","288,535","592,339","542,526"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
