"ｺｰﾄﾞ","勘定科目名"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"
"4111","売上高","11,241,665","6,959,871","19,157,048","18,039,717","27,025,130","20,220,315","12,975,616","21,799,285","19,214,895","20,098,718","17,696,291","19,262,721"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","11,241,665","6,959,871","19,157,048","18,039,717","27,025,130","20,220,315","12,975,616","21,799,285","19,214,895","20,098,718","17,696,291","19,262,721"
"5111","期首棚卸高","1,567,399","1,373,025","1,641,070","1,519,646","1,928,368","5,774,964","2,110,616","1,884,756","2,316,647","2,249,639","2,021,027","1,530,356"
"5211","商品仕入高","5,519,361","4,231,275","8,402,132","9,060,856","17,512,600","5,390,019","6,261,916","10,439,975","8,701,228","9,073,116","7,961,359","8,525,590"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,373,025","1,641,070","1,519,646","1,928,368","5,774,964","2,110,616","1,884,756","2,316,647","2,249,639","2,021,027","1,530,356","2,032,686"
,"当期売上原価","5,713,735","3,963,230","8,523,556","8,652,134","13,666,004","9,054,367","6,487,776","10,008,084","8,768,236","9,301,728","8,452,030","8,023,260"
,"売上総利益","5,527,930","2,996,641","10,633,492","9,387,583","13,359,126","11,165,948","6,487,840","11,791,201","10,446,659","10,796,990","9,244,261","11,239,461"
"6111","給与手当","1,600,000","1,543,522","1,597,000","1,513,000","1,632,000","1,549,000","1,597,500","1,269,340","1,339,000","1,159,000","1,287,000","1,207,000"
"6311","雑給","2,216,527","1,849,670","2,491,635","2,580,284","3,447,064","3,029,507","2,329,687","2,986,933","3,055,595","3,342,056","3,057,187","3,082,336"
"6112","旅費交通費","53,472","57,903","74,201","63,683","68,431","73,141","62,665","90,801","65,063","82,339","74,792","83,561"
"6113","広告宣伝費","609,403","1,118,899","890,612","672,651","1,342,872","1,636,789","867,983","946,925","753,420","1,164,521","785,277","777,155"
"6114","販売促進費","109,643","70,477","110,983","135,185","152,154","82,520","76,085","88,899","124,013","98,642","82,487","100,157"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","135,614","0","0","0","0","0","0"
"6117","支払手数料","399,582","288,535","592,339","542,526","765,612","699,876","432,065","608,737","655,044","992,688","718,582","704,552"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","50,000","0","0","0","0","246,780","99,500","99,500"
"6312","法定福利費","276,675","273,384","278,774","278,774","285,929","278,774","278,774","273,428","273,736","326,437","300,913","267,815"
"6226","厚生費","5,632","-4,364","14,000","59,396","26,634","80,716","59,224","-1,364","79,549","21,850","64,075","25,640"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","93,607","340,317","110,903","110,903","110,903","110,903","110,903","110,903","110,903","110,903","110,903","110,903"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,233,183","2,205,909"
"6216","修繕／車両関係費","0","28,000","1,882,787","0","23,300","0","183,110","36,546","0","132,590","125,000","0"
"6217","事務用消耗品費","4,945","464","4,582","7,249","6,894","0","1,205","700","5,671","0","200","0"
"6218","通信交通費","13,571","13,203","22,820","13,815","19,240","16,195","13,475","19,550","13,448","14,653","14,352","16,054"
"6219","水道光熱費","808,450","532,038","542,023","536,746","739,835","627,931","814,976","474,432","842,166","596,881","908,440","720,874"
"6221","租税公課","0","0","0","0","0","0","0","4,233","1,000","0","0","0"
"6222","寄付金","6,667","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","30,000","0","0","0","0","0","0"
"6224","保険料","60,000","120,000","60,000","60,000","60,000","66,770","60,000","66,576","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","308,553","383,810","541,144","715,641","947,176","719,047","541,061","847,950","753,065","587,386","770,520","405,640"
"6227","管理諸費","202,360","163,095","251,705","194,056","215,013","223,483","776,057","272,960","379,020","785,076","285,420","486,526"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","4,000","0","4,000","0","32,000","0","64,500","0","22,000","0","12,400"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","30,580","0","0","0","0","1,900","0","2,000","0","0"
,"販売費及び一般管理費計","8,974,997","8,988,863","11,701,998","9,693,819","12,098,967","11,598,176","10,410,680","10,369,859","10,716,603","11,951,712","10,977,831","10,366,022"
,"営業利益（損失）","-3,447,067","-5,992,222","-1,068,506","-306,236","1,260,159","-432,228","-3,922,840","1,421,342","-269,944","-1,154,722","-1,733,570","873,439"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","194,545","194,545","187,909","201,181","181,273","201,182","194,545","194,545","194,545","194,545","194,545","194,545"
,"営業外収益計","194,545","194,545","187,909","201,181","181,273","201,182","194,545","194,545","194,545","194,545","194,545","194,545"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","-16","0","0","0","-3","0","0","0","-24"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","83,333","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","83,333","0","-16","0","0","0","-3","0","0","0","-24"
,"経常利益（損失）","-3,252,522","-5,881,010","-880,597","-105,039","1,441,432","-231,046","-3,728,295","1,615,890","-75,399","-960,177","-1,539,025","1,068,008"
