"ｺｰﾄﾞ","勘定科目名"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"
"4111","売上高","18,039,717","27,025,130","20,220,315","12,975,616","21,799,285","19,214,895","20,098,718","17,696,291","19,262,721","21,895,838","18,537,279","20,096,657"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","18,039,717","27,025,130","20,220,315","12,975,616","21,799,285","19,214,895","20,098,718","17,696,291","19,262,721","21,895,838","18,537,279","20,096,657"
"5111","期首棚卸高","1,519,646","1,928,368","5,774,964","2,110,616","1,884,756","2,316,647","2,249,639","2,021,027","1,530,356","2,032,686","1,541,181","2,338,698"
"5211","商品仕入高","9,060,856","17,512,600","5,390,019","6,261,916","10,439,975","8,701,228","9,073,116","7,961,359","8,525,590","9,189,437","8,889,936","8,387,387"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,928,368","5,774,964","2,110,616","1,884,756","2,316,647","2,249,639","2,021,027","1,530,356","2,032,686","1,541,181","2,338,698","1,859,998"
,"当期売上原価","8,652,134","13,666,004","9,054,367","6,487,776","10,008,084","8,768,236","9,301,728","8,452,030","8,023,260","9,680,942","8,092,419","8,866,087"
,"売上総利益","9,387,583","13,359,126","11,165,948","6,487,840","11,791,201","10,446,659","10,796,990","9,244,261","11,239,461","12,214,896","10,444,860","11,230,570"
"6111","給与手当","1,513,000","1,632,000","1,549,000","1,597,500","1,269,340","1,339,000","1,159,000","1,287,000","1,207,000","1,174,000","1,054,500","1,155,000"
"6311","雑給","2,580,284","3,447,064","3,029,507","2,329,687","2,986,933","3,055,595","3,342,056","3,057,187","3,082,336","3,094,578","3,005,420","3,105,124"
"6112","旅費交通費","63,683","68,431","73,141","62,665","90,801","65,063","82,339","74,792","83,561","63,357","75,077","63,337"
"6113","広告宣伝費","672,651","1,342,872","1,636,789","867,983","946,925","753,420","1,164,521","785,277","777,155","865,408","787,973","1,149,676"
"6114","販売促進費","135,185","152,154","82,520","76,085","88,899","124,013","98,642","82,487","100,157","120,662","68,145","88,417"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","135,614","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","542,526","765,612","699,876","432,065","608,737","655,044","992,688","718,582","704,552","711,361","751,118","727,583"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","50,000","0","0","0","0","246,780","99,500","99,500","99,500","99,500","66,333"
"6312","法定福利費","278,774","285,929","278,774","278,774","273,428","273,736","326,437","300,913","267,815","267,815","270,620","178,831"
"6226","厚生費","59,396","26,634","80,716","59,224","-1,364","79,549","21,850","64,075","25,640","63,665","32,085","35,180"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","110,903","110,903","110,903","110,903","110,903","110,903","110,903","110,903","110,903","110,903","369,760","94,293"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,205,910","2,233,183","2,205,909","2,205,909","2,205,909","2,205,909"
"6216","修繕／車両関係費","0","23,300","0","183,110","36,546","0","132,590","125,000","0","180,900","36,000","0"
"6217","事務用消耗品費","7,249","6,894","0","1,205","700","5,671","0","200","0","0","7,685","0"
"6218","通信交通費","13,815","19,240","16,195","13,475","19,550","13,448","14,653","14,352","16,054","13,588","16,088","13,559"
"6219","水道光熱費","536,746","739,835","627,931","814,976","474,432","842,166","596,881","908,440","720,874","1,141,066","1,003,604","1,087,017"
"6221","租税公課","0","0","0","0","4,233","1,000","0","0","0","0","1,000","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","6,666","0","0"
"6223","接待交際費","0","0","30,000","0","0","0","0","0","0","0","0","0"
"6224","保険料","60,000","60,000","66,770","60,000","66,576","60,000","60,000","60,000","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","715,641","947,176","719,047","541,061","847,950","753,065","587,386","770,520","405,640","768,650","652,823","611,391"
"6227","管理諸費","194,056","215,013","223,483","776,057","272,960","379,020","785,076","285,420","486,526","279,427","278,021","263,746"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","4,000","0","32,000","0","64,500","0","22,000","0","12,400","0","4,000","60,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
