"ｺｰﾄﾞ","勘定科目名"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"
"4111","売上高","0","0","18,320,314","17,079,143","27,028,409","22,497,956","18,708,852","27,049,219","19,703,195","20,476,815","19,623,725","19,877,783"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","55,198"
,"純売上高","0","0","18,320,314","17,079,143","27,028,409","22,497,956","18,708,852","27,049,219","19,703,195","20,476,815","19,623,725","19,822,585"
"5111","期首棚卸高","0","0","2,196,810","1,911,228","1,781,127","4,237,131","1,683,981","1,632,238","1,261,973","2,269,158","2,123,031","1,638,231"
"5311","期末棚卸高        (△)","0","0","1,911,228","1,781,127","4,237,131","1,683,981","1,632,238","1,261,973","2,269,158","2,123,031","1,638,231","1,768,888"
"5211","商品仕入高","0","0","8,154,588","8,251,328","14,793,928","7,263,602","8,308,985","10,979,825","9,563,048","8,496,742","7,493,854","9,146,095"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","8,440,170","8,381,429","12,337,924","9,816,752","8,360,728","11,350,090","8,555,863","8,642,869","7,978,654","9,015,438"
,"売上総利益","0","0","9,880,144","8,697,714","14,690,485","12,681,204","10,348,124","15,699,129","11,147,332","11,833,946","11,645,071","10,807,147"
"6111","給与手当","0","0","1,351,485","997,697","914,900","1,031,050","987,550","1,147,086","1,266,000","1,270,875","1,333,612","1,285,966"
"6311","雑給","0","0","3,153,493","3,249,912","4,413,894","3,773,995","3,455,627","4,073,642","3,229,756","3,279,083","2,899,984","3,042,991"
"6112","旅費交通費","0","0","56,863","56,351","55,617","58,366","69,701","63,937","59,157","60,370","56,137","49,859"
"6113","広告宣伝費","0","0","984,149","813,619","1,401,656","1,673,746","1,376,303","1,580,796","1,176,880","1,143,521","1,239,875","1,138,880"
"6114","販売促進費","0","0","73,580","69,124","109,134","72,814","101,973","80,401","100,304","41,696","79,962","163,309"
"6115","荷造発送費","0","0","737","736","904","0","736","0","736","736","0","0"
"6116","外注費","0","0","0","0","0","0","0","109,500","0","10,000","0","0"
"6117","支払手数料","0","0","683,833","663,809","790,942","809,710","767,796","946,601","812,953","881,669","1,118,132","815,681"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","66,333","66,333","-95,655","66,333","66,333","66,333","66,333","66,333","-30,265","66,333"
"6312","法定福利費","0","0","429,944","415,919","442,004","393,479","393,479","393,479","394,600","445,943","461,726","405,436"
"6226","厚生費","0","0","127,957","23,917","65,022","114,244","35,398","79,889","148,047","75,235","62,341","151,329"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","59,392","59,392","59,392","59,392","59,392","59,392","59,392","59,392","59,392","59,392"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","2,207,727","2,207,727","2,207,727","2,207,727","2,207,727","2,207,727","2,207,727","2,207,727","2,207,727","2,207,727"
"6216","修繕／車両関係費","0","0","352,600","111,700","202,683","60,500","845,700","131,500","584,850","44,000","148,900","195,300"
"6217","事務用消耗品費","0","0","5,789","0","6,243","9,648","9,019","925","0","0","3,564","4,418"
"6218","通信交通費","0","0","14,261","16,251","13,238","16,214","13,418","16,181","11,251","13,572","18,517","15,701"
"6219","水道光熱費","0","0","924,163","552,790","751,592","639,752","1,223,961","555,136","179,770","984,283","834,155","730,480"
"6221","租税公課","0","0","2,000","0","5,467","2,000","0","2,000","0","2,000","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","120,000","65,847","60,000","60,000","60,000","60,000","60,000","60,000","60,000"
"6225","備品消耗品費","0","0","507,556","512,907","780,222","877,564","629,712","817,646","548,421","806,900","599,945","679,405"
"6227","管理諸費","0","0","269,241","266,608","270,475","237,150","934,950","236,241","461,813","680,836","281,510","413,641"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","60,000","16,800","0","0","0","0","24,500","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","3,000","0","0","0","0","0","3,000","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","11,334,103","10,221,592","12,461,304","12,163,684","13,238,775","12,628,412","11,395,490","12,134,171","11,435,214","11,485,848"
,"営業利益（損失）","0","0","-1,453,959","-1,523,878","2,229,181","517,520","-2,890,651","3,070,717","-248,158","-300,225","209,857","-678,701"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
