"ｺｰﾄﾞ","勘定科目名","30年  2月","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月"
"4111","売上高","22,737,051","32,878,181","26,028,232","23,340,229","24,186,750","26,269,285","28,640,307","23,147,081","23,492,960","23,166,338","32,402,585","26,312,856"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","22,737,051","32,878,181","26,028,232","23,340,229","24,186,750","26,269,285","28,640,307","23,147,081","23,492,960","23,166,338","32,402,585","26,312,856"
"5111","期首たな卸高","1,953,749","1,742,309","1,778,495","1,692,162","1,951,765","1,606,121","1,567,458","2,114,239","1,935,490","1,893,717","1,953,719","5,998,493"
"5211","商品仕入高","9,679,836","13,648,878","10,755,904","10,070,372","9,724,691","10,918,936","12,232,556","9,693,371","9,794,634","10,148,190","17,632,107","7,312,610"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","1,742,309","1,778,495","1,692,162","1,951,765","1,606,121","1,567,458","2,114,239","1,935,490","1,893,717","1,953,719","5,998,493","2,008,508"
,"当期売上原価","9,891,276","13,612,692","10,842,237","9,810,769","10,070,335","10,957,599","11,685,775","9,872,120","9,836,407","10,088,188","13,587,333","11,302,595"
,"売上総利益","12,845,775","19,265,489","15,185,995","13,529,460","14,116,415","15,311,686","16,954,532","13,274,961","13,656,553","13,078,150","18,815,252","15,010,261"
"6111","給与手当","1,826,182","1,553,580","1,864,820","1,677,455","1,797,453","1,711,356","1,709,874","1,665,014","1,515,086","1,760,342","1,821,730","1,933,330"
"6311","雑給","2,188,583","3,146,640","2,909,584","2,728,750","2,614,851","2,931,934","3,127,925","3,249,104","3,479,689","3,178,508","3,614,288","2,657,942"
"6112","旅費交通費","64,806","84,680","83,934","52,487","59,191","53,706","87,931","63,248","43,279","48,850","54,387","53,356"
"6113","広告宣伝費","1,414,033","1,865,655","1,381,730","1,526,211","1,583,764","1,435,572","1,785,228","1,865,547","1,536,801","1,588,544","1,764,755","1,445,617"
"6114","販売促進費","99,154","117,319","54,186","73,556","51,693","60,634","44,740","87,907","105,366","101,391","110,130","45,611"
"6115","荷造発送費","500","700","0","700","500","700","700","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","654,556","890,940","751,450","698,916","774,546","753,898","824,921","694,971","697,419","642,042","852,113","794,316"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","40,000","40,000","40,000","40,000","304,453","40,000","40,000","40,000","0","0","89,211","94,000"
"6312","法定福利費","335,239","335,239","335,239","356,818","393,870","357,695","363,309","332,117","360,187","360,187","397,941","354,573"
"6226","厚生費","174,159","314,131","264,880","109,251","130,245","19,930","137,415","662,499","255,113","160,038","166,507","205,439"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","279,983","279,983","279,983","279,983","279,983","279,983","279,983","388,386","193,650","193,650","193,650","193,650"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","2,442,593","2,442,593","2,442,593","2,442,593","2,442,593","2,442,593","2,442,593","2,442,593","2,442,593","2,442,593","2,442,593","2,442,593"
"6216","修繕／車両関係費","158,667","219,000","173,426","199,561","40,741","518,863","569,222","125,481","107,047","171,667","376,217","198,219"
"6217","事務用消耗品費","4,602","1,050","7,347","500","500","7,041","890","2,045","841","5,396","100","6,599"
"6218","通信交通費","12,627","13,560","12,451","13,779","12,402","15,564","13,104","13,087","12,813","12,997","12,523","13,343"
"6219","水道光熱費","958,438","552,965","935,256","586,075","937,791","709,342","1,272,625","954,215","1,089,778","660,051","966,431","692,688"
"6221","租税公課","4,000","4,000","0","4,000","0","4,000","4,000","0","6,000","0","8,000","0"
"6222","寄付金","0","0","0","0","0","0","6,667","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
