ｺｰﾄﾞ,勘定科目名, 1年  8月,売上対比, 1年  9月,売上対比, 1年 10月,売上対比,30年 10月,売上対比,前年同月差,差率
4111,売上高,"29,500,290",100.0%,"23,647,539",100.0%,"20,088,590",100.0%,"23,492,960",100.0%,"-3,404,370",-14.5%
4112,賃貸料収入,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
4113,ＬＬＰ収益,0,,0,,0,,0,,0,
4114,通信売上高,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
4115,売上値引戻り高    (△),0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
,純売上高,"29,500,290",100.0%,"23,647,539",100.0%,"20,088,590",100.0%,"23,492,960",100.0%,"-3,404,370",-14.5%
5111,期首たな卸高,"1,962,761",6.7%,"2,817,474",11.9%,"2,308,780",11.5%,"1,935,490",8.2%,"373,290",19.3%
5211,商品仕入高,"12,146,031",41.2%,"8,956,724",37.9%,"8,505,877",42.3%,"9,794,634",41.7%,"-1,288,757",-13.2%
5212,通信商品仕入高,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
5215,ｺﾐｯｼｮﾝ清掃代,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
5216,ＬＬＰ原価,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,
5213,仕入値引戻し高    (△),0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
5273,他勘定振替高      (△),0,0.0%,0,0.0%,0,0.0%,0,0.0%,,
5311,期末たな卸高      (△),"2,817,474",9.6%,"2,308,780",9.8%,"2,221,234",11.1%,"1,893,717",8.1%,"327,517",17.3%
,当期売上原価,"11,291,318",38.3%,"9,465,418",40.0%,"8,593,423",42.8%,"9,836,407",41.9%,"-1,242,984",-12.6%
,売上総利益,"18,208,972",61.7%,"14,182,121",60.0%,"11,495,167",57.2%,"13,656,553",58.1%,"-2,161,386",-15.8%
6111,給与手当,"1,806,848",6.1%,"1,900,681",8.0%,"1,924,387",9.6%,"1,515,086",6.4%,"409,301",27.0%
6311,雑給,"3,351,812",11.4%,"2,865,123",12.1%,"2,729,370",13.6%,"3,479,689",14.8%,"-750,319",-21.6%
6112,旅費交通費,"60,476",0.2%,"94,276",0.4%,"51,239",0.3%,"43,279",0.2%,"7,960",18.4%
6113,広告宣伝費,"1,658,234",5.6%,"1,543,059",6.5%,"1,199,301",6.0%,"1,536,801",6.5%,"-337,500",-22.0%
6114,販売促進費,"91,919",0.3%,"93,749",0.4%,"101,223",0.5%,"105,366",0.4%,"-4,143",-3.9%
6115,荷造発送費,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6116,外注費,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6117,支払手数料,"862,601",2.9%,"681,068",2.9%,"631,174",3.1%,"697,419",3.0%,"-66,245",-9.5%
6118,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6211,役員報酬,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6232,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6212,事務員給与,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6213,従業員賞与,"94,000",0.3%,"94,000",0.4%,"94,000",0.5%,0,0.0%,"94,000",#DIV/0!
6312,法定福利費,"324,349",1.1%,"341,947",1.4%,"345,818",1.7%,"360,187",1.5%,"-14,369",-4.0%
6226,厚生費,"102,289",0.3%,"516,783",2.2%,"76,906",0.4%,"255,113",1.1%,"-178,207",-69.9%
6119,退職金,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6214,減価償却費,"193,650",0.7%,"337,602",1.4%,"137,296",0.7%,"193,650",0.8%,"-56,354",-29.1%
6234,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6215,地代家賃,"2,442,593",8.3%,"2,486,112",10.5%,"2,440,910",12.2%,"2,442,593",10.4%,"-1,683",-0.1%
6216,修繕／車両関係費,"189,700",0.6%,"352,900",1.5%,"95,085",0.5%,"107,047",0.5%,"-11,962",-11.2%
6217,事務用消耗品費,"2,213",0.0%,845,0.0%,"6,118",0.0%,841,0.0%,"5,277",627.5%
6218,通信交通費,"11,401",0.0%,"11,401",0.0%,"11,947",0.1%,"12,813",0.1%,-866,-6.8%
6219,水道光熱費,"1,043,040",3.5%,"840,371",3.6%,"955,694",4.8%,"1,089,778",4.6%,"-134,084",-12.3%
6221,租税公課,"4,000",0.0%,0,0.0%,0,0.0%,"6,000",0.0%,"-6,000",-100.0%
6222,寄付金,"6,667",0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6223,接待交際費,0,0.0%,"1,500",0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6224,保険料,"59,320",0.2%,"59,320",0.3%,"61,880",0.3%,"61,782",0.3%,98,0.2%
6225,備品消耗品費,"780,674",2.6%,"722,860",3.1%,"644,426",3.2%,"891,846",3.8%,"-247,420",-27.7%
6227,管理諸費,"240,171",0.8%,"238,830",1.0%,"257,101",1.3%,"248,348",1.1%,"8,753",3.5%
6228,リース／レンタル料,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6229,諸会費,0,0.0%,"64,000",0.3%,0,0.0%,"60,000",0.3%,"-60,000",-100.0%
6313,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6233,,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6314,貸倒償却,0,0.0%,0,0.0%,0,0.0%,0,0.0%,0,#DIV/0!
6231,雑費,0,0.0%,"3,000",0.0%,0,0.0%,0,0.0%,0,#DIV/0!
,販売費及び一般管理費計,"13,325,957",45.2%,"13,249,427",56.0%,"11,763,875",58.6%,"13,107,638",55.8%,"-1,343,763",-10.3%
,営業利益（損失）,"4,883,015",16.6%,"932,694",3.9%,"-268,708",-1.3%,"548,915",2.3%,"-817,623",-149.0%
7111,受取利息,0,,0,,0,,0,,0,#DIV/0!
7112,為替差益,0,,0,,0,,0,,0,#DIV/0!
7113,ＬＬＰ収入,0,,0,,0,,0,,0,#DIV/0!
7114,受取配当金,0,,0,,0,,0,,0,#DIV/0!
7118,雑収入,"204,462",,"206,230",,"201,198",,"204,542",,"-3,344",-1.6%
,営業外収益計,"204,462",,"206,230",,"201,198",,"204,542",,"-3,344",-1.6%
7511,支払利息,0,,0,,0,,0,,0,#DIV/0!
7518,手形売却損,0,,0,,0,,0,,0,#DIV/0!
7512,為替差損,0,,0,,0,,0,,0,#DIV/0!
7513,現金過不足,0,,0,,0,,0,,0,#DIV/0!
7514,ＬＬＰ損失,0,,0,,0,,0,,0,#DIV/0!
7515,繰延資産償却,0,,0,,0,,0,,0,#DIV/0!
7519,雑損失,0,,0,,0,,0,,0,#DIV/0!
,営業外費用計,0,,0,,0,,0,,0,#DIV/0!
,経常利益（損失）,"5,087,477",,"1,138,924",,"-67,510",,"753,457",,"-820,967",-109.0%
