"ｺｰﾄﾞ","勘定科目名"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"
"4111","授業料等収入","1,552,518","5,468,569","5,015,235","1,553,641","524,673","9,215,491","6,641,059","2,458,041","865,673","1,058,336","342,636","1,195,432"
"4112","寮費等収入","1,446,500","1,135,125","780,000","1,260,000","200,000","2,240,000","1,334,875","770,000","600,000","0","1,506,000","794,000"
"4113","職業紹介売上高","0","0","0","0","0","0","0","0","1,252,500","0","0","0"
"4114","特定技能売上高","0","0","0","0","0","0","0","0","50,000","50,000","50,000","50,000"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","2,999,018","6,603,694","5,795,235","2,813,641","724,673","11,455,491","7,975,934","3,228,041","2,768,173","1,108,336","1,898,636","2,039,432"
"5111","期首たな卸高","0","0","0","0","0","1,075,900","693,100","484,300","484,300","484,300","484,300","484,300"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","教材費等","286,309","39,187","53,000","75,490","65,570","28,815","68,765","281,525","9,160","820,500","217,200","303,711"
"5215","紹介手数料","0","0","0","0","0","0","970,000","960,000","0","0","0","0"
"5216","他売上原価","0","0","0","0","0","0","0","0","0","136,364","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","693,100","484,300","484,300","484,300","484,300","484,300","1,128,600"
,"当期売上原価","286,309","39,187","53,000","75,490","65,570","411,615","1,247,565","1,241,525","9,160","956,864","217,200","-340,589"
,"売上総利益","2,712,709","6,564,507","5,742,235","2,738,151","659,103","11,043,876","6,728,369","1,986,516","2,759,013","151,472","1,681,436","2,380,021"
"6111","給与手当","2,294,867","2,193,219","1,831,920","1,679,653","1,694,000","2,132,014","1,376,899","1,922,313","1,644,267","1,767,027","1,824,565","1,264,819"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","67,001","19,040","59,661","93,321","78,382","229,727","226,569","103,997","83,200","119,223","112,034","62,666"
"6113","広告宣伝費","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","42,658","52,882","61,291","68,982","47,791","35,838","59,982","57,591","208,406","57,998","204,418","359,882"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","0","316,995","768,963","321,868","396,738","396,738","396,738","396,738","396,738","390,774","390,735","781,470"
"6226","厚生費","0","0","0","53,380","0","0","76,230","970","0","24,288","2,420","5,000"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000","245,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","631,364","631,364","261,364","1,001,364","631,364","261,364","1,171,364","801,364","801,364","746,364","386,364","386,364"
"6216","修繕費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","2,000","45,059","44,249","50,434","62,206","48,220","48,762","39,737","75,516","47,776","68,438","89,369"
"6219","水道光熱費","28,041","23,282","32,579","31,929","51,149","170,557","36,576","-22,090","-53,837","71,169","254,034","24,523"
"6221","租税公課","24,200","39,000","0","0","0","39,000","0","39,000","0","0","17,600","0"
"6222","寄付金","400","0","0","0","0","0","20,000","0","0","0","0","0"
"6223","接待交際費","0","29,000","0","57,930","10,000","2,545","0","0","16,500","3,545","0","0"
"6224","保険料","216,937","4,897","4,897","4,897","116,927","60,397","4,897","77,387","4,897","77,297","-66,323","19,457"
"6225","備品消耗品費","1,998","28,854","42,095","28,818","37,864","268,270","1,175,465","176,200","390,207","44,797","84,669","160,999"
"6227","管理諸費","56,715","402,334","50,000","102,538","72,682","77,273","55,543","65,000","50,000","75,216","50,000","125,976"
"6228","諸会費","173,200","0","2,000","12,000","0","0","8,000","0","0","0","37,000","93,600"
"6229",,"0","0","0","0","0","0","0","0","0","0","0","0"
