"ｺｰﾄﾞ","勘定科目名"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"
"4111","授業料等収入","360,773","296,173","29,956,833","23,802,900","649,000","483,522","731,091","1,242,599","19,966,100","11,612,331","784,946","3,690,891"
"4112","寮費等収入","50,000","90,000","6,800,000","-4,194,100","6,002,000","90,000","2,535,500","4,994,500","4,296,500","2,610,500","40,000","840,000"
"4113","職業紹介売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","特定技能売上高","100,000","100,909","146,364","200,909","0","50,909","50,000","75,000","75,000","75,000","50,000","50,000"
"4116","児発放デイ売上高","545,569","698,741","2,706,944","3,190,838","3,256,545","2,968,926","3,336,294","3,888,991","4,160,574","4,051,336","3,998,439","4,031,836"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","1,056,342","1,185,823","39,610,141","23,000,547","9,907,545","3,593,357","6,652,885","10,201,090","28,498,174","18,349,167","4,873,385","8,612,727"
"5111","期首棚卸高","1,128,600","1,128,600","1,128,600","1,128,600","0","0","0","0","0","0","0","0"
"5211","商品仕入高","3,527","1,060","21,176","8,568","14,384","21,113","14,886","14,524","16,297","9,535","8,351","10,821"
"5212","教材費等","4,205","56,817","1,809,300","782,473","57,364","2,500","1,849,660","60,600","221,219","323,220","219,029","2,888,629"
"5215","書類作成手数料","0","90,000","120,000","6,631,407","200,000","99,560","0","0","261,818","270,000","1,772,500","234,500"
"5216","他売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,128,600","1,128,600","1,128,600","333,900","0","0","0","0","0","0","0","0"
,"当期売上原価","7,732","147,877","1,950,476","8,217,148","271,748","123,173","1,864,546","75,124","499,334","602,755","1,999,880","3,133,950"
,"売上総利益","1,048,610","1,037,946","37,659,665","14,783,399","9,635,797","3,470,184","4,788,339","10,125,966","27,998,840","17,746,412","2,873,505","5,478,777"
"6111","給与手当","2,769,569","2,635,401","3,048,330","3,376,539","3,797,547","3,378,589","3,606,638","3,606,638","4,102,671","4,323,846","4,057,051","4,215,820"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","121,387","129,958","272,532","573,166","241,590","290,319","177,400","233,982","365,850","544,450","230,623","993,246"
"6113","広告宣伝費","10,300","13,800","10,300","10,300","420,300","10,300","10,300","10,300","10,300","10,300","10,300","1,100,300"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","187,686","692,555","356,160","261,725","156,055","261,343","116,118","126,819","433,198","96,566","313,674","758,231"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6210","処遇改善手当","21,294","39,699","54,551","189,673","233,587","248,568","255,888","258,410","292,788","323,681","295,208","321,952"
"6213","従業員賞与","0","0","0","135,000","0","1,126,995","630,375","630,375","630,375","630,375","630,375","630,375"
"6209",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","501,759","501,759","605,700","831,345","0","474,875","1,144,953","346,538","553,555","553,555","553,555","1,097,236"
"6226","厚生費","0","18,697","0","18,625","0","92,407","0","0","0","9,780","153,043","0"
