ｺｰﾄﾞ,勘定科目名,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 11月,30年 12月,31年  1月,31年  1月累計
4111,授業料等収入,"307,481","307,481","384,564","122,518","86,185","7,500","1,186,630","28,306,181","1,088,552","-1,412,315","6,000","-2,592,537","26,676,196"
4112,寮費等収入,0,0,0,0,0,0,0,"2,775,000","200,000","75,000","1,744,500","-238,019","4,556,481"
4113,売上高,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,民泊売上高,"56,969","102,130","63,055","64,537","18,518",0,0,0,0,0,0,0,"18,518"
4115,売上値引戻り高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
,純売上高,"364,450","409,611","447,619","187,055","104,703","7,500","1,186,630","31,081,181","1,288,552","-1,337,315","1,750,500","-2,830,556","31,251,195"
5111,期首たな卸高,0,0,0,0,0,0,0,0,0,0,0,0,0
5211,商品仕入高,0,0,0,0,0,0,0,0,0,0,0,0,0
5212,教材費等,0,"6,000",0,0,"4,000",0,"4,000",0,"1,806,481","625,580",0,"19,250","2,459,311"
5215,紹介手数料,0,0,0,0,0,0,0,0,0,0,0,0,0
5216,,0,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5311,期末たな卸高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
,当期売上原価,0,"6,000",0,0,"4,000",0,"4,000",0,"1,806,481","625,580",0,"19,250","2,459,311"
,売上総利益,"364,450","403,611","447,619","187,055","100,703","7,500","1,182,630","31,081,181","-517,929","-1,962,895","1,750,500","-2,849,806","28,791,884"
6111,給与手当,"843,000","843,000","969,303","1,108,935","1,139,161","867,000","892,624","1,085,100","1,374,962","1,436,741","1,278,629","1,414,020","9,488,237"
6311,雑給,0,0,0,0,0,0,0,0,0,0,0,0,0
6112,旅費交通費,"343,655","383,425","129,124","208,835","86,481","226,603","81,444","24,755","473,795","44,854","116,527","111,649","1,166,108"
6113,広告宣伝費,"10,300","10,300","10,300","10,300","10,300","10,300","10,300","70,300","10,300","10,300","10,300","10,300","142,400"
6114,販売促進費,0,0,0,0,0,0,0,0,0,0,0,0,0
6115,発送配達費,0,0,0,0,0,0,0,0,0,0,0,0,0
6116,,0,0,0,0,0,0,0,0,0,0,0,0,0
6117,支払手数料,"27,316","70,890","45,802","38,450","44,655","30,578","51,228","37,000","65,766","3,369,912","124,359","77,859","3,801,357"
6118,,0,0,0,0,0,0,0,0,0,0,0,0,0
6211,役員報酬,"500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","500,000","4,000,000"
6232,,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,0,0,0,0,0,0,0,0,0,"240,000",0,0,"240,000"
6312,法定福利費,0,"368,892","183,978","374,989","374,989","162,967","196,822",0,"428,024","231,202","231,202","297,715","1,922,921"
6226,厚生費,"7,290","3,080","5,910",0,0,"6,440","18,401",0,"5,910",0,0,0,"30,751"
6119,,0,0,0,0,0,0,0,0,0,0,0,0,0
6214,減価償却費,0,0,0,"2,192,354","225,000","225,000","225,000","225,000","225,000","225,000","225,000","225,000","1,800,000"
6234,リース料,0,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,0,"101,111","30,000","30,000","30,000",0,0,0,"200,000","400,000","200,000","500,000","1,330,000"
6216,修繕費,0,0,0,0,0,0,0,0,0,0,0,0,0
6217,事務用消耗品費,0,"7,631","6,635","6,366","6,366","-6,366",0,0,"21,077",0,0,0,"21,077"
6218,通信交通費,"23,347","4,870","11,846","30,775","18,796","1,752","21,373","70,061","70,180","90,689","16,115","34,155","323,121"
