"ｺｰﾄﾞ","勘定科目名"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"
"4111","授業料等収入","3,657,891","23,092,137","5,062,180","24,747,180","906,615","318,500","1,924,328","22,139,524","2,612,350","28,024,702","875,096","1,520,192"
"4112","寮費等収入","840,000","1,084,350","5,952,050","7,499,750","-8,759,450","9,260,000","840,000","11,112,800","1,134,450","5,915,000","148,960","121,040"
"4113","職業紹介売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","特定技能売上高","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000","50,000"
"4116","児発放デイ売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","4,547,891","24,226,487","11,064,230","32,296,930","-7,802,835","9,628,500","2,814,328","33,302,324","3,796,800","33,989,702","1,074,056","1,691,232"
"5111","期首棚卸高","0","0","0","0","333,900","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","教材費等","2,888,629","390,100","10,075","1,875,300","1,498,695","0","141,295","249,825","9,075","1,577,255","688,536","45,555"
"5215","書類作成手数料","234,500","154,500","234,500","958,136","1,860,000","0","0","0","0","772,727","1,572,956","234,500"
"5216","他売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","530,000","0","0","0","0","0","0","0"
,"当期売上原価","3,123,129","544,600","244,575","2,833,436","3,162,595","0","141,295","249,825","9,075","2,349,982","2,261,492","280,055"
,"売上総利益","1,424,762","23,681,887","10,819,655","29,463,494","-10,965,430","9,628,500","2,673,033","33,052,499","3,787,725","31,639,720","-1,187,436","1,411,177"
"6111","給与手当","2,202,381","2,371,854","2,471,906","2,353,802","2,655,407","2,740,200","2,616,362","2,414,167","2,959,985","3,364,780","3,476,573","0"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","807,906","168,294","288,286","135,256","185,570","146,649","223,761","225,353","437,283","401,128","185,575","39,934"
"6113","広告宣伝費","1,100,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","74,091","75,791","128,327","87,927","531,197","46,891","128,877","71,941","97,161","568,734","623,030","962,637"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","600,000","600,000","600,000","600,000","600,000","600,000","700,000","700,000","700,000","700,000","700,000","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6210","処遇改善手当","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","352,708","352,708","352,708","352,708","-515,388","441,667","441,667","441,667","441,667","441,667","441,667","441,667"
"6209","退職手当","0","0","0","0","155,040","0","0","0","0","0","0","0"
"6312","法定福利費","419,692","310,765","279,586","257,126","1,228,606","0","307,499","328,487","357,782","495,672","386,655","0"
"6226","厚生費","0","0","50,000","19,024","18,964","0","59,375","0","0","40,435","35,909","122,182"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","245,000","245,000","245,000","245,000","210,281","123,223","123,223","123,223","123,223","123,223","123,223","123,223"
"6234","リース料","0","0","0","0","59,640","0","39,760","39,760","39,760","39,760","39,760","59,040"
"6215","地代家賃","949,364","1,097,000","987,909","987,909","1,608,909","1,194,909","1,194,909","1,194,909","1,208,909","1,670,127","1,999,873","1,789,000"
"6216","修繕費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","54,691","96,297","66,817","171,306","152,124","0","81,560","107,663","259,307","358,931","156,139","12,570"
"6219","水道光熱費","51,224","68,955","81,344","72,262","85,037","0","41,715","55,748","68,065","65,940","48,424","45,212"
"6221","租税公課","38,000","0","0","600","201,100","200","0","1,200","1,949,224","171,200","1,800","38,700"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","20,000"
"6223","接待交際費","0","0","5,600","5,338","28,840","2,500","15,864","17,125","31,486","12,050","0","1,500"
"6224","保険料","119,414","10,814","13,494","10,814","-57,419","25,297","779,867","11,087","5,917","5,917","79,567","295,107"
"6225","備品消耗品費","80,496","892,052","1,250,372","415,518","269,054","18,755","226,881","300,761","243,142","864,178","453,086","74,389"
"6227","管理諸費","81,380","51,520","50,000","58,277","127,222","37,000","581,321","67,886","253,591","1,120,176","50,000","50,000"
"6228","諸会費","0","0","8,000","24,000","126,200","12,000","0","0","14,000","0","0","0"
"6229","清掃・衛生費","0","0","0","0","0","0","0","181,818","172,000","50,000","60,000","60,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","13,914","0","0","0","0","0","0","0"
"6231","雑費","0","0","9,000","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","7,176,647","6,351,350","6,898,649","5,807,167","7,694,598","5,399,591","7,572,941","6,293,095","9,372,802","10,504,218","8,871,581","4,145,461"
