"ｺｰﾄﾞ","勘定科目名"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"
"4111","授業料等収入","0","0","0","0","0","0","0","0","33,000","429,000","33,000","33,000"
"4112","寮費等収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","職業紹介売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","特定技能売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4116","児発放デイ売上高","0","0","0","34,543","207,557","283,041","545,569","698,741","2,706,944","3,190,838","3,256,545","2,968,926"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","34,543","207,557","283,041","545,569","698,741","2,739,944","3,619,838","3,289,545","3,001,926"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","1,245","14,157","2,225","3,527","1,060","21,176","8,568","14,384","21,113"
"5212","教材費等","0","0","0","531","0","0","0","0","0","1,663","0","0"
"5215","紹介手数料","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","他売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","1,776","14,157","2,225","3,527","1,060","21,176","10,231","14,384","21,113"
,"売上総利益","0","0","0","32,767","193,400","280,816","542,042","697,681","2,718,768","3,609,607","3,275,161","2,980,813"
"6111","給与手当","5,500","4,500","542,400","764,053","759,400","1,111,400","1,128,450","1,331,758","1,638,549","1,665,280","1,691,074","1,650,956"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","1,727","818","0","2,520","7,066","14,227","13,453","44,776","107,036","123,399","108,072","197,851"
"6113","広告宣伝費","0","0","0","0","0","0","0","3,500","0","0","0","0"
"6114","販売促進費","0","0","3,645","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","800","488,044","800","1,321,177","44,336","106,804","627,264","287,869","89,143","94,796","84,952"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6210","処遇改善手当","0","0","0","0","0","18,211","21,294","39,699","54,551","189,673","233,587","248,568"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","135,000","0","421,579"
"6209",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","0","0","0","80,976","0","165,474","0","0","0","0","0","0"
"6226","厚生費","0","0","0","555,048","10,987","0","0","10,800","0","0","0","60,000"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","0","0","1,528,761","277,000","277,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","3,636","21,818","0","0","0","0","32,728"
"6216","修繕費","0","0","0","0","0","0","0","228,500","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","0","0","0","11,561","11,334","13,533","13,345","16,178","14,478","29,720","76","28,753"
"6219","水道光熱費","224","0","0","42,226","40,879","51,613","58,499","71,453","67,485","129,356","0","132,714"
"6221","租税公課","0","0","0","0","0","0","45,210","32,800","0","79,900","75,200","26,300"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","22,749","0","0","0","0","907","828","0","2,400","0"
"6224","保険料","0","0","0","0","59,810","0","20,610","20,610","100,360","111,880","20,610","4,040"
"6225","備品消耗品費","0","152,000","16,130","107,113","249,602","42,520","228,299","1,164,833","60,708","311,469","6,682","56,324"
"6227","管理諸費","66,201","404","1,909","1,450","0","0","0","0","900","7,940","21,455","0"
"6228","諸会費","0","0","0","0","0","0","0","0","0","6,000","0","0"
"6229","清掃・衛生費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","227","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","73,652","158,522","1,074,877","1,565,974","2,460,255","1,464,950","1,657,782","3,593,078","2,332,764","4,407,521","2,530,952","3,221,765"
,"営業利益（損失）","-73,652","-158,522","-1,074,877","-1,533,207","-2,266,855","-1,184,134","-1,115,740","-2,895,397","386,004","-797,914","744,209","-240,952"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","受取手数料","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","3,298"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","3,298"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","-73,652","-158,522","-1,074,877","-1,533,207","-2,266,855","-1,184,134","-1,115,740","-2,895,397","386,004","-797,914","744,209","-237,654"
