"ｺｰﾄﾞ","勘定科目名"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"
"4111","授業料等収入","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","12,727","165,454","25,454"
"4112","寮費等収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","職業紹介売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","特定技能売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4116","児発放デイ売上高","2,968,926","3,336,294","3,888,991","4,160,574","4,051,336","3,998,439","4,031,836","4,275,080","4,861,303","4,023,510","4,055,206","3,783,477"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,001,926","3,369,294","3,921,991","4,193,574","4,084,336","4,031,439","4,064,836","4,308,080","4,894,303","4,036,237","4,220,660","3,808,931"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","21,113","14,886","14,524","16,297","9,535","8,351","10,821","10,849","15,067","12,160","13,397","10,108"
"5212","教材費等","0","0","0","0","0","0","0","0","0","4,359","0","0"
"5215","書類作成手数料","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","他売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","21,113","14,886","14,524","16,297","9,535","8,351","10,821","10,849","15,067","16,519","13,397","10,108"
,"売上総利益","2,980,813","3,354,408","3,907,467","4,177,277","4,074,801","4,023,088","4,054,015","4,297,231","4,879,236","4,019,718","4,207,263","3,798,823"
"6111","給与手当","1,650,956","1,724,660","1,724,660","1,979,820","1,907,302","1,835,802","2,013,439","1,926,218","1,876,654","2,183,618","2,069,486","1,809,525"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","197,851","66,991","130,382","145,675","116,225","89,082","185,340","135,754","17,396","87,210","189,730","24,090"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","0","0","0"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","84,952","49,991","53,228","51,180","40,220","65,874","684,140","534,160","29,990","30,770","764,745","500"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6210","処遇改善手当","248,568","255,888","258,410","292,788","323,681","295,208","321,952","308,146","328,418","374,024","311,325","314,074"
"6213","従業員賞与","421,579","277,667","277,667","277,667","277,667","277,667","277,667","277,667","277,667","277,667","-2,745,937","281,446"
"6209","退職手当","0","0","0","0","0","0","0","0","0","0","155,040","0"
