"ｺｰﾄﾞ","勘定科目名"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"
"4111","授業料等収入","429,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","33,000","12,727"
"4112","寮費等収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","職業紹介売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","特定技能売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4116","児発放デイ売上高","3,190,838","3,256,545","2,968,926","3,336,294","3,888,991","4,160,574","4,051,336","3,998,439","4,031,836","4,275,080","4,861,303","4,023,510"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,619,838","3,289,545","3,001,926","3,369,294","3,921,991","4,193,574","4,084,336","4,031,439","4,064,836","4,308,080","4,894,303","4,036,237"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","8,568","14,384","21,113","14,886","14,524","16,297","9,535","8,351","10,821","10,849","15,067","12,160"
"5212","教材費等","1,663","0","0","0","0","0","0","0","0","0","0","4,359"
"5215","書類作成手数料","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","他売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","10,231","14,384","21,113","14,886","14,524","16,297","9,535","8,351","10,821","10,849","15,067","16,519"
,"売上総利益","3,609,607","3,275,161","2,980,813","3,354,408","3,907,467","4,177,277","4,074,801","4,023,088","4,054,015","4,297,231","4,879,236","4,019,718"
"6111","給与手当","1,665,280","1,691,074","1,650,956","1,724,660","1,724,660","1,979,820","1,907,302","1,835,802","2,013,439","1,926,218","1,876,654","2,183,618"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","123,399","108,072","197,851","66,991","130,382","145,675","116,225","89,082","185,340","135,754","17,396","87,210"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","0","0","0"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","89,143","94,796","84,952","49,991","53,228","51,180","40,220","65,874","684,140","534,160","29,990","30,770"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6210","処遇改善手当","189,673","233,587","248,568","255,888","258,410","292,788","323,681","295,208","321,952","308,146","328,418","374,024"
"6213","従業員賞与","135,000","0","421,579","277,667","277,667","277,667","277,667","277,667","277,667","277,667","277,667","277,667"
"6209",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","0","0","0","521,478","157,825","249,427","289,840","289,840","677,544","310,765","279,586","354,705"
"6226","厚生費","0","0","60,000","0","0","0","0","0","0","1,018","0","8,985"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","1,528,761","277,000","277,000","277,000","277,000","277,000","277,000","277,000","277,000","277,000","277,000","277,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","32,728","16,364","16,364","16,364","16,364","16,364","0","0","16,364","0"
"6216","修繕費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","29,720","76","28,753","14,659","15,153","336","15,356","30,548","0","13,820","14,020","15,329"
"6219","水道光熱費","129,356","0","132,714","86,696","78,338","0","81,338","145,749","0","96,779","97,226","82,612"
"6221","租税公課","79,900","75,200","26,300","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","2,400","0","0","0","0","0","1,620","0","0","0","1,000"
"6224","保険料","111,880","20,610","4,040","201,500","0","0","0","48,210","0","0","69,990","0"
"6225","備品消耗品費","311,469","6,682","56,324","22,950","26,280","14,797","58,227","117,856","31,131","28,164","30,649","88,581"
"6227","管理諸費","7,940","21,455","0","22,273","6,364","40,000","0","8,636","0","1,818","0","43,200"
"6228","諸会費","6,000","0","0","0","0","0","0","0","0","0","0","0"
"6229","清掃・衛生費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","4,407,521","2,530,952","3,221,765","3,538,117","3,021,671","3,345,054","3,403,220","3,499,456","4,468,213","3,911,309","3,314,960","3,824,701"
,"営業利益（損失）","-797,914","744,209","-240,952","-183,709","885,796","832,223","671,581","523,632","-414,198","385,922","1,564,276","195,017"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","受取手数料","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","3,298","7,191","7,984","14,789","0","0","4,953","162,709","3,776","7,427"
,"営業外収益計","0","0","3,298","7,191","7,984","14,789","0","0","4,953","162,709","3,776","7,427"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7514","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
