"ｺｰﾄﾞ","勘定科目名"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"
"4111","授業料等収入","732,864","413,400","830,227","508,955","360,773","296,173","29,923,833","23,373,900","616,000","450,522","698,091","1,209,599"
"4112","寮費等収入","630,000","0","60,000","70,000","50,000","90,000","6,800,000","-4,194,100","6,002,000","90,000","2,535,500","4,994,500"
"4113","職業紹介売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","特定技能売上高","50,000","50,000","100,000","146,364","100,000","100,909","146,364","200,909","0","50,909","50,000","75,000"
"4116","児発放デイ売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","1,412,864","463,400","990,227","725,319","510,773","487,082","36,870,197","19,380,709","6,618,000","591,431","3,283,591","6,279,099"
"5111","期首棚卸高","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","0","0","0","0"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","教材費等","112,205","4,000","12,045","32,700","4,205","56,817","1,809,300","780,810","57,364","2,500","1,849,660","60,600"
"5215","紹介手数料","0","0","0","0","0","90,000","120,000","6,631,407","200,000","99,560","0","0"
"5216","他売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","1,128,600","333,900","0","0","0","0"
,"当期売上原価","112,205","4,000","12,045","32,700","4,205","146,817","1,929,300","8,206,917","257,364","102,060","1,849,660","60,600"
,"売上総利益","1,300,659","459,400","978,182","692,619","506,568","340,265","34,940,897","11,173,792","6,360,636","489,371","1,433,931","6,218,499"
"6111","給与手当","1,459,155","1,559,200","1,343,738","1,366,135","1,641,119","1,303,643","1,409,781","1,711,259","2,106,473","1,727,633","1,881,978","1,881,978"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","63,054","70,532","105,289","108,579","107,934","85,182","165,496","449,767","133,518","92,468","110,409","103,600"
"6113","広告宣伝費","10,300","10,300","10,300","10,300","10,300","10,300","10,300","10,300","420,300","10,300","10,300","10,300"
"6114","販売促進費","0","0","0","0","0","0","0","0","0","0","0","0"
"6115","発送配達費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","53,091","48,091","69,773","58,891","80,882","65,291","68,291","172,582","61,259","176,391","66,127","73,591"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000","600,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6210","処遇改善手当","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","705,416","352,708","352,708"
"6209",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","0","481,520","478,113","275,277","501,759","501,759","605,700","831,345","0","474,875","623,475","188,713"
"6226","厚生費","0","0","80,056","2,520","0","7,897","0","18,625","0","32,407","0","0"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","248,000","248,000","248,000","248,000","248,000","248,000","248,000","199,808","245,000","245,000","245,000","245,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","386,364","386,364","335,364","386,364","386,364","386,364","643,864","832,364","950,864","954,864","917,364","917,364"
"6216","修繕費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","0"
"6218","通信交通費","56,306","61,159","48,593","42,190","54,966","42,656","73,749","112,912","6,255","156,468","86,614","62,484"
"6219","水道光熱費","41,297","30,533","29,206","30,623","39,065","53,451","50,342","55,560","5,290","31,393","61,779","78,759"
