コード,科目名,3年 4月,3年 5月,3年 6月,3年 7月,3年 8月,3年 9月,3年 10月,3年 11月,3年 12月,4年 1月,4年 2月,4年 3月,4年 4月,4年 5月,4年 6月,4年 7月,4年 8月,4年 9月,4年 10月,4年 11月,4年 12月,5年 1月,5年 2月,5年 3月
500,売上高,1592037,1697013,1634306,1259017,894764,1121252,919410,859952,949302,918146,916354,283000,198500,198500,237000,213000,249000,,,,,,,
501,売上高Ⅱ,1710000,1710000,1722000,1770000,1770000,1716000,1710000,1710000,1640000,1710000,1710000,1710000,1710000,1710000,1710000,1692581,1650000,,,,,,,
502,売上高(保育),41597924,41433082,41466286,42316347,43185092,41170421,41872726,41491152,41188084,41819848,41415878,45437072,40301449,40984705,40732654,42621419,42658518,,,,,,,
503,売上高(飲食),0,0,0,0,0,0,0,0,0,0,0,0,4788940,4736700,5087760,4703210,4629920,,,,,,,
510,家賃収入,148000,148000,148000,196000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,0,0,0,,,,,,,
511,駐車場収入,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
,純売上高,45047961,44988095,44970592,45541364,45899856,44057673,44552136,44111104,43827386,44497994,44092232,47480072,47048889,47679905,47767414,49230210,49187438,,,,,,,
,当期製品製造原価,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
620,期首材料棚卸高,258312,226941,232415,230597,221210,260054,236393,235135,234001,205905,274170,295200,257941,255778,257685,276955,282736,,,,,,,
623,原材料仕入,1358418,1188896,1397956,1338234,1234797,1271486,1400268,1416703,1388884,1314063,1130981,1361848,1340473,1259125,1545915,1475978,1448249,,,,,,,
635,期末材料棚卸高,226941,232415,230597,221210,260054,236393,235135,234001,205905,274170,295200,257941,255778,257685,276955,282736,269921,,,,,,,
,売上原価,1389789,1183422,1399774,1347621,1195953,1295147,1401526,1417837,1416980,1245798,1109951,1399107,1342636,1257218,1526645,1470497,1461064,,,,,,,
,売上総利益,43658172,43804673,43570818,44193743,44703903,42762526,43150610,42693267,42410406,43252196,42982281,46080965,45706253,46422687,46240769,47760013,47726374,,,,,,,
740,役員報酬,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,1350000,0,0,0,0,0,,,,,,,
741,給料,21531929,20544241,21516871,20630553,20251018,19912507,20427465,20233077,20496092,19970033,20527272,21977495,23738656,23030070,23986299,22889668,23291714,,,,,,,
742,賞与,2158600,2158600,1993600,1993600,1993600,1993600,1993600,1993600,1993600,1993600,1993600,1993600,1993600,1993600,2212000,2212000,2212000,,,,,,,
743,退職給与,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000000,0,0,,,,,,,
744,法定福利費,2764975,2529856,4429755,2544173,2567004,2604626,2633072,2687340,4881850,2668637,2737886,2704202,2653030,2743203,4715845,2799937,2854040,,,,,,,
745,外注給与,780042,983780,1230045,1384263,1381830,1283253,1350806,1677429,1948417,1523837,1397209,1737655,192051,476499,874714,895482,1153278,,,,,,,
750,福利厚生費,501206,435791,356763,343858,75298,118328,321536,664752,151265,196036,171708,356794,257678,432335,596809,234893,168449,,,,,,,
751,会議費,1994,2286,2342,157,107,995,898,589,2663,0,2050,1420,614,27835,6354,3110,0,,,,,,,
752,工具器具備品,499954,328679,269635,258575,196138,577965,903674,195815,274458,336777,173745,990527,174935,193735,326833,496478,290226,,,,,,,
753,消耗品費,103158,106195,116399,124751,153066,108664,126905,62488,184155,102410,111133,87243,121477,104373,134755,122285,147196,,,,,,,
754,事務用品費,81081,46739,29697,28609,64942,46212,44133,54892,44689,97322,52235,63621,61674,64324,59328,34850,50481,,,,,,,
756,通勤費,196440,200803,230940,217954,217269,225396,229429,227894,234953,231441,235888,282573,267941,258972,278419,251726,259522,,,,,,,
757,旅費交通費,52819,73884,61125,50948,65907,59834,57977,54083,47020,60565,64349,48376,39016,85856,85315,86206,130972,,,,,,,
758,採用費,0,0,0,0,0,0,0,0,300000,0,0,0,0,0,310000,1274998,0,,,,,,,
759,運賃,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1805,0,0,,,,,,,
761,通信費,99202,99693,102716,94839,105623,96971,97893,113254,111853,110629,96775,106224,101863,114815,100035,88448,106705,,,,,,,
762,水道光熱費,511971,371255,487227,427188,604340,477605,623018,406911,529415,445349,602144,543737,571497,466242,546210,501818,747168,,,,,,,
765,教育研修費,194545,182727,192091,180000,180000,180000,194544,180000,180000,180000,9526,0,13591,0,25363,0,2827,,,,,,,
766,保険料,-7907180,1421878,830701,843341,830133,1527017,21421711,3692983,832637,1162097,12658441,1234987,856668,1387517,-7727320,698769,654219,,,,,,,
768,減価償却費,1233437,1233437,1233439,971613,971613,971613,971613,981613,981613,981613,981613,981616,965440,965440,1048398,1048398,1048398,,,,,,,
769,家賃,4131897,4178897,4218897,4218897,4050147,4065297,4065297,4065297,4065297,4133039,4044297,3451897,4293767,4243767,4243767,4243767,4243767,,,,,,,
770,賃借料,669664,1194664,953964,723964,541164,548464,655164,1109564,516564,786264,562564,780175,714464,1029864,875864,654264,572564,,,,,,,
771,修繕費,235200,17000,0,0,0,0,0,0,0,0,0,334818,0,0,0,0,0,,,,,,,
772,清掃整備費,453114,575816,435176,497860,445556,507907,444426,711943,821960,1174992,1316117,693358,525531,500212,515725,519256,755680,,,,,,,
773,租税公課,2100,107950,0,-18000,0,1050,0,1450,0,600,16400,2750,1200,141500,94900,0,29300,,,,,,,
774,外注費,2641273,2748717,2701817,2681222,2640275,2768018,2677740,2669387,2637450,2654641,2654796,2518182,6788940,6736700,7087760,6703210,6629920,,,,,,,
775,広告宣伝費,0,0,0,0,0,0,14829,0,0,13129,0,0,0,0,0,12814,0,,,,,,,
776,接待交際費,18500,12103,3944,18441,98252,30685,0,2696,10000,111052,11827,11627,29000,3435,35455,0,72638,,,,,,,
777,諸会費,200,37200,1200,3200,200,200,200,200,200,60200,18200,200,200,47200,200,2927,200,,,,,,,
778,支払手数料,2762884,2535700,2915999,2625357,2561802,2613536,3337206,2529782,2486837,2653447,2742083,5168283,2788102,2481552,2877410,2528055,2591671,,,,,,,
779,雑  費,1218,1664,853,1617,2473,1881,3709,1944,1618,36300,2804,2856,1635,2411,626,1599,3686,,,,,,,
,販売費及び一般管理費,35070223,43479555,45665196,42196980,41347757,42071624,63946845,45668983,45084606,43034010,54534662,47424216,47152570,47531457,55312869,48304958,48016621,,,,,,,
,営業利益,8587949,325118,-2094378,1996763,3356146,690902,-20796235,-2975716,-2674200,218186,-11552381,-1343251,-1446317,-1108770,-9072100,-544945,-290247,,,,,,,
800,受取利息,24,10,10,10,1009,270,155,145,412641,140,1230,141,54,40,412540,40,1101,,,,,,,
801,受取配当金,0,0,200,0,0,0,0,0,0,0,0,0,0,0,200,0,0,,,,,,,
802,受取保険金,57424491,280030,0,0,0,0,0,0,0,0,0,0,500000,365300,86487457,0,0,,,,,,,
810,投資有価証券売却益,0,0,815517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
820,雑収入,5158034,6658663,5867976,5153638,5332047,5148541,5105744,14246458,5401360,5237946,5002740,5213321,5709287,6144918,5900673,5539114,5579807,,,,,,,
,営業外収益,62582549,6938703,6683703,5153648,5333056,5148811,5105899,14246603,5814001,5238086,5003970,5213462,6209341,6510258,92800870,5539154,5580908,,,,,,,
830,支払利息,89153,90374,94570,92288,91103,86246,86320,82882,82638,81481,72101,76778,72847,73694,69406,69203,68128,,,,,,,
840,雑損失,345004,355501,348831,322502,270264,288725,267941,261995,263930,267815,267635,204300,674703,669520,703476,660879,652892,,,,,,,
,営業外費用,434157,445875,443401,414790,361367,374971,354261,344877,346568,349296,339736,281078,747550,743214,772882,730082,721020,,,,,,,
,経常利益,70736341,6817946,4145924,6735621,8327835,5464742,-16044597,10926010,2793233,5106976,-6888147,3589133,4015474,4658274,82955888,4264127,4569641,,,,,,,
,特別利益,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
921,固定資産除却損,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
,特別損失,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,
,税引前当期純利益,70736341,6817946,4145924,6735621,8327835,5464742,-16044597,10926009,2793233,5106976,-6888147,3589133,4015474,4658274,82955888,4264127,4569641,,,,,,,
930,法人税住民税事業税額,3,1,41,1,151,39,22,20,63195,20,185,21,7,0,63219,5,164,,,,,,,
,当期純利益,70736338,6817945,4145883,6735620,8327684,5464703,-16044619,10925989,2730038,5106956,-6888332,3589112,4015467,4658269,82892669,4264122,4569477,,,,,,,
