"ｺｰﾄﾞ","勘定科目名"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"
"4111","売上高","757,724","452,241","630,767","7,094,538","7,395,637","6,695,838","7,830,388","8,234,892","58,314,083","9,088,476","7,645,520","8,649,138"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","8,096,859","7,096,939","11,243,932","0","0","0","0","0","-49,225,861","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","8,854,583","7,549,180","11,874,699","7,094,538","7,395,637","6,695,838","7,830,388","8,234,892","9,088,222","9,088,476","7,645,520","8,649,138"
"5111","期首たな卸高","990,646","934,756","994,595","941,936","984,546","994,782","962,263","1,035,482","1,144,217","1,031,246","1,366,526","1,456,659"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","6,696,457","6,321,337","9,888,329","4,732,749","5,447,999","5,278,896","6,174,727","6,635,760","7,079,385","7,326,382","6,187,904","6,971,305"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","934,756","994,595","941,936","984,546","994,782","962,263","1,035,482","1,144,217","1,031,246","1,366,526","1,456,659","1,394,146"
,"当期売上原価","6,752,347","6,261,498","9,940,988","4,690,139","5,437,763","5,311,415","6,101,508","6,527,025","7,192,356","6,991,102","6,097,771","7,033,818"
,"売上総利益","2,102,236","1,287,682","1,933,711","2,404,399","1,957,874","1,384,423","1,728,880","1,707,867","1,895,866","2,097,374","1,547,749","1,615,320"
"6111","給与手当","899,740","907,904","1,001,241","843,994","837,858","889,207","893,855","903,025","881,636","954,336","902,120","920,756"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
