"ｺｰﾄﾞ","勘定科目名"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"
"4111","売上高","46,255,205","39,599,654","34,683,432","37,757,237","34,544,570","32,468,550","38,344,425","39,878,311","46,642,607","36,093,282","34,133,891","45,429,760"
"4112","賃貸料収入","0","0","0","0","0","0","0","250,000","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","46,255,205","39,599,654","34,683,432","37,757,237","34,544,570","32,468,550","38,344,425","40,128,311","46,642,607","36,093,282","34,133,891","45,429,760"
"5111","期首棚卸高","2,128,653","2,213,249","2,265,884","2,602,350","2,898,004","2,145,703","2,575,514","2,620,364","2,536,946","2,715,223","2,427,974","2,835,143"
"5211","商品仕入高","0","0","0","0","0","122,234","228,615","0","0","0","0","0"
"5212","通信商品仕入高","31,606,469","28,550,356","24,174,598","24,053,983","21,621,654","19,273,224","24,902,262","26,389,431","31,835,464","24,163,678","21,611,994","29,182,770"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","2,213,249","2,265,884","2,602,350","2,898,004","2,145,703","2,575,514","2,620,364","2,536,946","2,715,223","2,427,974","2,835,143","2,864,733"
,"当期売上原価","31,521,873","28,497,721","23,838,132","23,758,329","22,373,955","18,965,647","25,086,027","26,472,849","31,657,187","24,450,927","21,204,825","29,153,180"
,"売上総利益","14,733,332","11,101,933","10,845,300","13,998,908","12,170,615","13,502,903","13,258,398","13,655,462","14,985,420","11,642,355","12,929,066","16,276,580"
"6111","給与手当","4,324,663","3,934,684","3,616,612","3,817,207","4,181,876","4,150,811","4,200,492","4,794,482","4,204,284","4,547,921","4,534,458","4,513,734"
"6311","雑給","308,725","332,025","360,875","286,600","187,225","260,600","304,550","283,300","259,025","193,625","206,600","269,675"
"6112","旅費交通費","29,158","55,053","52,153","50,615","60,640","60,065","53,509","51,125","51,466","51,783","55,174","64,636"
"6113","広告宣伝費","63,545","105,272","195,455","63,091","59,000","63,432","92,014","63,091","88,668","201,591","160,000","534,455"
"6114","販売促進費","471,890","5,000","9,713","5,000","6,007","5,000","5,000","12,513","24,684","48,089","7,300","40,459"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","2,348,826","3,410,514","3,192,352","2,628,445","900,000","993,654","3,754,427","2,269,497","3,137,937","2,202,799","2,118,067","2,698,488"
"6117","支払手数料","1,151,513","1,428,144","1,155,317","1,670,332","1,020,996","1,131,998","1,123,768","1,231,680","1,780,148","1,176,047","1,049,532","904,668"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","433,333","433,333","433,333","433,333","0","-743,332","0","-440,000","0","0","0","520,000"
"6312","法定福利費","674,643","632,613","528,861","584,137","584,137","593,365","606,084","606,084","606,084","631,302","648,654","634,456"
"6226","厚生費","0","0","0","0","0","10,982","0","5,000","10,908","0","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","677,982","677,982","677,982","677,982","677,982","-489,332","292,802","292,802","292,802","292,802","292,802","292,802"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","2,611,636","2,611,636","2,611,636","2,611,636","2,563,636","2,611,636","2,611,636","2,617,636","2,617,636","2,617,636","2,617,636","2,617,636"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","6,440","0","0","0","0","0","0","0"
"6218","通信交通費","147,912","165,094","172,715","19,095","293,806","162,307","13,103","317,985","13,635","287,828","140,487","143,758"
"6219","水道光熱費","85,959","87,475","93,809","87,870","89,248","88,265","87,603","93,411","91,324","96,105","96,027","93,287"
"6221","租税公課","10,600","10,000","0","10,000","0","10,000","10,000","0","6,000","10,000","0","10,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
