"ｺｰﾄﾞ","勘定科目名"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"
"4111","売上高","49,792,085","7,885,737","1,955,551","21,536,993","15,767,152","38,164,901","35,713,555","39,938,121","192,305,298","32,266,880","42,008,799","46,643,029"
"4112","賃貸料収入","250,000","250,000","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","37,314,783","39,850,829","0","0","0","0","0","-160,707,027","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","50,042,085","45,450,520","41,806,380","21,536,993","15,767,152","38,164,901","35,713,555","39,938,121","31,598,271","32,266,880","42,008,799","46,643,029"
"5111","期首たな卸高","2,952,323","3,077,200","3,540,948","3,047,902","2,874,067","2,771,725","2,656,833","2,983,595","2,649,533","2,670,585","3,014,039","3,086,309"
"5211","商品仕入高","49,095","150,345","0","0","0","2,296","0","3,379","0","184,100","47,047","12,278"
"5212","通信商品仕入高","34,200,256","26,797,812","29,159,722","10,532,354","6,462,156","24,213,392","21,441,160","25,283,066","20,721,701","20,716,080","29,272,919","33,081,530"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","3,077,200","3,540,948","3,047,902","2,874,067","2,771,725","2,656,833","2,983,595","2,649,533","2,670,585","3,014,039","3,086,309","3,234,192"
,"当期売上原価","34,124,474","26,484,409","29,652,768","10,706,189","6,564,498","24,330,580","21,114,398","25,620,507","20,700,649","20,556,726","29,247,696","32,945,925"
,"売上総利益","15,917,611","18,966,111","12,153,612","10,830,804","9,202,654","13,834,321","14,599,157","14,317,614","10,897,622","11,710,154","12,761,103","13,697,104"
"6111","給与手当","3,956,100","3,580,112","3,363,671","2,541,453","2,359,652","3,029,134","3,326,866","3,472,109","3,917,621","4,179,515","4,268,666","4,357,803"
"6311","雑給","229,250","234,600","141,050","172,055","115,527","126,750","238,400","221,000","320,175","340,950","288,600","324,000"
"6112","旅費交通費","53,240","72,707","36,605","15,305","12,547","30,318","50,445","38,968","65,039","82,373","84,307","88,830"
"6113","広告宣伝費","243,886","896,527","711,727","87,627","51,273","147,982","39,346","51,273","231,618","173,232","58,955","53,545"
"6114","販売促進費","9,759","75,987","31,587","20,600","5,000","5,000","5,000","5,000","5,000","42,512","5,035","68,110"
"6115","荷造発送費","0","845","1,890","1,464","0","0","0","0","0","0","0","0"
"6116","外注費","2,197,625","3,233,889","2,764,624","877,212","890,773","4,052,124","4,608,120","3,901,186","3,869,186","3,871,162","3,769,209","4,016,350"
"6117","支払手数料","324,058","270,009","435,289","308,337","297,886","340,517","1,022,315","1,207,611","955,552","807,053","1,130,765","356,342"
