"ｺｰﾄﾞ","勘定科目名"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"
"4111","売上高","0","3,456,414","4,576,539","3,363,089","4,303,458","5,964,548","5,822,469","4,786,241","3,557,202","2,908,454","4,321,098","3,574,863"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","3,456,414","4,576,539","3,363,089","4,303,458","5,964,548","5,822,469","4,786,241","3,557,202","2,908,454","4,321,098","3,574,863"
"5111","期首たな卸高","0","0","589,474","470,037","470,037","410,001","418,067","587,834","587,834","366,548","337,983","385,705"
"5211","商品仕入高","0","2,425,616","1,448,409","1,140,891","1,395,455","2,111,680","1,994,677","1,729,368","1,049,108","963,732","1,611,293","1,675,040"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","589,474","470,037","470,037","410,001","418,067","587,834","587,834","366,548","337,983","385,705","431,076"
,"当期売上原価","0","1,836,142","1,567,846","1,140,891","1,455,491","2,103,614","1,824,910","1,729,368","1,270,394","992,297","1,563,571","1,629,669"
,"売上総利益","0","1,620,272","3,008,693","2,222,198","2,847,967","3,860,934","3,997,559","3,056,873","2,286,808","1,916,157","2,757,527","1,945,194"
"6111","給与手当","544,600","878,000","828,010","538,000","868,000","818,000","818,000","818,000","818,000","818,000","818,000","473,500"
"6311","雑給","0","1,649,622","846,118","824,884","656,998","733,858","719,691","758,310","478,372","296,128","528,016","832,201"
"6112","旅費交通費","96,436","303,626","64,239","17,180","16,071","34,840","36,456","16,341","30,927","7,303","17,091","49,375"
"6113","広告宣伝費","7,500","1,072,912","529,800","5,500","84,650","199,464","103,000","299,899","159,600","49,018","143,838","96,636"
"6114","販売促進費","0","0","26,183","30,000","30,000","0","60,086","81,558","42,565","41,226","58,632","61,996"
"6115","荷造発送費","0","0","0","0","0","0","0","0","2,127","1,173","1,173","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","200","160,629","412,080","388,167","261,869","322,570","355,862","228,043","288,152","190,086","242,214","224,695"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","130,000","0","0","0","0"
"6312","法定福利費","81,287","126,556","192,536","127,720","133,120","130,317","130,317","145,693","128,005","130,317","130,278","82,644"
"6226","厚生費","237,818","297,454","381,069","0","10,100","36,100","54,000","0","0","5,700","9,500","5,927"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","820,811","140,165","140,165","140,165","140,165","140,165","140,165","140,165"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","20,816","0","0","0","0","0","0","560","0","365","480"
"6218","通信交通費","0","28,901","4,461","5,074","0","5,237","5,108","6,292","5,764","0","4,630","6,698"
"6219","水道光熱費","9,195","106,739","463,405","541,285","446,390","392,790","369,465","365,110","360,965","304,885","357,590","334,080"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","30,000","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","1,000","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","1,219,811","1,564,637","267,985","148,728","305,466","86,245","96,837","94,659","32,310","72,302","87,008","141,679"
"6227","管理諸費","64,480","0","11,740","11,740","20,740","11,740","12,043","11,740","51,740","20,740","9,000","20,740"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","20,000","0","0","10,000","10,000","13,000","10,000","10,000","10,000","10,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","2,261,327","6,639,892","4,448,626","3,038,278","4,069,215","3,336,326","3,326,030","3,523,810","2,964,252","2,502,043","2,972,500","2,895,816"
,"営業利益（損失）","-2,261,327","-5,019,620","-1,439,933","-816,080","-1,221,248","524,608","671,529","-466,937","-677,444","-585,886","-214,973","-950,622"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","280,000","0","0","0","0","0","0","0","0","0","5,000"
,"営業外収益計","0","280,000","0","0","0","0","0","0","0","0","0","5,000"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","-25","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","66,666","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","66,666","0","-25","0","0","0","0","0"
,"経常利益（損失）","-2,261,327","-4,739,620","-1,439,933","-816,080","-1,287,914","524,608","671,554","-466,937","-677,444","-585,886","-214,973","-945,622"
