"ｺｰﾄﾞ","勘定科目名"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"
"4111","売上高","4,303,458","5,964,548","5,822,469","4,786,241","3,557,202","2,908,454","4,321,098","3,574,863","3,833,832","3,867,472","4,812,681","2,702,720"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","4,303,458","5,964,548","5,822,469","4,786,241","3,557,202","2,908,454","4,321,098","3,574,863","3,833,832","3,867,472","4,812,681","2,702,720"
"5111","期首棚卸高","470,037","410,001","418,067","587,834","587,834","366,548","337,983","385,705","431,076","288,114","400,121","400,121"
"5211","商品仕入高","1,395,455","2,111,680","1,994,677","1,729,368","1,049,108","963,732","1,611,293","1,675,040","974,575","1,418,906","1,819,760","986,088"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","410,001","418,067","587,834","587,834","366,548","337,983","385,705","431,076","288,114","400,121","400,121","415,085"
,"当期売上原価","1,455,491","2,103,614","1,824,910","1,729,368","1,270,394","992,297","1,563,571","1,629,669","1,117,537","1,306,899","1,819,760","971,124"
,"売上総利益","2,847,967","3,860,934","3,997,559","3,056,873","2,286,808","1,916,157","2,757,527","1,945,194","2,716,295","2,560,573","2,992,921","1,731,596"
"6111","給与手当","868,000","818,000","818,000","818,000","818,000","818,000","818,000","473,500","490,500","500,500","500,500","460,950"
"6311","雑給","656,998","733,858","719,691","758,310","478,372","296,128","528,016","832,201","623,273","518,929","694,620","775,215"
"6112","旅費交通費","16,071","34,840","36,456","16,341","30,927","7,303","17,091","49,375","33,967","47,407","81,966","52,950"
"6113","広告宣伝費","84,650","199,464","103,000","299,899","159,600","49,018","143,838","96,636","85,032","231,264","44,527","82,209"
"6114","販売促進費","30,000","0","60,086","81,558","42,565","41,226","58,632","61,996","71,973","77,052","100,021","62,275"
"6115","荷造発送費","0","0","0","0","2,127","1,173","1,173","0","0","1,709","0","3,355"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","261,869","322,570","355,862","228,043","288,152","190,086","242,214","224,695","214,342","237,467","252,868","211,548"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","130,000","0","0","0","0","0","30,000","0","0"
"6312","法定福利費","133,120","130,317","130,317","145,693","128,005","130,317","130,278","82,644","82,644","58,827","118,248","118,248"
"6226","厚生費","10,100","36,100","54,000","0","0","5,700","9,500","5,927","30,000","13,200","55,000","12,600"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","820,811","140,165","140,165","140,165","140,165","140,165","140,165","140,165","140,165","140,165","140,165","140,165"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000","400,000"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","105,600","4,491","109,120","0"
"6217","事務用消耗品費","0","0","0","0","560","0","365","480","2,622","600","0","1,127"
"6218","通信交通費","0","5,237","5,108","6,292","5,764","0","4,630","6,698","5,238","0","8,169","5,062"
"6219","水道光熱費","446,390","392,790","369,465","365,110","360,965","304,885","357,590","334,080","363,680","388,575","506,505","355,915"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
