"ｺｰﾄﾞ","勘定科目名"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"
"4111","売上高","0","0","0","0","0","0","0","6,836,426","7,240,557","10,988,570","8,395,802","7,628,608"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","6,836,426","7,240,557","10,988,570","8,395,802","7,628,608"
"5111","期首棚卸高","0","0","0","0","0","0","0","700,309","561,830","722,197","635,952","569,981"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","561,830","722,197","635,952","569,981","601,768"
"5211","商品仕入高","0","0","0","0","0","0","0","2,217,927","2,401,367","3,391,753","2,684,358","2,670,462"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","2,356,406","2,241,000","3,477,998","2,750,329","2,638,675"
,"売上総利益","0","0","0","0","0","0","0","4,480,020","4,999,557","7,510,572","5,645,473","4,989,933"
"6111","給与手当","0","0","0","0","0","0","0","816,200","834,000","954,000","835,500","839,000"
"6311","雑給","0","0","0","0","0","0","0","1,418,139","1,342,927","1,747,222","1,343,587","1,323,520"
"6112","旅費交通費","0","0","0","0","0","0","0","169,894","108,955","127,369","128,556","82,723"
"6113","広告宣伝費","0","0","0","0","0","0","0","69,349","75,896","92,644","119,558","79,173"
"6114","販売促進費","0","0","0","0","0","0","0","47,258","54,439","49,362","34,516","19,219"
"6115","荷造発送費","0","0","0","0","0","0","0","592","712","564","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","3,600","29,410","66,655","0"
"6117","支払手数料","0","0","0","0","0","0","0","397,311","441,619","585,832","546,055","495,963"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","38,666","38,666","-13,330","38,666","38,666"
"6312","法定福利費","0","0","0","0","0","0","0","165,593","165,593","182,422","165,593","165,593"
"6226","厚生費","0","0","0","0","0","0","0","110,606","77,887","11,733","84,533","173,333"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","0","104,883","104,883","104,883","104,883","104,883"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","650,000","650,000","934,027","713,643","650,000"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","18,500","0","255,100","46,300"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","7,589","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","0","5,012","5,418","0","10,096"
"6219","水道光熱費","0","0","0","0","0","0","0","442,160","409,860","508,890","466,450","421,820"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","5,580","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","30,000","15,000","15,000","15,000"
"6225","備品消耗品費","0","0","0","0","0","0","0","117,175","99,123","1,141,560","139,929","17,028"
"6227","管理諸費","0","0","0","0","0","0","0","20,740","161,740","20,740","11,740","11,740"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","10,000","0","10,000","10,000","10,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","0","4,578,566","4,628,992","6,515,335","5,079,964","4,504,057"
,"営業利益（損失）","0","0","0","0","0","0","0","-98,546","370,565","995,237","565,509","485,876"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","0","0","-98,546","370,565","995,237","565,509","485,876"
