"ｺｰﾄﾞ","勘定科目名"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"
"4111","売上高","0","7,592,931","6,480,776","6,018,745","3,578,251","2,493,905","3,944,873","4,676,798","5,513,731","4,096,547","3,742,941","5,452,658"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","7,592,931","6,480,776","6,018,745","3,578,251","2,493,905","3,944,873","4,676,798","5,513,731","4,096,547","3,742,941","5,452,658"
"5111","期首棚卸高","0","1,099,363","455,979","455,979","589,501","477,446","523,650","391,597","391,597","422,800","384,392","435,610"
"5211","商品仕入高","1,099,807","131,456","4,577,440","2,319,359","1,165,562","710,241","1,313,067","1,521,504","1,816,710","1,296,929","1,273,576","1,807,924"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","1,099,363","455,979","455,979","589,501","477,446","383,086","391,597","391,597","422,800","384,392","435,610","476,345"
,"当期売上原価","444","774,840","4,577,440","2,185,837","1,277,617","804,601","1,445,120","1,521,504","1,785,507","1,335,337","1,222,358","1,767,189"
,"売上総利益","-444","6,818,091","1,903,336","3,832,908","2,300,634","1,689,304","2,499,753","3,155,294","3,728,224","2,761,210","2,520,583","3,685,469"
"6111","給与手当","566,500","664,000","539,000","539,000","539,000","539,000","539,000","541,000","763,000","763,000","763,000","763,000"
