"ｺｰﾄﾞ","勘定科目名"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"
"4111","売上高","3,944,873","4,676,798","5,513,731","4,096,547","3,742,941","5,452,658","5,283,721","6,212,757","5,033,958","5,379,567","5,881,100","5,132,130"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,944,873","4,676,798","5,513,731","4,096,547","3,742,941","5,452,658","5,283,721","6,212,757","5,033,958","5,379,567","5,881,100","5,132,130"
"5111","期首棚卸高","523,650","391,597","391,597","422,800","384,392","435,610","476,345","658,172","564,366","521,030","530,879","490,408"
"5211","商品仕入高","1,313,067","1,521,504","1,816,710","1,296,929","1,273,576","1,807,924","2,009,611","2,040,756","1,661,787","1,721,200","1,794,871","1,823,056"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","391,597","391,597","422,800","384,392","435,610","476,345","658,172","564,366","521,030","530,879","490,408","599,965"
,"当期売上原価","1,445,120","1,521,504","1,785,507","1,335,337","1,222,358","1,767,189","1,827,784","2,134,562","1,705,123","1,711,351","1,835,342","1,713,499"
,"売上総利益","2,499,753","3,155,294","3,728,224","2,761,210","2,520,583","3,685,469","3,455,937","4,078,195","3,328,835","3,668,216","4,045,758","3,418,631"
"6111","給与手当","539,000","541,000","763,000","763,000","763,000","763,000","539,000","606,175","579,434","317,000","542,000","537,000"
"6311","雑給","835,282","914,002","830,140","612,017","779,290","1,032,539","912,848","981,644","1,072,102","1,121,948","1,016,076","872,590"
"6112","旅費交通費","68,477","59,673","65,331","72,190","40,263","79,079","45,071","44,919","68,919","43,794","45,466","49,974"
"6113","広告宣伝費","75,862","64,429","372,370","74,629","205,295","211,233","212,099","161,061","224,980","162,802","102,883","95,155"
"6114","販売促進費","41,938","50,317","46,952","16,047","42,970","16,000","31,859","27,000","55,483","48,787","70,584","38,582"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","265,615","310,123","306,985","337,316","298,663","318,982","341,594","410,684","316,209","358,054","357,263","358,495"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","50,000","0","0","0","0","112,600","67,250","67,250","67,250","67,250"
"6312","法定福利費","147,090","147,090","147,090","177,912","177,912","175,016","175,179","157,840","160,127","113,565","105,150","102,345"
"6226","厚生費","0","0","0","23,482","106,600","135,400","140,600","32,223","379,360","181,666","69,666","128,878"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","460,394","460,394","460,394","460,394","460,394","460,394","460,394","460,394","460,394","460,394","460,394","460,394"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","575,000","575,000"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","19,860","0","0"
"6217","事務用消耗品費","7,331","5","0","0","0","0","0","0","0","0","1,055","0"
"6218","通信交通費","6,188","3,733","19,905","24,231","10,659","5,475","8,376","6,658","6,788","7,190","6,675","6,709"
"6219","水道光熱費","438,008","362,297","350,921","368,463","483,351","326,025","384,238","353,891","419,465","418,147","591,535","592,008"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","0","0","0","0","0"
"6225","備品消耗品費","79,049","120,992","101,589","91,180","278,443","207,721","245,092","187,165","169,258","252,889","186,832","101,704"
"6227","管理諸費","64,301","64,300","86,017","64,301","83,121","64,301","64,301","52,836","72,085","64,301","73,201","64,301"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","3,578,535","3,648,355","4,150,694","3,635,162","4,279,961","4,345,165","4,110,651","4,145,090","4,601,854","4,187,647","4,271,030","4,050,385"
,"営業利益（損失）","-1,078,782","-493,061","-422,470","-873,952","-1,759,378","-659,696","-654,714","-66,895","-1,273,019","-519,431","-225,272","-631,754"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","1,127","-1","0","23,620","4,168","15,281","0","9,400","-3,000","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","1,127","-1","0","23,620","4,168","15,281","0","9,400","-3,000","0"
,"経常利益（損失）","-1,078,782","-493,061","-423,597","-873,951","-1,759,378","-683,316","-658,882","-82,176","-1,273,019","-528,831","-222,272","-631,754"
