"ｺｰﾄﾞ","勘定科目名"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"," 4年 11月"
"4111","売上高","5,513,731","4,096,547","3,742,941","5,452,658","5,283,721","6,212,757","5,033,958","5,379,567","5,881,100","5,132,130","5,491,172","5,917,996"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","5,513,731","4,096,547","3,742,941","5,452,658","5,283,721","6,212,757","5,033,958","5,379,567","5,881,100","5,132,130","5,491,172","5,917,996"
"5111","期首棚卸高","391,597","422,800","384,392","435,610","476,345","658,172","564,366","521,030","530,879","490,408","599,965","490,507"
"5211","商品仕入高","1,816,710","1,296,929","1,273,576","1,807,924","2,009,611","2,040,756","1,661,787","1,721,200","1,794,871","1,823,056","1,690,718","2,044,412"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","422,800","384,392","435,610","476,345","658,172","564,366","521,030","530,879","490,408","599,965","490,507","576,653"
,"当期売上原価","1,785,507","1,335,337","1,222,358","1,767,189","1,827,784","2,134,562","1,705,123","1,711,351","1,835,342","1,713,499","1,800,176","1,958,266"
,"売上総利益","3,728,224","2,761,210","2,520,583","3,685,469","3,455,937","4,078,195","3,328,835","3,668,216","4,045,758","3,418,631","3,690,996","3,959,730"
"6111","給与手当","763,000","763,000","763,000","763,000","539,000","606,175","579,434","317,000","542,000","537,000","547,000","597,500"
"6311","雑給","830,140","612,017","779,290","1,032,539","912,848","981,644","1,072,102","1,121,948","1,016,076","872,590","1,031,595","947,210"
"6112","旅費交通費","65,331","72,190","40,263","79,079","45,071","44,919","68,919","43,794","45,466","49,974","33,742","49,379"
