"ｺｰﾄﾞ","勘定科目名"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"
"4111","売上高","0","0","0","0","0","0","5,508,727","6,429,199","7,038,163","6,289,174","5,919,071","7,411,977"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","5,508,727","6,429,199","7,038,163","6,289,174","5,919,071","7,411,977"
"5111","期首棚卸高","0","0","0","0","0","0","570,455","611,795","624,107","629,000","513,682","540,553"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","611,795","624,107","629,000","513,682","540,553","557,691"
"5211","商品仕入高","0","0","0","0","0","0","1,928,445","2,315,726","2,203,794","1,797,488","1,910,708","2,418,727"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","1,887,105","2,303,414","2,198,901","1,912,806","1,883,837","2,401,589"
,"売上総利益","0","0","0","0","0","0","3,621,622","4,125,785","4,839,262","4,376,368","4,035,234","5,010,388"
"6111","給与手当","0","0","0","0","0","0","608,900","590,900","578,900","632,648","588,900","579,400"
"6311","雑給","0","0","0","0","0","0","1,300,868","1,325,249","1,436,414","1,450,589","1,289,471","1,424,305"
"6112","旅費交通費","0","0","0","0","0","0","44,956","39,329","40,337","43,753","15,921","41,060"
"6113","広告宣伝費","0","0","0","0","0","0","88,038","293,990","58,078","147,124","160,151","420,040"
"6114","販売促進費","0","0","0","0","0","0","16,000","18,160","105,468","24,803","1,688","59,087"
"6115","荷造発送費","0","0","0","0","0","0","0","645","2,455","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","0","0","461,460","444,850","646,668","526,034","467,012","554,647"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","44,833","44,833","-129,165","44,833","44,833","44,833"
"6312","法定福利費","0","0","0","0","0","0","154,083","173,998","197,699","192,791","213,409","227,153"
"6226","厚生費","0","0","0","0","0","0","87,188","87,187","7,188","91,733","91,733","94,187"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","308,844","308,844","308,844","308,844","308,844","308,844"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","1,097,727","575,000","650,000","650,000","650,000","650,000"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","11,000","0","0","0","108,200"
"6217","事務用消耗品費","0","0","0","0","0","0","0","0","0","0","0","1,000"
"6218","通信交通費","0","0","0","0","0","0","7,325","7,130","7,061","7,148","8,590","17,185"
"6219","水道光熱費","0","0","0","0","0","0","481,320","318,145","393,076","370,960","438,921","446,557"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","1,200"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","5,580","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","0","30,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","0","0","0","0","0","0","40,767","79,564","68,813","25,281","59,015","70,424"
"6227","管理諸費","0","0","0","0","0","0","66,906","75,370","59,365","63,661","48,665","70,951"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","0","0","0","0","0","4,800","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","4,809,215","4,429,774","4,446,201","4,595,202","4,406,953","5,134,073"
,"営業利益（損失）","0","0","0","0","0","0","-1,187,593","-303,989","393,061","-218,834","-371,719","-123,685"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","-1","0","0","0","1","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","-1","0","0","0","1","0"
,"経常利益（損失）","0","0","0","0","0","0","-1,187,592","-303,989","393,061","-218,834","-371,720","-123,685"
