"ｺｰﾄﾞ","勘定科目名","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"
"4111","売上高","9,714,835","7,891,385","8,922,922","10,282,663","10,619,636","9,309,950","3,977,224","3,656,970","5,863,526","5,665,303","4,666,479","5,821,769"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","9,714,835","7,891,385","8,922,922","10,282,663","10,619,636","9,309,950","3,977,224","3,656,970","5,863,526","5,665,303","4,666,479","5,821,769"
"5111","期首たな卸高","13,923,131","13,970,603","13,487,773","11,596,408","12,922,818","11,489,915","10,306,002","11,254,792","10,586,381","10,320,637","8,975,480","9,919,293"
"5211","商品仕入高","3,808,512","2,362,866","2,016,063","4,853,805","3,152,285","2,513,136","2,273,877","935,890","1,823,651","1,000,234","2,698,111","1,772,761"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","13,970,603","13,487,773","11,596,408","12,922,818","11,489,915","10,305,502","11,254,792","10,586,381","10,320,637","8,975,480","9,919,293","9,406,900"
,"当期売上原価","3,761,040","2,845,696","3,907,428","3,527,395","4,585,188","3,697,549","1,325,087","1,604,301","2,089,395","2,345,391","1,754,298","2,285,154"
,"売上総利益","5,953,795","5,045,689","5,015,494","6,755,268","6,034,448","5,612,401","2,652,137","2,052,669","3,774,131","3,319,912","2,912,181","3,536,615"
"6111","給与手当","628,000","645,500","667,500","652,500","546,500","562,500","90,000","319,000","334,000","329,000","444,000","319,000"
"6311","雑給","1,447,902","1,298,709","1,463,338","1,594,795","1,680,822","1,527,543","1,305,402","1,176,146","1,358,478","1,158,263","1,160,027","1,053,058"
"6112","旅費交通費","91,568","81,932","88,796","102,951","94,101","87,399","76,418","78,679","100,964","79,604","79,776","81,171"
"6113","広告宣伝費","160,961","248,376","119,610","154,795","203,422","97,283","319,896","146,958","172,552","142,023","123,158","846,146"
"6114","販売促進費","63,098","55,157","53,886","8,970","31,925","51,309","16,000","18,727","115,736","45,848","57,269","59,004"
"6115","荷造発送費","3,603","0","1,168","0","-152","0","0","0","0","0","172","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","596,514","497,174","582,577","635,929","664,545","604,513","314,640","249,207","384,167","362,989","295,232","357,123"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","65,000","65,000","-148,697","65,000","65,000","65,000","65,000","65,000","-149,682","65,000","65,000","65,000"
"6312","法定福利費","101,904","101,904","128,110","101,904","101,904","104,709","68,849","101,607","124,165","101,607","99,125","101,733"
"6226","厚生費","96,892","26,521","36,929","13,851","63,945","87,205","49,544","74,903","38,174","65,950","-2,691","16,667"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","134,403","134,403","134,403","134,403","134,403","3,254,996","181,704","181,704","181,704","181,704","181,704","181,704"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","330,000","330,000","330,000","330,000","330,000","336,111","330,000","330,000","330,000","330,000","330,000","330,000"
"6216","修繕／車両関係費","0","0","0","0","0","106,000","0","25,000","0","0","0","0"
"6217","事務用消耗品費","200","1,580","8,192","3,888","0","0","0","200","3,936","5,330","5,785","0"
"6218","通信交通費","14,829","24,541","3,481","23,968","3,494","23,538","13,292","2,916","14,832","23,902","3,360","23,852"
"6219","水道光熱費","280,063","280,461","217,139","265,223","245,620","324,384","275,800","266,067","213,719","362,846","328,002","295,486"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","9,000","0","0"
"6223","接待交際費","0","0","20,000","0","0","0","0","0","0","0","25,000","0"
"6224","保険料","12,420","12,420","12,420","12,420","12,420","43,976","17,560","15,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","120,461","124,171","276,607","332,579","123,463","470,017","55,420","93,252","84,198","-460,212","38,778","134,445"
"6227","管理諸費","26,059","25,820","22,204","27,034","24,739","24,728","21,079","43,942","26,987","24,112","20,197","31,618"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","22,000","10,000","20,000","10,000","10,000","10,000","10,000","16,000","10,000","30,000","10,000","22,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","4,195,877","3,963,669","4,037,663","4,470,210","4,336,151","7,781,211","3,210,604","3,204,308","3,358,930","2,871,966","3,278,894","3,933,007"
,"営業利益（損失）","1,757,918","1,082,020","977,831","2,285,058","1,698,297","-2,168,810","-558,467","-1,151,639","415,201","447,946","-366,713","-396,392"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","1,757,918","1,082,020","977,831","2,285,058","1,698,297","-2,168,810","-558,467","-1,151,639","415,201","447,946","-366,713","-396,392"
