"ｺｰﾄﾞ","勘定科目名"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"
"4111","売上高","6,445,698","4,687,006","5,472,602","7,766,026","3,982,224","2,474,592","4,224,689","4,431,044","2,308,055","2,548,853","4,046,156","3,260,928"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","6,445,698","4,687,006","5,472,602","7,766,026","3,982,224","2,474,592","4,224,689","4,431,044","2,308,055","2,548,853","4,046,156","3,260,928"
"5111","期首棚卸高","8,768,051","8,303,328","8,913,345","8,752,927","8,332,661","8,268,538","9,297,939","9,133,278","9,258,824","8,997,724","8,759,336","9,427,020"
"5211","商品仕入高","2,193,452","2,261,738","1,546,105","2,701,614","735,686","1,592,659","1,239,431","1,205,513","863,150","667,767","2,161,637","1,368,004"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","8,303,328","8,913,345","8,752,927","8,332,661","8,268,538","9,297,939","9,133,278","9,258,824","8,997,724","8,759,336","9,427,020","9,646,703"
,"当期売上原価","2,658,175","1,651,721","1,706,523","3,121,880","799,809","563,258","1,404,092","1,079,967","1,124,250","906,155","1,493,953","1,148,321"
,"売上総利益","3,787,523","3,035,285","3,766,079","4,644,146","3,182,415","1,911,334","2,820,597","3,351,077","1,183,805","1,642,698","2,552,203","2,112,607"
"6111","給与手当","421,000","436,000","436,000","446,000","421,000","421,000","471,000","421,000","422,230","422,230","422,230","422,230"
"6311","雑給","785,605","757,141","735,126","988,266","694,939","626,874","760,775","634,498","504,208","455,110","627,039","637,747"
"6112","旅費交通費","59,190","68,300","58,436","76,505","75,926","48,285","67,191","81,118","61,836","51,764","57,973","51,491"
"6113","広告宣伝費","108,740","130,087","243,675","247,800","88,704","67,856","149,841","81,057","65,951","55,836","119,400","78,515"
"6114","販売促進費","122,800","22,390","77,384","104,162","61,692","66,809","72,198","50,075","55,764","52,199","75,688","43,811"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","386,552","357,416","440,807","498,285","301,174","162,653","331,412","299,381","166,534","174,103","338,166","233,223"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","95,000","0","0","0","0","0","85,000","0","0"
"6312","法定福利費","95,127","99,960","99,960","125,307","95,909","99,960","99,960","99,960","99,960","118,816","99,960","99,960"
"6226","厚生費","13,600","0","5,000","29,000","0","0","30,425","4,057","45,520","17,587","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","181,774","124,211","124,211","124,211","124,211","124,211","124,211","124,211","124,211","124,211","124,211","124,211"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000"
"6216","修繕／車両関係費","0","120,000","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","500","7,736","6,886","0","3,845","1,592","4,021","0","0","0","0","1,197"
"6218","通信交通費","13,014","3,513","22,584","3,360","13,142","13,720","22,752","13,065","13,014","13,295","3,436","22,448"
"6219","水道光熱費","244,550","222,262","220,787","167,912","303,967","302,336","251,175","187,760","195,559","150,392","190,492","205,224"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","19,000","0","0","0","0"
"6223","接待交際費","0","4,222","0","0","0","0","0","1,749","0","0","0","0"
"6224","保険料","46,556","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","113,249","94,784","111,562","229,539","129,368","20,488","115,723","161,850","160,214","69,589","168,021","133,523"
"6227","管理諸費","20,885","27,983","22,639","22,370","18,380","17,960","19,055","20,390","18,180","18,330","17,775","21,931"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","10,000","10,000","10,000","10,000","10,000","10,000","10,000","22,000","10,000","0","10,000","10,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","2,953,142","2,831,005","2,960,057","3,512,717","2,687,257","2,328,744","2,874,739","2,566,171","2,288,181","2,153,462","2,599,391","2,430,511"
,"営業利益（損失）","834,381","204,280","806,022","1,131,429","495,158","-417,410","-54,142","784,906","-1,104,376","-510,764","-47,188","-317,904"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
