"ｺｰﾄﾞ","勘定科目名"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"
"4111","売上高","3,982,224","2,474,592","4,224,689","4,431,044","2,308,055","2,548,853","4,046,156","3,260,928","0","2,958,575","2,567,681","4,020,426"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","3,982,224","2,474,592","4,224,689","4,431,044","2,308,055","2,548,853","4,046,156","3,260,928","0","2,958,575","2,567,681","4,020,426"
"5111","期首棚卸高","8,332,661","8,268,538","9,297,939","9,133,278","9,258,824","8,997,724","8,759,336","9,427,020","9,646,703","9,994,155","9,675,629","9,318,807"
"5211","商品仕入高","735,686","1,592,659","1,239,431","1,205,513","863,150","667,767","2,161,637","1,368,004","236,660","1,065,241","750,132","966,996"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","8,268,538","9,297,939","9,133,278","9,258,824","8,997,724","8,759,336","9,427,020","9,646,703","9,994,154","9,675,629","9,318,807","8,998,755"
,"当期売上原価","799,809","563,258","1,404,092","1,079,967","1,124,250","906,155","1,493,953","1,148,321","-110,791","1,383,767","1,106,954","1,287,048"
,"売上総利益","3,182,415","1,911,334","2,820,597","3,351,077","1,183,805","1,642,698","2,552,203","2,112,607","110,791","1,574,808","1,460,727","2,733,378"
"6111","給与手当","421,000","421,000","471,000","421,000","422,230","422,230","422,230","422,230","379,085","422,230","424,230","424,230"
"6311","雑給","694,939","626,874","760,775","634,498","504,208","455,110","627,039","637,747","557,256","543,336","558,117","628,945"
"6112","旅費交通費","75,926","48,285","67,191","81,118","61,836","51,764","57,973","51,491","2,146","40,414","35,709","38,432"
"6113","広告宣伝費","88,704","67,856","149,841","81,057","65,951","55,836","119,400","78,515","29,318","152,195","185,367","226,904"
"6114","販売促進費","61,692","66,809","72,198","50,075","55,764","52,199","75,688","43,811","21,955","29,685","183,497","59,603"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","409","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","301,174","162,653","331,412","299,381","166,534","174,103","338,166","233,223","40,845","203,416","208,793","264,422"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","85,000","0","0","0","0","0","25,000"
"6312","法定福利費","95,909","99,960","99,960","99,960","99,960","118,816","99,960","99,960","101,948","104,433","104,433","112,038"
"6226","厚生費","0","0","30,425","4,057","45,520","17,587","0","0","6,800","18,961","5,000","5,000"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","124,211","124,211","124,211","124,211","124,211","124,211","124,211","124,211","124,291","104,598","104,598","104,598"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","3,845","1,592","4,021","0","0","0","0","1,197","1,295","4,127","3,101","73"
"6218","通信交通費","13,142","13,720","22,752","13,065","13,014","13,295","3,436","22,448","13,274","3,627","22,745","3,613"
"6219","水道光熱費","303,967","302,336","251,175","187,760","195,559","150,392","190,492","205,224","257,038","175,506","178,780","226,827"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","19,000","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","1,749","0","0","0","0","0","0","0","0"
"6224","保険料","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","30,000","15,000","15,000","15,000"
"6225","備品消耗品費","129,368","20,488","115,723","161,850","160,214","69,589","168,021","133,523","94,378","60,881","-15,954","98,875"
"6227","管理諸費","18,380","17,960","19,055","20,390","18,180","18,330","17,775","21,931","750","20,320","18,105","18,090"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","10,000","10,000","10,000","22,000","10,000","0","10,000","10,000","0","20,000","10,000","10,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
