"ｺｰﾄﾞ","勘定科目名"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"
"4111","売上高","4,431,044","2,308,055","2,548,853","4,046,156","3,260,928","0","2,958,575","2,567,681","4,020,426","2,602,465","1,937,517","3,347,105"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","4,431,044","2,308,055","2,548,853","4,046,156","3,260,928","0","2,958,575","2,567,681","4,020,426","2,602,465","1,937,517","3,347,105"
"5111","期首棚卸高","9,133,278","9,258,824","8,997,724","8,759,336","9,427,020","9,646,703","9,994,155","9,675,629","9,318,807","8,998,755","8,959,092","8,729,537"
"5211","商品仕入高","1,205,513","863,150","667,767","2,161,637","1,368,004","236,660","1,065,241","750,132","1,017,326","537,337","518,694","730,252"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","9,258,824","8,997,724","8,759,336","9,427,020","9,646,703","9,994,154","9,675,629","9,318,807","8,998,755","8,959,092","8,729,537","9,429,433"
,"当期売上原価","1,079,967","1,124,250","906,155","1,493,953","1,148,321","-110,791","1,383,767","1,106,954","1,337,378","577,000","748,249","30,356"
,"売上総利益","3,351,077","1,183,805","1,642,698","2,552,203","2,112,607","110,791","1,574,808","1,460,727","2,683,048","2,025,465","1,189,268","3,316,749"
"6111","給与手当","421,000","422,230","422,230","422,230","422,230","379,085","422,230","424,230","424,230","431,230","431,230","431,230"
"6311","雑給","634,498","504,208","455,110","627,039","637,747","557,256","543,336","558,117","628,945","677,204","526,243","592,614"
"6112","旅費交通費","81,118","61,836","51,764","57,973","51,491","2,146","40,414","35,709","38,432","39,154","20,491","27,827"
"6113","広告宣伝費","81,057","65,951","55,836","119,400","78,515","29,318","152,195","185,367","226,904","104,206","117,726","186,540"
