"ｺｰﾄﾞ","勘定科目名"," 3年 11月"," 3年 12月"," 4年  1月"," 4年  2月"," 4年  3月"," 4年  4月"," 4年  5月"," 4年  6月"," 4年  7月"," 4年  8月"," 4年  9月"," 4年 10月"
"4111","売上高","2,567,681","4,020,426","2,602,465","1,937,517","3,347,105","3,550,173","2,608,678","2,659,883","4,997,529","4,837,545","4,506,231","2,550,314"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","2,567,681","4,020,426","2,602,465","1,937,517","3,347,105","3,550,173","2,608,678","2,659,883","4,997,529","4,837,545","4,506,231","2,550,314"
"5111","期首棚卸高","9,675,629","9,318,807","8,998,755","8,959,092","8,729,537","9,429,433","9,177,120","8,880,660","8,673,322","8,361,437","8,143,248","7,913,024"
"5211","商品仕入高","750,132","1,017,326","537,337","518,694","730,252","2,065,713","551,519","679,089","1,223,258","1,189,817","1,054,098","563,907"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","9,318,807","8,998,755","8,959,092","8,729,537","9,429,433","9,177,120","8,880,660","8,673,322","8,361,437","8,143,248","7,916,934","7,826,154"
,"当期売上原価","1,106,954","1,337,378","577,000","748,249","30,356","2,318,026","847,979","886,427","1,535,143","1,408,006","1,280,412","650,777"
,"売上総利益","1,460,727","2,683,048","2,025,465","1,189,268","3,316,749","1,232,147","1,760,699","1,773,456","3,462,386","3,429,539","3,225,819","1,899,537"
"6111","給与手当","424,230","424,230","431,230","431,230","431,230","431,230","631,230","671,230","651,230","633,230","651,230","631,230"
"6311","雑給","558,117","628,945","677,204","526,243","592,614","464,847","495,202","417,322","672,966","750,849","563,746","410,480"
"6112","旅費交通費","35,709","38,432","39,154","20,491","27,827","26,509","25,982","30,037","36,982","34,927","34,227","29,028"
"6113","広告宣伝費","185,367","226,904","104,206","117,726","186,540","90,682","94,457","199,801","178,231","208,612","241,892","121,860"
"6114","販売促進費","183,497","59,603","54,866","56,136","96,670","61,360","56,306","43,207","57,260","67,710","72,618","50,788"
"6115","荷造発送費","409","0","0","891","2,691","600","1,155","2,673","891","600","3,336","600"
"6116","外注費","0","0","0","21,873","0","0","0","0","0","69,886","68,802","47,896"
"6117","支払手数料","208,793","264,422","195,532","57,052","239,021","63,763","453,995","207,965","335,200","396,703","321,009","242,021"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","25,000","0","0","0","0","106,127","55,750","55,750","55,750","55,750","37,166"
"6312","法定福利費","104,433","112,038","104,433","104,433","101,806","101,721","132,406","134,603","104,023","104,023","106,992","121,578"
"6226","厚生費","5,000","5,000","28,478","5,000","5,000","7,800","0","21,360","94,334","42,466","4,878","909"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","104,598","104,598","104,598","104,598","104,598","104,598","104,598","104,598","104,598","104,598","104,655","100,403"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000","330,000"
"6216","修繕／車両関係費","0","0","45,295","0","0","0","0","0","0","16,000","0","0"
"6217","事務用消耗品費","3,101","73","400","3,636","902","340","0","0","0","100","3,636","0"
"6218","通信交通費","22,745","3,613","22,367","13,274","13,438","3,436","22,214","13,365","3,360","22,844","13,627","12,943"
"6219","水道光熱費","178,780","226,827","337,211","332,675","343,062","273,505","240,814","196,500","222,482","254,107","324,623","310,775"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","15,000","44,626","15,000"
"6225","備品消耗品費","-15,954","98,875","111,213","36,128","132,824","70,041","26,220","220,318","51,229","92,879","52,295","355,899"
"6227","管理諸費","18,105","18,090","44,690","20,130","29,700","29,070","29,265","28,095","29,516","34,016","34,443","28,661"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","10,000","10,000","10,000","10,000","26,000","10,000","10,000","10,000","10,000","23,200","10,000","10,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","5,408","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","2,371,930","2,591,650","2,655,877","2,206,516","2,678,923","2,084,502","2,780,379","2,701,824","2,953,052","3,257,500","3,042,385","2,857,237"
,"営業利益（損失）","-911,203","91,398","-630,412","-1,017,248","637,826","-852,355","-1,019,680","-928,368","509,334","172,039","183,434","-957,700"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113","ＬＬＰ収入","0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","1,921","1,903","1,477","1,693","0","80","823","937","1,730","2,743","137"
,"営業外収益計","0","1,921","1,903","1,477","1,693","0","80","823","937","1,730","2,743","137"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","100","-6,384","6,384","0","0","0","0","0","0"
"7514","ＬＬＰ損失","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","100","-6,384","6,384","0","0","0","0","0","0"
,"経常利益（損失）","-911,203","93,319","-628,509","-1,015,871","645,903","-858,739","-1,019,600","-927,545","510,271","173,769","186,177","-957,563"
