"ｺｰﾄﾞ","勘定科目名"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年 10月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"
"4111","売上高","0","0","0","0","0","4,833,611","2,670,879","6,105,799","4,082,663","6,092,581","2,566,869","1,703,545"
"4112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4114",,"0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","4,833,611","2,670,879","6,105,799","4,082,663","6,092,581","2,566,869","1,703,545"
"5111","期首棚卸高","0","0","0","0","0","8,557,880","8,476,216","8,364,574","8,137,573","7,381,983","6,347,417","6,320,703"
"5311","期末棚卸高        (△)","0","0","0","0","0","8,476,216","8,364,574","8,137,573","7,381,983","6,347,417","6,320,703","6,312,213"
"5211","商品仕入高","0","0","0","0","0","1,898,554","1,398,977","2,296,755","952,554","1,015,357","491,468","645,894"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","1,980,218","1,510,619","2,523,756","1,708,144","2,049,923","518,182","654,384"
,"売上総利益","0","0","0","0","0","2,853,393","1,160,260","3,582,043","2,374,519","4,042,658","2,048,687","1,049,161"
"6111","給与手当","0","0","0","0","0","239,000","236,600","241,600","241,600","241,600","236,600","236,600"
"6311","雑給","0","0","0","0","0","536,277","439,941","634,441","620,798","709,990","296,340","139,188"
"6112","旅費交通費","0","0","0","0","0","41,945","29,127","47,309","43,418","41,819","46,472","7,181"
"6113","広告宣伝費","0","0","0","0","0","137,441","63,554","1,110","100,522","275,211","23,000","10,455"
"6114","販売促進費","0","0","0","0","0","44,537","42,626","83,146","76,732","96,305","25,609","19,855"
"6115","荷造発送費","0","0","0","0","0","0","153","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","118,800","5,400","55,440","0","0","0","0"
"6117","支払手数料","0","0","0","0","0","548,946","367,276","110,282","958,296","387,256","457,866","246,283"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","37,166","37,166","-135,830","37,166","37,166","37,166","37,166"
"6312","法定福利費","0","0","0","0","0","73,551","73,551","81,018","73,551","73,551","73,551","73,492"
"6226","厚生費","0","0","0","0","0","0","29,330","0","0","0","0","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","99,270","99,270","99,270","99,270","99,270","99,270","99,270"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","330,000","330,000","330,000","330,000","0","0","0"
"6216","修繕／車両関係費","0","0","0","0","0","0","4,600","66,000","0","250,000","7,400","39,000"
"6217","事務用消耗品費","0","0","0","0","0","500","1,096","1,270","0","800","0","0"
"6218","通信交通費","0","0","0","0","0","22,462","13,195","3,360","22,430","12,875","3,360","17,345"
"6219","水道光熱費","0","0","0","0","0","224,411","255,153","193,586","219,679","602,644","0","0"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","16,000","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","30,000","15,000","15,000","15,000","15,000","15,000"
"6225","備品消耗品費","0","0","0","0","0","49,725","65,314","138,558","46,365","190,945","119,667","80,071"
"6227","管理諸費","0","0","0","0","0","21,727","20,791","23,636","19,916","24,575","3,182","96,770"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229","諸会費","0","0","0","0","0","10,000","10,000","10,000","10,000","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
"6232","本社　指導料","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","2,535,758","2,154,143","1,999,196","2,914,743","3,059,007","1,460,483","1,117,676"
,"営業利益（損失）","0","0","0","0","0","317,635","-993,883","1,582,847","-540,224","983,651","588,204","-68,515"
"7111","受取利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外収益計","0","0","0","0","0","0","0","0","0","0","0","0"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","405","0","0","0","0","0","0"
"7514",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","405","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","317,230","-993,883","1,582,847","-540,224","983,651","588,204","-68,515"
