"ｺｰﾄﾞ","勘定科目名","30年  2月","30年  3月","30年  4月","30年  5月","30年  6月","30年  7月","30年  8月","30年  9月","30年 10月","30年 11月","30年 12月","31年  1月"
"4111","売上高","9,008,503","14,422,709","11,990,019","9,206,943","4,328,124","14,441,668","12,010,046","10,362,436","5,719,528","8,571,978","8,815,757","7,864,377"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","9,008,503","14,422,709","11,990,019","9,206,943","4,328,124","14,441,668","12,010,046","10,362,436","5,719,528","8,571,978","8,815,757","7,864,377"
"5111","期首たな卸高","11,725,210","13,402,794","10,416,084","10,313,446","10,305,714","15,135,266","12,298,683","10,877,600","10,548,382","19,210,315","20,074,241","18,747,685"
"5211","商品仕入高","3,743,771","6,422,754","6,053,476","3,165,057","6,278,453","3,198,067","2,936,049","3,851,643","10,744,598","4,250,380","2,608,755","2,689,279"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","13,402,794","10,416,084","10,313,446","10,305,714","15,135,266","12,298,683","10,877,600","10,548,382","19,210,315","20,074,241","18,747,685","17,848,683"
,"当期売上原価","2,066,187","9,409,464","6,156,114","3,172,789","1,448,901","6,034,650","4,357,132","4,180,861","2,082,665","3,386,454","3,935,311","3,588,281"
,"売上総利益","6,942,316","5,013,245","5,833,905","6,034,154","2,879,223","8,407,018","7,652,914","6,181,575","3,636,863","5,185,524","4,880,446","4,276,096"
"6111","給与手当","613,024","624,000","625,000","623,000","528,000","859,000","858,000","852,000","838,000","799,044","626,000","640,000"
"6311","雑給","1,355,831","1,931,781","1,748,238","1,712,098","1,168,512","1,822,480","1,573,503","1,489,309","1,273,134","1,325,883","1,630,861","1,517,082"
"6112","旅費交通費","89,600","95,833","60,963","63,425","64,611","84,463","85,593","82,185","70,630","73,912","85,722","92,085"
