"ｺｰﾄﾞ","勘定科目名"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"
"4111","売上高","56,881,715","53,961,379","55,797,179","48,913,248","46,195,255","46,064,838","47,117,447","43,557,046","45,396,204","48,745,736","51,012,681","47,305,230"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","56,881,715","53,961,379","55,797,179","48,913,248","46,195,255","46,064,838","47,117,447","43,557,046","45,396,204","48,745,736","51,012,681","47,305,230"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
,"売上総利益","56,881,715","53,961,379","55,797,179","48,913,248","46,195,255","46,064,838","47,117,447","43,557,046","45,396,204","48,745,736","51,012,681","47,305,230"
"6111","給与手当","4,357,551","4,393,529","4,381,760","4,580,259","4,695,349","4,718,915","4,706,765","4,773,152","4,922,848","5,053,165","-5,373,554","4,837,979"
"6311","雑給","3,054,316","2,912,335","2,868,068","2,625,674","2,614,352","2,644,218","2,595,855","2,459,269","2,757,991","2,701,586","2,729,232","2,680,477"
"6112","旅費交通費","136,890","117,666","139,015","124,381","110,072","129,777","102,604","146,268","128,528","71,123","40,091","65,473"
"6113","広告宣伝費","13,085,240","13,523,162","11,277,705","16,568,194","16,276,489","22,184,152","23,027,342","24,755,460","20,891,135","14,661,755","13,521,833","16,079,515"
"6114","販売促進費","6,282,295","4,986,146","6,184,071","5,539,462","4,959,340","5,313,086","5,033,841","4,471,083","5,619,812","4,917,767","5,192,381","6,262,162"
"6115","荷造発送費","32,381","38,924","41,039","27,960","33,024","30,844","23,571","22,884","39,295","36,082","25,865","20,229"
"6116","外注費","804,559","745,023","773,898","1,333,807","271,776","701,624","762,587","711,108","815,079","505,954","197,336","728,954"
"6117","支払手数料","10,926,933","10,961,705","9,807,364","10,833,165","9,571,157","8,192,639","9,023,508","8,844,317","9,498,536","9,117,366","9,402,869","8,771,774"
"6118","開発費","0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","925,000","925,000","925,000","925,000","1,325,668","1,325,668","1,325,668","1,325,668","1,325,668","1,325,668","1,325,668","1,325,668"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","600,000","600,000","-5,400,000","600,000","3,811,700","600,000","600,000","600,000","600,000","600,000","600,000","600,000"
"6312","法定福利費","1,220,555","969,075","1,002,480","1,090,427","1,421,476","1,071,572","1,084,408","2,058,758","1,084,811","1,127,864","1,478,987","1,173,029"
"6226","厚生費","66,964","22,781","109,095","0","222,702","56,795","82,946","401,326","335,665","0","70,000","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","193,000","193,000","199,354","120,000","120,000","120,000","120,000","120,000","120,000","120,000","200,000","200,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,152,778","1,152,778","1,159,259","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182"
"6216","修繕費／車両関係費","0","0","0","0","0","0","0","0","0","0","30,000","0"
"6217","事務用消耗品費","23,973","15,219","-7,245","6,376","19,525","21,049","10,037","14,107","5,020","26,148","15,452","15,268"
"6218","通信交通費","216,400","170,007","139,091","175,307","163,362","228,767","272,619","139,823","258,934","187,019","134,139","305,439"
"6219","水道光熱費","241,418","241,629","250,032","247,372","224,685","213,627","195,189","200,758","198,980","178,734","149,237","132,059"
"6221","租税公課","7,000","0","14,012","7,000","0","0","7,000","0","0","6,300","0","200"
"6222","寄付金","0","10,000","0","0","0","0","0","23,591","0","0","0","0"
"6223","接待交際費","27,222","0","10,000","6,528","25,600","30,401","0","0","2,678","0","0","0"
"6224","保険料","200,000","200,000","230,900","200,000","200,000","200,000","200,000","200,000","200,000","0","0","0"
"6225","備品消耗品費","241,941","14,256","168,139","464,167","6,414","144,665","12,978","71,778","32,999","46,654","60,783","102,831"
"6227","管理諸費","252,959","406,527","250,366","295,733","743,270","263,586","277,306","238,376","224,483","244,420","237,806","244,166"
