"ｺｰﾄﾞ","勘定科目名"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"
"4111","売上高","45,396,204","48,745,736","51,012,681","47,305,230","49,162,594","48,336,241","49,426,448","44,873,690","43,267,202","44,616,670","44,019,046","38,910,012"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","45,396,204","48,745,736","51,012,681","47,305,230","49,162,594","48,336,241","49,426,448","44,873,690","43,267,202","44,616,670","44,019,046","38,910,012"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
,"売上総利益","45,396,204","48,745,736","51,012,681","47,305,230","49,162,594","48,336,241","49,426,448","44,873,690","43,267,202","44,616,670","44,019,046","38,910,012"
"6111","給与手当","4,922,848","5,053,165","-5,373,554","4,837,979","4,749,326","4,860,680","4,543,639","4,462,428","4,779,047","4,930,998","4,999,040","5,130,601"
"6311","雑給","2,757,991","2,701,586","2,729,232","2,680,477","2,887,277","2,817,451","2,765,888","2,867,106","2,673,043","2,684,646","2,656,191","2,483,030"
"6112","旅費交通費","128,528","71,123","40,091","65,473","73,236","80,168","127,722","104,652","93,253","67,073","52,195","51,860"
"6113","広告宣伝費","20,891,135","14,661,755","13,521,833","16,079,515","11,877,362","12,293,120","11,760,398","12,674,434","15,126,190","11,800,959","14,909,093","11,849,847"
"6114","販売促進費","5,619,812","4,917,767","5,192,381","6,262,162","5,030,833","5,784,196","5,126,119","4,996,855","5,134,273","4,998,566","4,728,854","4,544,768"
"6115","荷造発送費","39,295","36,082","25,865","20,229","47,640","31,577","39,438","42,030","28,013","32,170","39,691","18,073"
"6116","外注費","815,079","505,954","197,336","728,954","510,645","489,027","454,645","490,546","422,273","374,945","440,082","465,073"
"6117","支払手数料","9,498,536","9,117,366","9,402,869","8,771,774","9,498,193","9,363,247","8,655,924","9,643,758","8,517,281","7,848,215","8,168,259","7,652,841"
"6118","開発費","0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","1,325,668","1,325,668","1,325,668","1,325,668","1,325,668","1,325,668","1,355,668","1,325,668","1,186,985","1,186,985","1,186,985","1,186,985"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","600,000","600,000","600,000","600,000","0","0","-4,200,000","600,000","2,577,439","600,000","600,000","600,000"
"6312","法定福利費","1,084,811","1,127,864","1,478,987","1,173,029","1,018,562","1,152,440","1,208,144","1,377,919","1,217,733","1,091,511","1,917,945","1,158,659"
"6226","厚生費","335,665","0","70,000","0","0","0","0","2,420","2,721","1,195","219,460","-12,153"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","120,000","120,000","200,000","200,000","200,000","200,000","629,216","200,000","200,000","200,000","200,000","200,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182"
"6216","修繕費／車両関係費","0","0","30,000","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","5,020","26,148","15,452","15,268","11,755","11,031","18,285","13,504","15,455","21,130","7,375","0"
"6218","通信交通費","258,934","187,019","134,139","305,439","187,193","216,947","218,921","128,034","277,104","131,848","194,976","198,333"
"6219","水道光熱費","198,980","178,734","149,237","132,059","141,836","138,673","53,391","146,220","127,454","139,711","142,251","145,617"
"6221","租税公課","0","6,300","0","200","6,000","0","-1,971","0","6,000","0","6,450","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","24,252"
"6223","接待交際費","2,678","0","0","0","32,500","0","50","0","0","44,800","0","0"
"6224","保険料","200,000","0","0","0","0","0","0","0","0","0","0","0"
"6225","備品消耗品費","32,999","46,654","60,783","102,831","133,283","30,965","110,963","248,977","5,135","56,637","6,598","4,514"
"6227","管理諸費","224,483","244,420","237,806","244,166","200,429","356,892","225,803","240,131","718,788","237,233","262,288","236,206"
"6228","リース／レンタル料","1,723,500","1,723,500","1,723,500","1,723,500","1,723,500","1,728,500","1,677,733","1,723,500","1,973,500","1,743,500","1,743,500","1,748,500"
"6229","諸会費","10,000","17,200","10,000","10,000","10,000","90,000","24,000","10,000","10,000","10,000","10,000","10,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","3,275,382","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","51,934,144","43,806,487","32,909,807","46,416,905","40,803,420","42,108,764","39,207,540","42,436,364","46,229,869","39,340,304","43,629,415","38,835,188"
,"営業利益（損失）","-6,537,940","4,939,249","18,102,874","888,325","8,359,174","6,227,477","10,218,908","2,437,326","-2,962,667","5,276,366","389,631","74,824"
"7111","受取利息","1,916","4","4","4","4","356","2,286","4","4","4","4","468"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","30,477","30,477","30,477","30,477","30,477","223,275","87,156","700,477","30,477","51,577","1,059,935","30,477"
,"営業外収益計","32,393","30,481","30,481","30,481","30,481","223,631","89,442","700,481","30,481","51,581","1,059,939","30,945"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
