"ｺｰﾄﾞ","勘定科目名"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"
"4111","売上高","48,336,241","49,426,448","44,873,690","43,267,202","44,616,670","44,019,046","38,910,012","44,817,370","37,619,035","39,738,551","38,680,393","40,349,004"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","48,336,241","49,426,448","44,873,690","43,267,202","44,616,670","44,019,046","38,910,012","44,817,370","37,619,035","39,738,551","38,680,393","40,349,004"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
,"売上総利益","48,336,241","49,426,448","44,873,690","43,267,202","44,616,670","44,019,046","38,910,012","44,817,370","37,619,035","39,738,551","38,680,393","40,349,004"
"6111","給与手当","4,860,680","4,543,639","4,462,428","4,779,047","4,930,998","4,999,040","5,130,601","5,527,268","5,233,489","5,257,929","5,261,947","1,991,062"
"6311","雑給","2,817,451","2,765,888","2,867,106","2,673,043","2,684,646","2,656,191","2,483,030","2,856,014","2,667,768","2,727,054","2,667,924","2,667,625"
"6112","旅費交通費","80,168","127,722","104,652","93,253","67,073","52,195","51,860","98,924","69,662","161,394","106,938","68,029"
"6113","広告宣伝費","12,293,120","11,760,398","12,674,434","15,126,190","11,800,959","14,909,093","11,849,847","12,499,800","10,749,022","9,859,053","8,906,573","11,329,409"
"6114","販売促進費","5,784,196","5,126,119","4,996,855","5,134,273","4,998,566","4,728,854","4,544,768","5,525,152","4,486,189","4,692,109","3,993,778","3,542,376"
"6115","荷造発送費","31,577","39,438","42,030","28,013","32,170","39,691","18,073","54,022","29,158","37,311","19,588","34,714"
"6116","外注費","489,027","454,645","490,546","422,273","374,945","440,082","465,073","527,436","511,191","440,009","477,664","417,709"
"6117","支払手数料","9,363,247","8,655,924","9,643,758","8,517,281","7,848,215","8,168,259","7,652,841","7,387,392","6,872,481","6,470,628","6,894,745","5,115,169"
"6118","開発費","0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","1,325,668","1,355,668","1,325,668","1,186,985","1,186,985","1,186,985","1,186,985","1,186,985","1,186,985","1,186,985","1,186,985","1,186,985"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","-4,200,000","600,000","2,577,439","600,000","600,000","600,000","600,000","600,000","2,117,435","600,000","600,000"
"6312","法定福利費","1,152,440","1,208,144","1,377,919","1,217,733","1,091,511","1,917,945","1,158,659","1,213,718","1,225,836","1,227,276","1,494,703","1,664,977"
"6226","厚生費","0","0","2,420","2,721","1,195","219,460","-12,153","0","0","25,200","10,909","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","200,000","629,216","200,000","200,000","200,000","200,000","200,000","200,000","200,000","200,000","900,000","343,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182"
"6216","修繕費／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","11,031","18,285","13,504","15,455","21,130","7,375","0","33,991","10,016","23,322","22,515","10,910"
"6218","通信交通費","216,947","218,921","128,034","277,104","131,848","194,976","198,333","249,964","185,827","229,793","223,023","138,923"
"6219","水道光熱費","138,673","53,391","146,220","127,454","139,711","142,251","145,617","170,720","183,889","185,219","179,880","188,954"
"6221","租税公課","0","-1,971","0","6,000","0","6,450","0","0","0","0","400","0"
