"ｺｰﾄﾞ","勘定科目名"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"," 3年 11月"," 3年 12月"
"4111","売上高","44,019,046","38,910,012","44,817,370","37,619,035","39,738,551","38,680,393","40,244,194","46,075,294","43,294,007","39,470,685","38,575,031","40,478,254"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","44,019,046","38,910,012","44,817,370","37,619,035","39,738,551","38,680,393","40,244,194","46,075,294","43,294,007","39,470,685","38,575,031","40,478,254"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
,"売上総利益","44,019,046","38,910,012","44,817,370","37,619,035","39,738,551","38,680,393","40,244,194","46,075,294","43,294,007","39,470,685","38,575,031","40,478,254"
"6111","給与手当","4,999,040","5,130,601","5,527,268","5,233,489","5,257,929","5,261,947","1,991,062","5,321,783","5,285,006","5,260,410","5,560,838","5,521,349"
"6311","雑給","2,656,191","2,483,030","2,856,014","2,667,768","2,727,054","2,667,924","2,667,625","2,686,570","2,669,780","2,743,836","2,825,531","3,035,131"
"6112","旅費交通費","52,195","51,860","98,924","69,662","161,394","106,938","68,029","44,805","38,564","98,906","79,643","79,966"
"6113","広告宣伝費","14,909,093","11,849,847","12,499,800","10,749,022","9,859,053","8,906,573","11,329,409","12,162,278","10,461,761","13,101,259","11,663,119","13,362,413"
"6114","販売促進費","4,728,854","4,544,768","5,525,152","4,486,189","4,692,109","3,993,778","3,542,376","4,639,427","3,641,300","3,768,484","4,457,499","3,979,187"
"6115","荷造発送費","39,691","18,073","54,022","29,158","37,311","19,588","34,714","30,524","35,245","21,705","33,237","34,956"
"6116","外注費","440,082","465,073","527,436","511,191","440,009","477,664","417,709","415,073","518,610","509,036","742,615","733,309"
"6117","支払手数料","8,168,259","7,652,841","7,387,392","6,872,481","6,470,628","6,894,745","5,115,879","5,757,487","5,825,178","5,325,582","5,209,664","5,012,054"
"6118","開発費","0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","1,186,985","1,186,985","1,186,985","1,186,985","1,186,985","1,186,985","1,186,985","1,186,985","1,186,985","1,186,985","1,388,058","1,388,058"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","600,000","600,000","600,000","600,000","2,117,435","600,000","600,000","600,000","-5,400,000","600,000","600,000","3,439,857"
"6312","法定福利費","1,917,945","1,158,659","1,213,718","1,225,836","1,227,276","1,494,703","1,664,977","1,227,401","1,656,937","1,693,209","1,215,728","1,282,082"
"6226","厚生費","219,460","-12,153","0","0","25,200","10,909","0","0","0","0","0","5,127"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","200,000","200,000","200,000","200,000","200,000","900,000","343,000","343,000","348,390","343,000","343,000","343,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182"
"6216","修繕費／車両関係費","0","0","0","0","0","0","0","0","0","0","30,000","0"
"6217","事務用消耗品費","7,375","0","33,991","10,016","23,322","22,515","10,910","39,736","28,407","71,074","19,318","19,641"
"6218","通信交通費","194,976","198,333","249,964","185,827","229,793","223,023","138,923","252,855","166,429","110,532","281,094","134,789"
"6219","水道光熱費","142,251","145,617","170,720","183,889","185,219","179,880","188,954","202,521","271,807","201,340","195,423","203,546"
"6221","租税公課","6,450","0","0","0","0","400","0","0","15,930","0","0","10,163"
"6222","寄付金","0","24,252","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","4,491","49,982","0","0","0","0","49,000"
"6224","保険料","0","0","0","0","0","0","0","0","30,000","31,420","0","0"
"6225","備品消耗品費","6,598","4,514","81,186","94,293","15,350","76,722","109,025","9,428","229,892","57,706","143,793","84,396"
"6227","管理諸費","262,288","236,206","220,306","234,420","234,677","236,535","197,806","232,806","259,645","235,591","805,591","235,591"
"6228","リース／レンタル料","1,743,500","1,748,500","1,743,500","1,743,500","1,744,113","1,743,500","1,839,500","1,731,500","1,708,500","1,721,540","2,064,500","1,726,500"
"6229","諸会費","10,000","10,000","10,000","17,200","10,000","10,000","10,000","38,000","24,000","90,000","10,000","10,000"
"6313","本部費","0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","1,445,218","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","43,629,415","38,835,188","41,324,560","37,439,108","37,983,039","36,157,002","32,645,047","38,060,361","31,585,766","38,309,797","38,806,833","41,828,297"
,"営業利益（損失）","389,631","74,824","3,492,810","179,927","1,755,512","2,523,391","7,599,147","8,014,933","11,708,241","1,160,888","-231,802","-1,350,043"
"7111","受取利息","4","468","1,177","4","4","4","177","758","1,026","4","4","4"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","1,059,935","30,477","30,477","30,677","4,441,869","30,477","30,477","30,756","1,333,432","30,630","30,721","433,612"
,"営業外収益計","1,059,939","30,945","31,654","30,681","4,441,873","30,481","30,654","31,514","1,334,458","30,634","30,725","433,616"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","1,449,570","105,769","3,524,464","210,608","6,197,385","2,553,872","7,629,801","8,046,447","13,042,699","1,191,522","-201,077","-916,427"
