"ｺｰﾄﾞ","勘定科目名"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"
"4111","売上高","61,747,978","57,913,903","66,050,397","54,950,411","55,950,851","66,431,635","59,685,233","64,264,512","72,332,074","71,764,348","66,755,882","65,654,170"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","3,000"
,"純売上高","61,747,978","57,913,903","66,050,397","54,950,411","55,950,851","66,431,635","59,685,233","64,264,512","72,332,074","71,764,348","66,755,882","65,651,170"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","32,545","311,430","355,345","0","0","181,091","369,718","180,691","581,709","561,776"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","32,545","311,430","355,345","0","0","181,091","369,718","180,691","581,709","561,776"
,"売上総利益","61,747,978","57,913,903","66,017,852","54,638,981","55,595,506","66,431,635","59,685,233","64,083,421","71,962,356","71,583,657","66,174,173","65,089,394"
"6111","給与手当","6,099,036","6,851,120","6,768,943","6,575,427","6,752,848","1,618,319","7,040,252","6,902,488","6,875,514","7,025,067","6,838,821","7,212,802"
"6311","雑給","2,799,907","3,185,863","3,099,026","3,056,733","3,071,179","2,979,625","3,102,137","3,094,345","3,078,569","3,211,357","2,943,061","3,014,138"
"6112","旅費交通費","179,821","231,273","156,535","110,558","127,076","102,416","141,580","116,022","117,925","102,395","108,009","130,607"
"6113","広告宣伝費","16,950,820","14,993,310","14,297,630","13,280,335","12,181,958","12,460,406","12,567,842","12,307,184","14,693,666","15,000,266","13,480,281","13,361,095"
"6114","販売促進費","15,501,252","15,415,147","17,164,242","14,263,646","15,994,975","16,029,949","17,923,227","19,835,550","22,854,578","21,870,630","20,069,467","19,898,338"
