"ｺｰﾄﾞ","勘定科目名"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","66,431,635","59,685,233","64,264,512","72,332,074","71,764,348","66,755,882","65,654,170","65,652,358","71,679,798","75,931,252","80,628,454","85,575,254"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","3,000","0","0","0","0","0"
,"純売上高","66,431,635","59,685,233","64,264,512","72,332,074","71,764,348","66,755,882","65,651,170","65,652,358","71,679,798","75,931,252","80,628,454","85,575,254"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","181,091","369,718","180,691","581,709","561,776","215,891","688,285","307,214","153,455","225,964"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","181,091","369,718","180,691","581,709","561,776","215,891","688,285","307,214","153,455","225,964"
,"売上総利益","66,431,635","59,685,233","64,083,421","71,962,356","71,583,657","66,174,173","65,089,394","65,436,467","70,991,513","75,624,038","80,474,999","85,349,290"
"6111","給与手当","1,618,319","7,040,252","6,902,488","6,875,514","7,025,067","6,838,821","7,212,802","7,534,494","7,780,371","7,877,342","7,905,065","7,821,829"
"6311","雑給","2,979,625","3,102,137","3,094,345","3,078,569","3,211,357","2,943,061","3,014,138","3,085,121","3,144,500","3,025,400","3,220,339","3,060,290"
"6112","旅費交通費","102,416","141,580","116,022","117,925","102,395","108,009","130,607","128,515","311,626","132,842","127,809","147,079"
"6113","広告宣伝費","12,460,406","12,567,842","12,307,184","14,693,666","15,000,266","13,480,281","13,361,095","13,227,135","14,039,605","13,506,263","13,560,212","17,197,981"
"6114","販売促進費","16,029,949","17,923,227","19,835,550","22,854,578","21,870,630","20,069,467","19,898,338","21,097,932","22,834,810","23,896,335","26,385,726","30,531,495"
"6115","荷造発送費","24,828","21,967","18,994","32,273","22,326","33,477","17,396","30,229","28,617","24,343","21,432","11,623"
"6116","外注費","-93,700","564,060","509,805","404,160","451,418","1,080,670","860,230","913,530","751,030","714,630","846,057","416,930"
"6117","支払手数料","4,290,799","6,134,073","6,061,278","5,663,914","5,870,598","6,111,197","5,956,874","5,646,689","5,879,307","5,831,776","5,883,450","6,771,089"
"6118","開発費","0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","1,263,874","1,363,874","1,304,119","1,304,119","1,304,119","1,304,119","1,304,119","1,304,119","1,304,119","1,304,119","1,304,119","1,304,119"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
