"ｺｰﾄﾞ","勘定科目名","31年  3月","31年  4月"," 1年  5月"," 1年  6月"," 1年  7月"," 1年  8月"," 1年  9月"," 1年 10月"," 1年 11月"," 1年 12月"," 2年  1月"," 2年  2月"
"4111","売上高","57,587,995","57,264,520","59,540,262","56,998,082","56,881,715","53,961,379","55,797,179","48,913,248","46,195,255","46,064,838","47,117,447","43,557,046"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","57,587,995","57,264,520","59,540,262","56,998,082","56,881,715","53,961,379","55,797,179","48,913,248","46,195,255","46,064,838","47,117,447","43,557,046"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
,"売上総利益","57,587,995","57,264,520","59,540,262","56,998,082","56,881,715","53,961,379","55,797,179","48,913,248","46,195,255","46,064,838","47,117,447","43,557,046"
"6111","給与手当","4,337,084","4,310,974","4,421,755","4,362,617","4,357,551","4,393,529","4,381,760","4,580,259","4,695,349","4,718,915","4,706,765","4,773,152"
"6311","雑給","3,199,913","2,953,551","2,975,278","2,864,269","3,054,316","2,912,335","2,868,068","2,625,674","2,614,352","2,644,218","2,595,855","2,459,269"
"6112","旅費交通費","144,067","150,699","125,079","128,907","136,890","117,666","139,015","124,381","110,072","129,777","102,604","146,268"
"6113","広告宣伝費","30,408,701","26,431,648","17,951,692","13,470,383","13,085,240","13,523,162","11,277,705","16,568,194","16,276,489","22,184,152","23,027,342","24,755,460"
"6114","販売促進費","6,479,676","5,957,986","8,127,082","5,522,856","6,282,295","4,986,146","6,184,071","5,539,462","4,959,340","5,313,086","5,033,841","4,471,083"
"6115","荷造発送費","47,468","37,652","34,314","29,557","32,381","38,924","41,039","27,960","33,024","30,844","23,571","22,884"
"6116","外注費","747,065","778,943","757,812","750,184","804,559","745,023","773,898","1,333,807","271,776","701,624","762,587","711,108"
"6117","支払手数料","12,315,191","10,665,613","11,791,192","10,604,696","10,926,933","10,961,705","9,807,364","10,833,165","9,571,157","8,192,639","9,023,508","8,844,317"
"6118","開発費","0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","925,000","925,000","925,000","925,000","925,000","925,000","925,000","925,000","1,325,668","1,325,668","1,325,668","1,325,668"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","600,000","600,000","600,000","600,000","600,000","600,000","-5,400,000","600,000","3,811,700","600,000","600,000","600,000"
"6312","法定福利費","1,182,333","1,629,376","957,721","1,094,524","1,220,555","969,075","1,002,480","1,090,427","1,421,476","1,071,572","1,084,408","2,058,758"
"6226","厚生費","9,334","41,266","1,667","14,630","66,964","22,781","109,095","0","222,702","56,795","82,946","401,326"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","193,000","193,000","193,000","193,000","193,000","193,000","199,354","120,000","120,000","120,000","120,000","120,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,152,778","1,152,778","1,152,778","1,152,778","1,152,778","1,152,778","1,159,259","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182"
"6216","修繕費／車両関係費","0","5,833","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","11,869","0","29,243","13,419","23,973","15,219","-7,245","6,376","19,525","21,049","10,037","14,107"
"6218","通信交通費","150,108","228,668","236,851","181,771","216,400","170,007","139,091","175,307","163,362","228,767","272,619","139,823"
"6219","水道光熱費","280,417","239,348","252,220","225,165","241,418","241,629","250,032","247,372","224,685","213,627","195,189","200,758"
"6221","租税公課","0","0","10,000","0","7,000","0","14,012","7,000","0","0","7,000","0"
"6222","寄付金","0","0","0","0","0","10,000","0","0","0","0","0","23,591"
"6223","接待交際費","0","0","0","0","27,222","0","10,000","6,528","25,600","30,401","0","0"
"6224","保険料","200,000","0","400,000","200,000","200,000","200,000","230,900","200,000","200,000","200,000","200,000","200,000"
"6225","備品消耗品費","24,530","3,102","9,001","117,882","241,941","14,256","168,139","464,167","6,414","144,665","12,978","71,778"
"6227","管理諸費","254,492","270,443","231,080","265,276","252,959","406,527","250,366","295,733","743,270","263,586","277,306","238,376"
"6228","リース／レンタル料","1,723,500","1,717,582","1,723,500","1,813,546","1,723,500","1,758,360","1,753,267","1,723,500","1,837,500","1,723,500","1,723,500","1,728,500"
"6229","諸会費","10,000","17,200","10,000","10,000","10,000","10,000","92,000","10,000","10,000","10,000","10,000","10,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","2,953,037","0","0","0","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","64,396,526","58,310,662","52,916,265","44,540,460","45,782,875","44,367,122","39,321,707","48,642,494","49,801,643","51,063,067","52,335,906","54,454,408"
,"営業利益（損失）","-6,808,531","-1,046,142","6,623,997","12,457,622","11,098,840","9,594,257","16,475,472","270,754","-3,606,388","-4,998,229","-5,218,459","-10,897,362"
"7111","受取利息","874","5","4","4","4","538","1,566","4","4","4","4","576"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","30,478","30,478","30,478","30,478","30,478","31,478","31,723","30,477","30,477","30,663","30,477","30,977"
,"営業外収益計","31,352","30,483","30,482","30,482","30,482","32,016","33,289","30,481","30,481","30,667","30,481","31,553"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","500","0","0","0","0","0"
"7514","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","500","0","0","0","0","0"
,"経常利益（損失）","-6,777,179","-1,015,659","6,654,479","12,488,104","11,129,322","9,626,273","16,508,261","301,235","-3,575,907","-4,967,562","-5,187,978","-10,865,809"
