ｺｰﾄﾞ,勘定科目名,30年  2月,30年  3月,30年  4月,30年  5月,30年  6月,30年  7月,30年  8月,30年  9月,30年 10月,30年 11月,30年 12月,31年  1月,31年  1月累計
4111,売上高,"47,976,225","52,194,800","48,086,427","50,652,145","48,030,770","49,036,974","55,276,418","61,483,651","61,570,473","59,017,367","61,265,604","61,761,135","243,614,579"
4112,賃貸料収入,0,0,0,0,0,0,0,0,0,0,0,0,0
4113,売上高,0,0,0,0,0,0,0,0,0,0,0,0,0
4114,売上高,0,0,0,0,0,0,0,0,0,0,0,0,0
4115,売上値引戻り高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
,純売上高,"47,976,225","52,194,800","48,086,427","50,652,145","48,030,770","49,036,974","55,276,418","61,483,651","61,570,473","59,017,367","61,265,604","61,761,135","243,614,579"
5111,期首たな卸高,0,0,0,0,0,0,0,0,0,0,0,0,0
5211,商品仕入高,0,0,0,0,0,0,0,0,0,0,0,0,0
5212,,0,0,0,0,0,0,0,0,0,0,0,0,0
5215,,0,0,0,0,0,0,0,0,0,0,0,0,0
5216,,0,0,0,0,0,0,0,0,0,0,0,0,0
5213,仕入値引戻し高    (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5273,他勘定振替高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
5311,期末たな卸高      (△),0,0,0,0,0,0,0,0,0,0,0,0,0
,当期売上原価,0,0,0,0,0,0,0,0,0,0,0,0,0
,売上総利益,"47,976,225","52,194,800","48,086,427","50,652,145","48,030,770","49,036,974","55,276,418","61,483,651","61,570,473","59,017,367","61,265,604","61,761,135","243,614,579"
6111,給与手当,"5,039,228","5,159,675","4,592,657","3,608,806","4,744,812","4,586,509","4,608,597","4,272,570","4,513,406","4,368,591","4,295,086","4,413,375","17,590,458"
6311,雑給,"3,516,376","3,735,250","3,620,503","3,772,855","3,316,676","3,247,733","3,101,215","2,765,884","3,015,618","2,976,303","3,157,138","3,092,980","12,242,039"
6112,旅費交通費,"175,492","172,431","190,039","175,588","165,921","152,697","120,964","146,828","162,732","137,872","143,097","137,142","580,843"
6113,広告宣伝費,"13,503,443","16,124,739","15,146,661","17,614,012","19,316,370","24,939,845","30,202,103","31,402,401","25,434,163","26,040,273","24,654,986","28,360,256","104,489,678"
6114,販売促進費,"4,278,487","4,653,805","4,617,334","5,105,243","3,751,040","5,276,528","4,308,269","5,016,542","6,470,884","5,936,926","5,892,800","6,020,614","24,321,224"
6115,荷造発送費,"33,550","47,906","40,253","40,018","33,722","40,546","40,000","22,911","50,053","36,891","29,391","36,829","153,164"
6116,外注費,"666,084","839,745","741,565","704,411","688,180","422,611","1,076,097","759,707","820,112","799,224","766,873","712,750","3,098,959"
6117,支払手数料,"9,887,648","11,154,256","9,028,231","9,739,732","9,758,219","9,615,545","12,743,044","12,329,019","12,205,431","12,027,826","15,795,121","14,176,411","54,204,789"
6118,開発費,"503,725","703,243",0,0,0,"175,000",0,"-1,381,968",0,0,0,0,0
6211,役員報酬,"2,220,000","2,220,000","2,220,000","2,220,000","2,220,000","2,220,000","2,220,000","2,220,000","2,220,000","925,000","925,000","925,000","4,995,000"
6232,,0,0,0,0,0,0,0,0,0,0,0,0,0
6212,事務員給与,0,0,0,0,0,0,0,0,0,0,0,0,0
6213,従業員賞与,"600,000","600,000","600,000","-1,730,038",0,0,0,0,"600,000","-350,000","600,000","600,000","1,450,000"
6312,法定福利費,"1,748,445","1,153,629","1,069,173","1,285,126","1,034,030","1,442,026","1,601,681","2,243,503","1,158,972","1,567,180","1,184,883","1,201,454","5,112,489"
6226,厚生費,"150,000","17,919","3,917",0,"27,778","10,518","4,612","182,073","6,852","3,242","412,166","25,579","447,839"
6119,退職金,0,0,0,"400,000",0,0,0,0,0,0,0,0,0
6214,減価償却費,"139,104","139,104","139,104","139,104","139,104","139,104","139,104","945,463","193,000","193,000","193,000","193,000","772,000"
6234,リース料,0,0,0,0,0,0,0,0,0,0,0,0,0
6215,地代家賃,"1,152,778","1,172,778","1,172,778","1,172,778","1,172,778","1,172,778","1,172,778","1,172,778","1,172,778","1,152,778","1,152,778","1,152,778","4,631,112"
6216,修繕費／車両関係費,0,0,0,0,0,0,0,"68,296",0,0,0,"16,559","16,559"
6217,事務用消耗品費,"13,808","18,018","18,023","32,278","16,387","20,673","21,853","33,991","14,622","11,903","29,256","14,189","69,970"
6218,通信交通費,"257,233","209,172","267,606","303,561","238,653","253,323","250,406","118,787","250,080","233,650","195,110","330,667","1,009,507"
6219,水道光熱費,"245,410","273,847","242,603","264,290","277,549","343,015","284,183","349,563","276,822","240,453","248,177","261,752","1,027,204"
6221,租税公課,0,0,0,0,0,0,0,14,0,0,0,0,0
6222,寄付金,"23,121",0,0,0,0,0,0,"9,259",0,0,0,0,0
6223,接待交際費,0,"10,000","2,399",0,0,"28,000","32,330",0,0,0,"44,366",0,"44,366"
