"ｺｰﾄﾞ","勘定科目名"," 1年 12月"," 2年  1月"," 2年  2月"," 2年  3月"," 2年  4月"," 2年  5月"," 2年  6月"," 2年  7月"," 2年  8月"," 2年  9月"," 2年 10月"," 2年 11月"
"4111","売上高","46,064,838","47,117,447","43,557,046","45,396,204","48,745,736","51,012,681","47,305,230","49,162,594","48,336,241","49,426,448","44,873,690","43,267,202"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","46,064,838","47,117,447","43,557,046","45,396,204","48,745,736","51,012,681","47,305,230","49,162,594","48,336,241","49,426,448","44,873,690","43,267,202"
"5111","期首たな卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末たな卸高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","0","0","0","0","0","0"
,"売上総利益","46,064,838","47,117,447","43,557,046","45,396,204","48,745,736","51,012,681","47,305,230","49,162,594","48,336,241","49,426,448","44,873,690","43,267,202"
"6111","給与手当","4,718,915","4,706,765","4,773,152","4,922,848","5,053,165","-5,373,554","4,837,979","4,749,326","4,860,680","4,543,639","4,462,428","4,779,047"
"6311","雑給","2,644,218","2,595,855","2,459,269","2,757,991","2,701,586","2,729,232","2,680,477","2,887,277","2,817,451","2,765,888","2,867,106","2,673,043"
"6112","旅費交通費","129,777","102,604","146,268","128,528","71,123","40,091","65,473","73,236","80,168","127,722","104,652","93,253"
"6113","広告宣伝費","22,184,152","23,027,342","24,755,460","20,891,135","14,661,755","13,521,833","16,079,515","11,877,362","12,293,120","11,760,398","12,674,434","15,126,190"
"6114","販売促進費","5,313,086","5,033,841","4,471,083","5,619,812","4,917,767","5,192,381","6,262,162","5,030,833","5,784,196","5,126,119","4,996,855","5,134,273"
"6115","荷造発送費","30,844","23,571","22,884","39,295","36,082","25,865","20,229","47,640","31,577","39,438","42,030","28,013"
"6116","外注費","701,624","762,587","711,108","815,079","505,954","197,336","728,954","510,645","489,027","454,645","490,546","422,273"
"6117","支払手数料","8,192,639","9,023,508","8,844,317","9,498,536","9,117,366","9,402,869","8,771,774","9,498,193","9,363,247","8,655,924","9,643,758","8,517,281"
"6118","開発費","0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","1,325,668","1,325,668","1,325,668","1,325,668","1,325,668","1,325,668","1,325,668","1,325,668","1,325,668","1,355,668","1,325,668","1,186,985"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","600,000","600,000","600,000","600,000","600,000","600,000","600,000","0","0","-4,200,000","600,000","2,577,439"
"6312","法定福利費","1,071,572","1,084,408","2,058,758","1,084,811","1,127,864","1,478,987","1,173,029","1,018,562","1,152,440","1,208,144","1,377,919","1,217,733"
"6226","厚生費","56,795","82,946","401,326","335,665","0","70,000","0","0","0","0","2,420","2,721"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","120,000","120,000","120,000","120,000","120,000","200,000","200,000","200,000","200,000","629,216","200,000","200,000"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182","1,138,182"
"6216","修繕費／車両関係費","0","0","0","0","0","30,000","0","0","0","0","0","0"
"6217","事務用消耗品費","21,049","10,037","14,107","5,020","26,148","15,452","15,268","11,755","11,031","18,285","13,504","15,455"
"6218","通信交通費","228,767","272,619","139,823","258,934","187,019","134,139","305,439","187,193","216,947","218,921","128,034","277,104"
"6219","水道光熱費","213,627","195,189","200,758","198,980","178,734","149,237","132,059","141,836","138,673","53,391","146,220","127,454"
"6221","租税公課","0","7,000","0","0","6,300","0","200","6,000","0","-1,971","0","6,000"
"6222","寄付金","0","0","23,591","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","30,401","0","0","2,678","0","0","0","32,500","0","50","0","0"
"6224","保険料","200,000","200,000","200,000","200,000","0","0","0","0","0","0","0","0"
"6225","備品消耗品費","144,665","12,978","71,778","32,999","46,654","60,783","102,831","133,283","30,965","110,963","248,977","5,135"
"6227","管理諸費","263,586","277,306","238,376","224,483","244,420","237,806","244,166","200,429","356,892","225,803","240,131","718,788"
"6228","リース／レンタル料","1,723,500","1,723,500","1,728,500","1,723,500","1,723,500","1,723,500","1,723,500","1,723,500","1,728,500","1,677,733","1,723,500","1,973,500"
"6229","諸会費","10,000","10,000","10,000","10,000","17,200","10,000","10,000","10,000","90,000","24,000","10,000","10,000"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","3,275,382","0","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","51,063,067","52,335,906","54,454,408","51,934,144","43,806,487","32,909,807","46,416,905","40,803,420","42,108,764","39,207,540","42,436,364","46,229,869"
,"営業利益（損失）","-4,998,229","-5,218,459","-10,897,362","-6,537,940","4,939,249","18,102,874","888,325","8,359,174","6,227,477","10,218,908","2,437,326","-2,962,667"
"7111","受取利息","4","4","576","1,916","4","4","4","4","356","2,286","4","4"
"7112","為替差益","0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","30,663","30,477","30,977","30,477","30,477","30,477","30,477","30,477","223,275","87,156","700,477","30,477"
,"営業外収益計","30,667","30,481","31,553","32,393","30,481","30,481","30,481","30,481","223,631","89,442","700,481","30,481"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512","為替差損","0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","-4,967,562","-5,187,978","-10,865,809","-6,505,547","4,969,730","18,133,355","918,806","8,389,655","6,451,108","10,308,350","3,137,807","-2,932,186"
