"ｺｰﾄﾞ","勘定科目名"," 4年  9月"," 4年 10月"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"
"4111","売上高","0","0","0","0","0","0","0","0","90,448,210","83,541,741","95,013,066","90,345,557"
"4112","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","0","0","90,448,210","83,541,741","95,013,066","90,345,557"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","39,573,692","44,537,013","36,621,037","34,523,852"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","60,634,798","47,339,247","59,439,410","53,643,871"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","44,537,013","36,621,037","34,523,852","30,041,250"
,"当期売上原価","0","0","0","0","0","0","0","0","55,671,477","55,255,223","61,536,595","58,126,473"
,"売上総利益","0","0","0","0","0","0","0","0","34,776,733","28,286,518","33,476,471","32,219,084"
"6111","給与手当","0","0","0","0","0","0","0","0","10,561,960","10,469,086","12,200,443","10,325,227"
"6311","雑給","0","0","0","0","0","0","0","0","1,242,254","1,213,285","1,087,349","1,081,615"
"6112","旅費交通費","0","0","0","0","0","0","0","0","274,077","230,197","349,952","333,600"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","307,691","204,273","217,628","274,718"
"6114","販売促進費","0","0","0","0","0","0","0","0","2,533,508","1,374,640","1,673,384","2,034,677"
"6115","荷造発送費","0","0","0","0","0","0","0","0","4,175","3,746","367","6,957"
"6116","外注費","0","0","0","0","0","0","0","0","4,594,119","4,638,978","4,205,243","4,316,587"
