"ｺｰﾄﾞ","勘定科目名"," 5年  9月"," 5年 10月"," 5年 11月"," 5年 12月"," 6年  1月"," 6年  2月"," 6年  3月"," 6年  4月"," 6年  5月"," 6年  6月"," 6年  7月"," 6年  8月"
"4111","売上高","104,576,421","111,406,543","105,788,213","111,510,831","99,146,810","104,456,641","149,555,554","105,399,058","93,113,282","101,593,697","97,554,133","107,723,750"
"4112","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","104,576,421","111,406,543","105,788,213","111,510,831","99,146,810","104,456,641","149,555,554","105,399,058","93,113,282","101,593,697","97,554,133","107,723,750"
"5111","期首棚卸高","-9,532,442","38,107,736","36,872,315","38,890,410","46,839,250","40,385,561","44,201,825","40,784,716","54,245,047","54,279,462","46,622,455","54,653,243"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","118,641,991","79,525,754","76,849,340","86,755,955","59,290,375","73,266,979","100,674,121","81,735,417","61,999,786","59,264,060","71,509,724","72,723,718"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","38,107,736","36,872,315","38,890,410","46,839,250","40,385,561","44,201,825","40,784,716","54,245,047","54,279,462","46,622,455","54,653,243","54,820,718"
,"当期売上原価","71,001,813","80,761,175","74,831,245","78,807,115","65,744,064","69,450,715","104,091,230","68,275,086","61,965,371","66,921,067","63,478,936","72,556,243"
,"売上総利益","33,574,608","30,645,368","30,956,968","32,703,716","33,402,746","35,005,926","45,464,324","37,123,972","31,147,911","34,672,630","34,075,197","35,167,507"
"6111","給与手当","11,128,900","12,401,151","10,674,796","10,256,102","10,101,354","10,622,184","10,540,855","10,383,360","9,457,376","9,403,427","10,209,115","9,818,790"
"6311","雑給","1,205,099","1,128,022","1,102,445","1,202,827","1,063,602","1,120,290","1,102,055","980,467","1,050,537","958,590","999,042","1,053,972"
"6112","旅費交通費","316,308","318,021","326,625","416,304","367,542","370,222","311,846","297,322","325,014","289,370","288,850","277,441"
"6113","広告宣伝費","405,355","354,258","254,273","177,328","193,772","187,328","473,686","349,583","198,437","133,346","154,560","165,292"
"6114","販売促進費","3,236,601","2,323,815","2,183,100","2,344,480","2,485,646","2,699,158","3,605,248","3,294,846","2,488,816","1,810,929","2,636,336","2,902,695"
"6115","荷造発送費","11,636","17,171","916","1,195","2,413","4,005","1,523","2,283","6,984","2,098","1,721","3,672"
"6116","外注費","3,523,848","3,895,809","4,113,327","5,053,426","4,048,687","4,069,581","4,755,266","3,332,720","3,897,747","4,449,358","5,445,339","6,005,202"
"6117","支払手数料","2,184,569","1,636,936","2,254,480","1,975,883","1,953,096","1,689,872","2,062,790","1,680,104","1,735,096","1,901,087","1,710,733","1,748,416"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","670,000","670,000","670,000","670,000","670,000","670,000","670,000","670,000","670,000","670,000","670,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","2,110,829","-565,416","1,064,584","1,064,584","1,064,584","591,667","807,667","566,667","566,667","566,667","833,333","833,333"
"6312","法定福利費","2,053,527","1,772,459","1,934,485","1,783,161","2,439,866","2,728,648","1,880,367","2,034,057","2,108,604","1,979,202","1,762,182","2,441,733"
"6226","厚生費","611,899","40,199","99,018","88,595","154,485","42,540","37,510","37,923","8,264","282,105","148,888","139,127"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","39,568","422,770","422,770","422,770","422,770","422,770","422,770","422,770","422,770","422,770","422,770","422,770"
