"ｺｰﾄﾞ","勘定科目名"," 4年 11月"," 4年 12月"," 5年  1月"," 5年  2月"," 5年  3月"," 5年  4月"," 5年  5月"," 5年  6月"," 5年  7月"," 5年  8月"," 5年  9月"," 5年 10月"
"4111","売上高","0","0","0","0","0","0","53,707","2,149,313","26,822","26,622","53,127","24,313"
"4112","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"純売上高","0","0","0","0","0","0","53,707","2,149,313","26,822","26,622","53,127","24,313"
"5111","期首棚卸高","0","0","0","0","0","0","0","0","0","0","0","0"
"5211","商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5212","通信商品仕入高","0","0","0","0","0","0","13,514","5,922","11,912","12,494","0","9,972"
"5215",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5216",,"0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","0","0","0","0","0","0","0","0","0","0","0","0"
,"当期売上原価","0","0","0","0","0","0","13,514","5,922","11,912","12,494","0","9,972"
,"売上総利益","0","0","0","0","0","0","40,193","2,143,391","14,910","14,128","53,127","14,341"
"6111","給与手当","0","0","0","0","0","0","566,670","566,670","566,670","566,670","566,670","566,670"
"6311","雑給","0","0","0","0","0","0","0","0","0","0","0","0"
"6112","旅費交通費","0","0","0","0","0","0","90","0","5,843","5,869","16,891","25,963"
"6113","広告宣伝費","0","0","0","0","0","0","0","0","0","0","18,182","27,276"
"6114","販売促進費","0","0","0","0","0","0","0","359,545","0","0","112,273","75,455"
"6115","荷造発送費","0","0","0","0","0","0","928","1,856","0","1,856","1,391","399"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","0","0","0","0","0","0","-1,543,533","1,127,897","-629,589","-540,558","-622,455","-1,120,887"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","670,000"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","0","0","0","0","0","0","0","0","0","0","0"
"6312","法定福利費","0","0","0","0","0","0","528,450","528,450","530,354","475,176","427,309","142,895"
"6226","厚生費","0","0","0","0","0","0","228,459","187,904","116,213","-1,364","208,314","0"
"6119",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","0","0","0","0","0","0","57,500","57,500","57,500","57,500","59,800","57,500"
"6234","リース料","0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","0","0","0","0","0","0","0","0","0","135,400","0","140,800"
"6216","修繕／車両関係費","0","0","0","0","0","0","0","0","0","0","0","0"
"6217","事務用消耗品費","0","0","0","0","0","0","20,000","0","0","0","0","0"
"6218","通信交通費","0","0","0","0","0","0","0","13,133","5,305","0","0","14,382"
"6219","水道光熱費","0","0","0","0","0","0","1,407","0","0","1,800","0","0"
"6221","租税公課","0","0","0","0","0","0","24,550","7,050","0","0","2,982","10,000"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","20,000"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","0","0","0","0","0","0","166,680","166,680","166,680","184,680","166,680","166,680"
"6225","備品消耗品費","0","0","0","0","0","0","366,255","25,877","7,534","28,536","100","5,034"
"6227","管理諸費","0","0","0","0","0","0","622,737","100,829","188,400","98,800","98,800","219,185"
"6228","リース／レンタル料","0","0","0","0","0","0","0","0","0","0","0","0"
"6229",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6313",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6233",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6314","貸倒償却","0","0","0","0","0","0","0","0","0","0","146,579","0"
"6231","雑費","0","0","0","0","0","0","0","0","0","0","0","0"
,"販売費及び一般管理費計","0","0","0","0","0","0","1,040,193","3,143,391","1,014,910","1,014,365","1,203,516","1,021,352"
,"営業利益（損失）","0","0","0","0","0","0","-1,000,000","-1,000,000","-1,000,000","-1,000,237","-1,150,389","-1,007,011"
"7111","受取利息","0","0","0","0","0","0","0","0","0","237","78","0"
"7112",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7113",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7114","受取配当金","0","0","0","0","0","0","0","0","0","0","0","0"
"7118","雑収入","0","0","0","0","0","0","0","0","0","0","1,051","672"
,"営業外収益計","0","0","0","0","0","0","0","0","0","237","1,129","672"
"7511","支払利息","0","0","0","0","0","0","0","0","0","0","0","0"
"7518","手形売却損","0","0","0","0","0","0","0","0","0","0","0","0"
"7512",,"0","0","0","0","0","0","0","0","0","0","0","0"
"7513","現金過不足","0","0","0","0","0","0","0","0","0","0","0","0"
"7514","貸倒償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7515","繰延資産償却","0","0","0","0","0","0","0","0","0","0","0","0"
"7519","雑損失","0","0","0","0","0","0","0","0","0","0","0","0"
,"営業外費用計","0","0","0","0","0","0","0","0","0","0","0","0"
,"経常利益（損失）","0","0","0","0","0","0","-1,000,000","-1,000,000","-1,000,000","-1,000,000","-1,149,260","-1,006,339"
