"ｺｰﾄﾞ","勘定科目名"," 2年 11月"," 2年 12月"," 3年  1月"," 3年  2月"," 3年  3月"," 3年  4月"," 3年  5月"," 3年  6月"," 3年  7月"," 3年  8月"," 3年  9月"," 3年 10月"
"4111","売上高","3,255,831","3,659,854","2,737,414","1,685,040","2,995,624","2,160,101","2,338,669","2,513,009","3,153,229","808,554","0","2,716,618"
"4112","賃貸料収入","0","0","0","0","0","0","0","0","0","0","0","0"
"4113","ＬＬＰ収益","0","0","0","0","0","0","0","0","0","0","0","0"
"4114","通信売上高","0","0","0","0","0","0","0","0","0","0","0","0"
"4115","売上値引戻り高    (△)","29,360","18,779","9,907","5,336","5,786","8,329","11,582","9,459","27,318","6,700","0","29,332"
,"純売上高","3,226,471","3,641,075","2,727,507","1,679,704","2,989,838","2,151,772","2,327,087","2,503,550","3,125,911","801,854","0","2,687,286"
"5111","期首棚卸高","303,375","365,568","419,544","340,035","331,074","315,620","384,846","401,472","397,369","384,213","390,459","377,923"
"5211","商品仕入高","425,204","433,603","264,755","245,711","355,317","329,455","282,640","321,219","419,731","130,197","0","304,331"
"5212","通信商品仕入高","0","0","0","0","0","0","0","0","0","0","0","0"
"5215","ｺﾐｯｼｮﾝ清掃代","0","0","0","0","0","0","0","0","0","0","0","0"
"5216","ＬＬＰ原価","0","0","0","0","0","0","0","0","0","0","0","0"
"5213","仕入値引戻し高    (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5273","他勘定振替高      (△)","0","0","0","0","0","0","0","0","0","0","0","0"
"5311","期末棚卸高        (△)","365,568","419,544","340,035","331,074","315,620","384,846","401,472","397,369","384,213","390,459","377,923","373,493"
,"当期売上原価","363,011","379,627","344,264","254,672","370,771","260,229","266,014","325,322","432,887","123,951","12,536","308,761"
,"売上総利益","2,863,460","3,261,448","2,383,243","1,425,032","2,619,067","1,891,543","2,061,073","2,178,228","2,693,024","677,903","-12,536","2,378,525"
"6111","給与手当","595,049","674,276","709,208","605,540","668,040","738,781","532,040","545,540","753,291","507,435","439,232","664,040"
"6311","雑給","253,807","269,030","254,648","132,553","151,331","100,835","29,728","53,517","32,229","20,736","14,400","43,148"
"6112","旅費交通費","56,774","39,964","35,895","26,062","31,915","27,206","25,430","20,200","31,101","9,139","1,182","13,873"
"6113","広告宣伝費","108,498","78,972","75,887","21,214","68,296","58,489","47,652","48,940","37,367","22,167","3,500","22,099"
"6114","販売促進費","36,784","77,182","57,906","54,453","65,876","62,789","70,320","72,005","62,551","52,043","18,967","63,918"
"6115","荷造発送費","0","0","0","0","0","0","0","0","0","0","0","0"
"6116","外注費","0","0","0","0","0","0","0","0","0","0","0","0"
"6117","支払手数料","349,551","352,680","346,289","338,311","283,614","276,810","289,512","274,475","291,565","280,386","203,347","97,418"
"6118",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6211","役員報酬","0","0","0","0","0","0","0","0","0","0","0","0"
"6232",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6212","事務員給与","0","0","0","0","0","0","0","0","0","0","0","0"
"6213","従業員賞与","0","60,000","0","0","0","0","0","40,000","0","0","0","0"
"6312","法定福利費","134,117","104,864","98,440","95,120","95,120","157,073","100,415","129,744","128,744","132,250","128,569","129,718"
"6226","厚生費","0","0","3,977","0","0","0","0","15,795","0","0","6,800","0"
"6119","退職金","0","0","0","0","0","0","0","0","0","0","0","0"
"6214","減価償却費","149,676","149,676","149,676","149,676","149,676","149,676","149,676","149,676","149,676","149,676","188,001","109,153"
"6234",,"0","0","0","0","0","0","0","0","0","0","0","0"
"6215","地代家賃","677,000","677,000","677,000","677,000","677,000","677,000","677,000","677,000","677,000","727,000","727,000","677,000"
"6216","修繕／車両関係費","56,500","0","0","151,818","0","36,000","0","60,400","30,000","-25,000","0","0"
"6217","事務用消耗品費","22,916","36,245","13,198","0","16,942","15,468","17,766","0","10,449","9,381","0","0"
"6218","通信交通費","56,939","2,657","34,333","25,357","57,281","33,883","25,202","33,823","2,657","56,466","25,157","2,657"
"6219","水道光熱費","299,580","285,415","517,420","153,992","305,593","298,505","274,946","292,231","345,382","424,144","317,624","213,279"
"6221","租税公課","0","0","0","0","0","0","0","0","0","0","0","0"
"6222","寄付金","0","0","0","0","0","0","0","0","0","0","0","0"
"6223","接待交際費","0","0","0","0","0","0","0","0","0","0","0","0"
"6224","保険料","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","60,000","120,000","60,000"
